품목별,2003,,품목별,2004,,품목별,2006,,품목별,2007,,품목별,2008,,품목별,2009,,품목별,2011,,품목별,2012,,품목별,2013,,품목별 ,2012,,품목별,2016,,품목별,2017,,품목별,2018,,품목별,2019,,품목별,2021
품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별,출하금액 (백만원),,품목별 ,출하금액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원),,품목별,출하액 (백만원)
석회쇄석,307006,,석회쇄석,325902,,귀금속광물,...,, 비금속광물 광업;연료용 제외,1651487,, 비금속광물 광업;연료용 제외,2059508,,  석회쇄석(채굴),405139,,  기타 비철금속광(채굴 및 정광),...,,  기타 비철금속광(채굴 및 정광),...,,비금속광물 광업;연료용 제외,2400429,,비금속광물 광업;연료용 제외,2453125,,비금속광물 광업; 연료용 제외,2885144,,비금속광물 광업; 연료용 제외,2855088,,비금속광물 광업; 연료용 제외,2713294,,비금속광물 광업; 연료용 제외,2620455,, 금속 광업,   125 782
고령토(카올린),11645,,고령토(카올린),10601,,기타 비철금속광,1139,,  석회쇄석(채굴),317209,,  석회쇄석(채굴),385986,,  고령토(채굴),3510,, 비금속광물 광업;연료용 제외,2214232,, 비금속광물 광업;연료용 제외,2158908,,석회쇄석(채굴),476038,,석회쇄석(채굴),591906,,석회쇄석(채굴),591417,,석회쇄석(채굴),594636,,석회쇄석(채굴),541352,,석회쇄석(채굴),556550,,,
기타 점토,3544,,기타 점토,3785,,비금속 광물 광업; 연료용 제외,1861473,,  석고(채굴한 것),...,,  석고(채굴한 것),...,,  기타 점토(채굴),...,,  석회쇄석(채굴),499285,,  석회쇄석(채굴),510335,,고령토(채굴),...,,고령토(채굴),17657,,고령토(채굴),8298,,고령토(채굴),24990,,고령토(채굴),21663,,고령토(채굴),5700,, 철광(채굴 및 정광),   87 862
화강암 원석(파쇄되지 않은 것),73171,,화강암 원석(파쇄되지 않은 것),80620,,석회쇄석,308816,,  고령토(채굴),3715,,  고령토(채굴),4084,,  화강암 원석(파쇄되지 않은 것),87997,,  고령토(채굴),...,,  고령토(채굴),...,,기타 점토(채굴),...,,기타 점토(채굴),...,,기타 점토(채굴),X,,기타 점토(채굴),X,,기타 점토(채굴),X,,기타 점토(채굴),X,, 금·은 및 백금 광업, X
석회석 원석(파쇄되지 않은 것),10361,,석회석 원석(파쇄되지 않은 것),9619,,고령토(카올린),9460,,  기타 점토(채굴),...,,  기타 점토(채굴),...,,  석회석 원석(파쇄되지 않은 것),...,,  기타 점토(채굴),...,,  기타 점토(채굴),...,,화강암 원석(파쇄되지 않은 것),92929,,화강암 원석(파쇄되지 않은 것),100603,,화강암 원석(파쇄되지 않은 것),105902,,화강암 원석(파쇄되지 않은 것),95599,,화강암 원석(파쇄되지 않은 것),99570,,화강암 원석(파쇄되지 않은 것),158177,, 연(납)광 및 아연광(채굴 및 정광), X
건설용 쇄석(석회쇄석제외),897732,,건설용 쇄석(석회쇄석제외),974753,,기타 점토,4739,,  화강암 원석(파쇄되지 않은 것),64100,,  화강암 원석(파쇄되지 않은 것),64907,,  건설용 쇄석(석회쇄석 제외),1109331,,  화강암 원석(파쇄되지 않은 것),50916,,  화강암 원석(파쇄되지 않은 것),64016,,석회석 원석(파쇄되지 않은 것),22864,,석회석 원석(파쇄되지 않은 것),26194,,석회석 원석(파쇄되지 않은 것),69038,,석회석 원석(파쇄되지 않은 것),42742,,석회석 원석(파쇄되지 않은 것),38623,,석회석 원석(파쇄되지 않은 것),44129,, 기타 비철금속광(채굴 및 정광), X
건설용 천연모래,371881,,건설용 천연모래,333887,,화강암 원석(파쇄되지 않은 것),92014,,  석회석 원석(파쇄되지 않은 것),12981,,  석회석 원석(파쇄되지 않은 것),14623,,  건설용 천연모래,443772,,  석회석 원석(파쇄되지 않은 것),24220,,  석회석 원석(파쇄되지 않은 것),24604,,건설용 쇄석(석회쇄석 제외),1178214,,건설용 쇄석(석회쇄석 제외),1109645,,건설용 쇄석(석회쇄석 제외),1371551,,건설용 쇄석(석회쇄석 제외),1377595,,건설용 쇄석(석회쇄석 제외),1470410,,건설용 쇄석(석회쇄석 제외),1366030,,,
천연 자갈,22189,,천연 자갈,17357,,석회석 원석(파쇄되지 않은 것),12153,,  건설용 쇄석(석회쇄석 제외),827320,,  건설용 쇄석(석회쇄석 제외),992564,,  천연 자갈,78084,,  건설용 쇄석(석회쇄석 제외),1002174,,  건설용 쇄석(석회쇄석 제외),972495,,건설용 천연모래,337030,,건설용 천연모래,346728,,건설용 천연모래,467033,,건설용 천연모래,452276,,건설용 천연모래,287434,,건설용 천연모래,234574,, 비금속광물 광업; 연료용 제외,  2 889 459
공업용 천연모래,14633,,공업용 천연모래,23813,,건설용 쇄석(석회쇄석제외),931074,,  건설용 천연모래,247528,,  건설용 천연모래,419461,,  공업용 천연모래,91854,,  건설용 천연모래,362878,,  건설용 천연모래,335513,,천연 자갈,73901,,천연 자갈,72023,,천연 자갈,69259,,천연 자갈,60321,,천연 자갈,60156,,천연 자갈,66966,,,
납석,16777,,납석,17772,,건설용 천연모래,349145,,  천연 자갈,45401,,  천연 자갈,26008,,  납석(채굴),11679,,  천연 자갈,86457,,  천연 자갈,74815,,공업용 천연모래,110996,,공업용 천연모래,94842,,공업용 천연모래,105447,,공업용 천연모래,97249,,공업용 천연모래,100502,,공업용 천연모래,104331,, 석회쇄석(채굴),   595 979
