품목별,출하금액(백만원)
광업,2851966
"석탄,원유및천연가스광업",511605
무연탄(채굴),316505
원유(채굴한것),...
천연가스(채굴한것),...
금속광업,40220
철광(채굴및정광),...
귀금속광물(채굴및정광),...
연(납)광및아연광(채굴및정광),...
비금속광물광업;연료용제외,2290966
석회쇄석(채굴),405139
고령토(채굴),3510
기타점토(채굴),...
화강암원석(파쇄되지않은것),87997
석회석원석(파쇄되지않은것),...
건설용쇄석(석회쇄석제외),1109331
건설용천연모래,443772
천연자갈,78084
공업용천연모래,91854
납석(채굴),11679
소금(채취한것),13065
규석(채굴),7937
장석(채굴),...
기타비금속광물,11307
광업지원서비스업,...
기타광업지원서비스,...
제조업,1083921476
식료품제조업,51559644
쇠고기(도축),283423
돼지고기(도축),1221849
닭고기,1958271
오리고기,226854
원피,...
도축고기및가금고기부산물,208767
"가금류소지시,통조림및병조림",...
가금류포장육,565953
기타가금류가공품,271671
베이컨,24027
햄(가축),535564
소시지(축육),272694
기타육지동물소시지유사제품,132499
육지동물통조림및병조림,...
육지동물포장육,2000268
기타고기가공품,709518
어묵및유사가공품,359087
어육소시지및어묵햄,104734
조미오징어,122465
조미쥐치포,26483
기타조미조제식품및어류훈제품,42115
기타수산동물조리가공품,87020
참치통조림,289823
골뱅이통조림,51439
굴통조림,19067
꽁치통조림,9152
기타수산동물통조림,6938
명태건제품,81765
멸치건제품,94606
오징어류건제품,49581
어류의채(건조한것),50073
기타소건품,21214
기타자건품,14493
기타수산동물및부산물건제품,6783
멸치젓류,14562
명란젓및창란젓,76618
기타젓갈류,113395
어류염장품,197116
냉동참치,184836
냉동고등어,38884
동태,3508
기타어류및부산물의냉동품,140307
갑각류냉동품,25803
연체동물냉동품,149576
"어육(신선및냉동한것,등뼈제거)",245397
비식용어분,33002
기타수산동물가공품,29697
어류부산물(신선및냉동한것),27424
김,474993
미역,92078
톳,16965
기타해조류가공품,52812
김치,945522
단무지,134617
기타과실및채소절임식품,97428
오렌지원액,...
농축과실즙,78927
농축채소즙,47349
과실주스,80159
채소주스,29552
과실통조림,49562
잼및젤리통조림,138650
냉동과실,21018
기타과실가공품,23533
채소통조림,13607
건조채소,78102
기타채소가공품,190235
견과가공품,47287
식용지방(육지동물의것),106361
비식용지방(육지동물의것),25347
수산동물조유(원유),...
동물성지방부산물,119208
참기름,191697
들기름,4059
옥수수원유(압착한것),5948
채종유(유채유),...
기타식물성원유(압착한것),41795
대두박,396505
기타식물성유박,8457
콩기름(대두유),546282
옥수수기름,99572
올리브유,32896
마아가린,95247
쇼트닝,106230
기타식물성정제유및가공유,107667
시유,2544695
연유,35024
조제분유(우유기저),...
분유,395085
발효유,1468695
버터,19837
치즈,344943
기타낙농제품,92429
아이스크림,1023978
빙과,400036
쌀(도정한것),1647391
보리쌀(도정한것),70965
기타도정곡물,38447
도정부산물,9787
밀가루,1330234
콩가루,3486
옥수수가루,18081
기타곡물가루,107327
소맥피,...
제분부산물,...
제과용혼합분말및반죽,404281
선식류,109105
앙금류,60137
씨리얼식품,157072
기타곡물조제식품,50236
고구마전분,10763
옥수수전분,171260
소맥전분,69783
기타전분제품,71881
포도당,43201
물엿,273348
과당,201278
기타당류,54684
떡(제조도매),190995
떡(제조소매),35120
식빵(제조도매),248809
도넛(제조도매),83196
피자(제조도매),...
기타빵류(제조도매),895414
케이크(제조도매),234099
빵(제조소매),43300
코코아분말,26428
초콜릿류,605048
캔디류,396294
껌,125225
미과,67520
스낵류,965342
건과자류,238437
