"품목분류별 사업체수，생산액，출하 및 연말재고액(10명이상)"

"C행정구역별","행정구역별","C품목별","품목별","시점","사업체수 (개)","생산액 (백만원)","출하금액 (백만원)","완제품 연말재고액 (백만원)"
'00,"전  국",'C10212109,"  기타 수산동물 및 부산물 건제품",2009,12.0000,6920.0000,6783.0000,558.0000
'00,"전  국",'C10212201,"  멸치젓류",2009,8.0000,13824.0000,14562.0000,2585.0000
'00,"전  국",'C10212202,"  명란젓 및 창란젓",2009,20.0000,77927.0000,76618.0000,3336.0000
'00,"전  국",'C10212203,"  기타 젓갈류",2009,38.0000,113208.0000,113395.0000,6855.0000
'00,"전  국",'C10212204,"  어류 염장품",2009,56.0000,191454.0000,197116.0000,15119.0000
'00,"전  국",'C10213101,"  냉동 참치",2009,7.0000,184316.0000,184836.0000,5773.0000
'00,"전  국",'C10213102,"  냉동 고등어",2009,23.0000,38174.0000,38884.0000,3382.0000
'00,"전  국",'C10213103,"  동태",2009,3.0000,3523.0000,3508.0000,302.0000
'00,"전  국",'C10213109,"  기타 어류 및 부산물의 냉동품",2009,46.0000,140509.0000,140307.0000,9523.0000
'00,"전  국",'C10213201,"  갑각류 냉동품",2009,12.0000,26028.0000,25803.0000,960.0000
'00,"전  국",'C10213202,"  연체동물 냉동품",2009,51.0000,151390.0000,149576.0000,7107.0000
'00,"전  국",'C10219100,"  어육(신선 및 냉동한 것, 등뼈 제거)",2009,52.0000,249910.0000,245397.0000,11247.0000
'00,"전  국",'C10219201,"  비식용 어분",2009,9.0000,33306.0000,33002.0000,1605.0000
'00,"전  국",'C10219209,"  기타 수산동물 가공품",2009,5.0000,29687.0000,29697.0000,900.0000
'00,"전  국",'C10219900,"  어류 부산물(신선 및 냉동한 것)",2009,15.0000,27230.0000,27424.0000,815.0000
'00,"전  국",'C10220101,"  김",2009,178.0000,473462.0000,474993.0000,11045.0000
'00,"전  국",'C10220102,"  미역",2009,72.0000,88896.0000,92078.0000,7077.0000
'00,"전  국",'C10220103,"  톳",2009,8.0000,18911.0000,16965.0000,3352.0000
'00,"전  국",'C10220109,"  기타 해조류 가공품",2009,54.0000,52059.0000,52812.0000,6418.0000
'00,"전  국",'C10301101,"  김치",2009,230.0000,945509.0000,945522.0000,22842.0000
'00,"전  국",'C10301102,"  단무지",2009,47.0000,134813.0000,134617.0000,3078.0000
'00,"전  국",'C10301109,"  기타 과실 및 채소 절임식품",2009,60.0000,98345.0000,97428.0000,4641.0000
'00,"전  국",'C10309101,"  오렌지원액",2009,1.0000,...,...,...
'00,"전  국",'C10309102,"  농축 과실즙",2009,25.0000,78091.0000,78927.0000,7537.0000
'00,"전  국",'C10309103,"  농축 채소즙",2009,21.0000,48671.0000,47349.0000,2714.0000
'00,"전  국",'C10309104,"  과실주스",2009,16.0000,80690.0000,80159.0000,5562.0000
'00,"전  국",'C10309105,"  채소주스",2009,5.0000,29533.0000,29552.0000,101.0000
'00,"전  국",'C10309201,"  과실 통조림",2009,12.0000,48552.0000,49562.0000,5432.0000
'00,"전  국",'C10309202,"  잼 및 젤리 통조림",2009,28.0000,138555.0000,138650.0000,8678.0000
'00,"전  국",'C10309203,"  냉동 과실",2009,7.0000,20364.0000,21018.0000,2196.0000
'00,"전  국",'C10309209,"  기타 과실가공품",2009,14.0000,23087.0000,23533.0000,4175.0000
'00,"전  국",'C10309301,"  채소 통조림",2009,6.0000,14127.0000,13607.0000,1491.0000
'00,"전  국",'C10309302,"  건조 채소",2009,22.0000,79625.0000,78102.0000,7515.0000
'00,"전  국",'C10309309,"  기타 채소가공품",2009,60.0000,188127.0000,190235.0000,5558.0000
'00,"전  국",'C10309400,"  견과 가공품",2009,10.0000,47371.0000,47287.0000,2358.0000
'00,"전  국",'C10401101,"  식용 지방(육지동물의 것)",2009,7.0000,107193.0000,106361.0000,4352.0000
'00,"전  국",'C10401102,"  비식용 지방(육지동물의 것)",2009,4.0000,25320.0000,25347.0000,200.0000
'00,"전  국",'C10401200,"  수산동물 조유(원유)",2009,2.0000,...,...,...
'00,"전  국",'C10401900,"  동물성 지방 부산물",2009,18.0000,120586.0000,119208.0000,4355.0000
'00,"전  국",'C10402101,"  참기름",2009,30.0000,191903.0000,191697.0000,13296.0000
'00,"전  국",'C10402102,"  들기름",2009,9.0000,4125.0000,4059.0000,344.0000
'00,"전  국",'C10402103,"  옥수수 원유(압착한 것)",2009,3.0000,6052.0000,5948.0000,188.0000
'00,"전  국",'C10402104,"  채종유(유채유)",2009,2.0000,...,...,...
'00,"전  국",'C10402109,"  기타 식물성 원유(압착한 것)",2009,7.0000,43378.0000,41795.0000,2849.0000
'00,"전  국",'C10402901,"  대두박",2009,3.0000,393983.0000,396505.0000,196.0000
'00,"전  국",'C10402909,"  기타 식물성 유박",2009,4.0000,8505.0000,8457.0000,391.0000
'00,"전  국",'C10403101,"  콩기름(대두유)",2009,11.0000,547955.0000,546282.0000,14029.0000
