품목별,값1,값2,값3
고무스펀지 및 발포성제품,285606,318251,300453
고무장화,38604,26779,29119
고무젖꼭지,30604,29586,6640
고무줄 및 밴드,66101,59966,55091
고무직물,X,X,X
고무패킹,1732004,1810675,1782204
고무호스,776892,851629,883992
고밀도폴리에틸렌(HDPE),3940068,4386651,3685461
고순도이소프탈산,X,X,X
고압 차단기(1000v 이상),1480872,1293794,1006593
고압배전반(전압1000v 이상),1376176,1471150,1629464
고장력철근,2791097,2461551,1959807
고추가루,242212,268070,309333
고추장,448194,404235,351238
곡물 혼합 분말 및 반죽,813984,857359,881493
골뱅이통조림,60794,53855,47941
골판지,945974,1064827,950409
골판지 상자,4055165,4309949,4401774
골판지원지,2550461,2545623,2431736
골판지제조기,33166,27611,25459
골프용품,165685,166744,185500
공기조절장치 부품,1971888,2101694,2083342
공기청정기,705582,987272,1156571
공압실린더 및 공압액츄에이터,330106,332249,290348
공업계기의 부품,126128,153398,151907
공업용 고무롤,153968,101384,99476
공업용 고무판,89517,98634,104107
공업용 비누,X,,
공업용 재봉기,21313,19390,54173
공업용 지방산,X,X,X
공업용 천연모래,97249,100502,104331
공업용로,300162,481712,488011
공작기계용 절삭공구,2139121,2322546,2206006
공해계측기,224120,288005,282817
과당,365077,295344,252492
과산화수소,486370,530492,531786
과실 통조림,48622,54376,49625
과실음료,946694,817773,673546
과실주스,143470,107118,110141
관악기,9070,X,X
광 업(05~08),3369343,3203020,3047608
광디스크 드라이브,X,X,X
"광물용 파쇄, 마쇄 및 선별기",270113,258692,255998
광물처리장비 부품,23038,24705,23209
광선치료기,377305,399334,453047
광섬유,X,49798,1637
광섬유 케이블,542757,390393,664065
광업 및 제조업,1468456498,1521125882,1494771123
광업 지원 서비스업,X,X,X
"광전송 장비(다중계기, 분배기)",485297,437250,381884
광통신기기 부품,633347,669073,714957
광학렌즈,2575773,2243965,945843
광학필터,92916,85287,75509
광학현미경,61811,69640,81749
교량,413939,491938,426596
교환기 부품,20325,27849,31880
구두약,X,6557,3250
구상흑연주물(덕타일 주물),151094,175997,213882
구입한 수지의 배합물,1203101,1375103,1300368
구입한 압축 및 액화가스의 정제,135148,102478,124376
국수,292204,308830,306377
국악기,2442,X,X
군사용 무기 및 부품,5152753,5477474,5676624
굴 통조림,18029,11545,19206
굴삭기,4666158,4642594,4663236
권선(마그네틱선),966637,955185,814876
권선기,24776,33956,31200
귀금속 2차정련품,82364,85592,178803
귀금속 압연 및 압출 제품,98441,88646,150812
귀금속제의 세공품 및 부품,57643,81411,116726
귀금속제의 신변장신구 및 부품,601965,714345,764251
귀석 및 반귀석(원석을 1차가공한 것),13323,20483,29830
규산소다,67954,61000,67168
규석(채굴),24278,23802,17135
규석분,65420,89803,79676
그라비아 잉크,269208,274099,275019
그라스울 샌드위치패널,X,58737,43298
그래픽 카드,X,X,X
그리스(석유기저),83653,107596,92645
그림물감,26649,33334,32016
그외 악기,4014,X,X
그외 전기식 악기,X,X,X
극소형 조립회로,3973192,4028328,3880760
글루타민소다,X,X,
글리세린,25656,34694,39243
금·은 및 백금 광업,X,X,X
금고,123119,114168,119641
금고 부품,9905,10833,9039
금괴,2534762,2368568,2918928
금속 가공제품 제조업; 기계 및 가구 제외,70984326,69442114,71323007
금속 광업,X,X,X
금속 단조기,14079,13524,14716
금속 압연기,83602,65634,61064
금속 열처리 제품,888150,869330,949473
금속 인발기,9816,8856,9603
금속 전단기,54442,45901,36822
금속 절곡기,113050,143883,127772
금속 튜브용기,127980,108142,100145
금속 표면처리기,457506,503117,420737
금속가구 부품,66147,65606,84338
금속선 가공기,56910,34492,45504
금속성형기계의 부품,33680,38758,55565
금속절삭가공기계의 부품,250810,214786,293853
금속제 모조 장신용품,130322,128123,66924
금속제 서가,63699,66200,81868
금속제 식탁용품(식기제외),38935,32241,50503
금속제 액자틀,9172,8966,X
금속제 영구자석 제조,120144,124430,121166
