품목별,값1,값2,값3
내연기관용 전기장치(자동차용 제외),91157,71102,85169
내화도가니,X,X,X
내화벽돌 및 블록,327815,387798,396973
내화시멘트,186884,216925,192761
내화타일,51859,51326,49684
냉각탑,173796,154022,134338
냉간압조용 강선(CHQ),806652,782944,771961
냉동 고등어,120558,108534,125065
냉동 과실,36477,38063,34441
냉동 참치,282806,260063,277072
냉동만두,719595,741279,787559
냉동，냉장 쇼케이스,392342,401988,377378
냉매 압축기(차량용 제외),688358,771407,918949
냉면,140971,205041,235778
냉연 봉강 및 냉연 형강,333736,517485,449855
냉연광폭강대(스테인리스제 제외),4560346,5093810,4449875
냉연박판(스테인리스제 제외),78676,X,59346
냉연전기강판(스테인리스제 제외),60015,26214,46055
냉연협폭강대(스테인리스제 제외),505433,460081,309765
넥타이,17661,26010,20601
노래반주기,118822,94838,103149
노트류,175882,168158,198094
노트북,26221,34375,33516
노트북용LCD,3137239,3751894,5658540
녹음기 및 녹음재생기,34523,30136,20235
녹차,114378,131258,118543
놀이공원용품,3937,4363,X
놀이터용 장비,129898,169199,212599
농업용 건조기,98511,96798,86403
농업용 기계 부품,489419,613993,611639
농업용 분무기,83016,124116,119770
농업용 수공구,5002,4638,8122
농업용 트랙터,980374,1131325,1208056
농축 과실즙,170285,187244,262259
농축 채소즙,201482,182392,155165
"니켈 압연,압출 및 연신제품",67899,47862,X
니켈괴,X,X,X
"다이, 지그 및 공작기계 부착물",749814,850574,974123
다이오드,369638,325230,272478
단무지,268203,302181,305799
단미사료,95327,119942,157812
단추 및 지퍼 부품,11164,4530,X
단판,69765,83883,35218
닭고기,2589867,2580640,2616477
담배,3517804,3227144,3244623
담배 라이터,X,X,X
담배 제조업,3802582,3570472,3693989
담배 필터,301168,296883,356819
담배잎(재건조),X,X,X
담요,27687,28009,10674
당면,52725,57668,59818
대나무 돗자리,4043,4020,5279
대두박,500657,495362,394226
대륙 간 탄도 미사일,X,X,X
대형 승용차(배기량2000cc이상),11187100,10814667,8886779
대형냉장고(401ℓ 이상),1466496,2025689,1968228
대형버스,1137871,1290108,1059012
대형트럭,X,X,869968
데스크탑 PC,380865,433834,432069
도금 강관 및 피복 강관,532473,523014,515332
"도난, 화재 및 유사 경보기(차량용 제외)",246250,338682,397062
도넛(제조도매),86713,128613,163428
도로포장 기계,80335,70274,44659
도료충전제,201273,216327,231299
도시락(제조도매),854995,958936,954971
도안 및 제도기구,81417,65149,66432
도자기 제조용 분말,38039,25584,25220
도장용로봇,93230,88616,74592
도정 부산물,52136,90845,70667
도화선 및 뇌관(화약용),104854,111744,83905
동 2차정련품,978630,853281,950405
동 분말,158465,166971,166577
동 주물,197810,201441,258063
동1차정련품,4754211,5132484,4920792
동관,1161035,1175717,1119855
동단조물,51488,26044,27111
동력 항공기,1028339,1618047,1936146
동물 및 기타인형,110174,80700,76404
동물성 지방 부산물,176035,167089,172199
동물용 약제품,455509,557811,563406
동물용 조제식품,28526,44336,59646
동박(두께 0.15 ㎜ 이하),522402,635636,580982
동봉,958361,989462,903707
동전 및 화폐 처리기,114783,110865,148088
동제의 관연결구류,277557,400456,437582
동태,47620,75333,62997
동판,1511802,1599425,1319736
돼지가죽,X,X,X
돼지고기(도축),1480520,1473698,1526958
된장,189192,205054,189268
두부,523045,506666,519254
두유,407078,398986,401465
드라이버,X,X,X
드럼통,548394,560195,565276
드릴,81475,47660,41587
드릴링기,36253,31323,22033
들기름,25643,36225,29799
등산용 배낭,33622,20392,30505
등유,2441058,3037616,2735568
디니트로톨루엔(DNT),X,X,X
디지털 다중화장치,35334,38853,61978
디지털 도어록,358909,396329,359918
디지털 잉크,127125,115442,87158
디지털 적층 성형기계,88398,81588,99219
디지털 적층 성형기계 부품,18289,12912,10439
디지털 카메라,X,X,X
디지털 피아노,17814,19136,20824
떡(제조도매),340974,386174,419552
떡(제조소매),49201,50245,55453
"라디오, 녹음 및 재생기기의 부품",35745,38747,38409
라디오송신기,X,X,X
라면,2253618,2054333,2342479
라우터 및 게이트웨이,43372,35827,53768
라이타 및 흡연용품의 부품,X,X,9668
락카,105886,96497,84045
레미콘,10744584,10225239,9693526
레이더기기,499598,540697,449615
레이스원단 및 망직물(편직된 것),87121,94239,66854
레이저 가공기,382240,453310,368261
레이저 프린터,396898,412255,259344
레이저디스크 플레이어 및 DVD 플레이어,119372,121487,94494
레이저발생기기,90370,36820,55463
레이크계 안료,125703,116532,111906
레토르트 식품,832084,923943,1127718
렌지후드,150732,151912,140885
로 부속품 및 부품,123710,148426,180892
로더 및 불도저,402934,444195,401489
로션 및 오일,3653279,3862288,4682341
로프(합성섬유),184860,166551,148864
루즈,287208,288177,263238
룸에어컨,469675,355462,322972
리드프레임,842884,878721,725039
리모콘,211305,158368,169149
리베트(금속제),53852,34659,33414
리튬코발트산화물,X,818967,712733
리프트기기,148815,120391,121891
린넨,X,,
린스,20876,24269,34492
마 및 기타 식물성 직물,6781,7420,5697
마그네틱 스트라이프를 자장한 카드,65725,70697,62464
마네킹 인형,7530,6375,5928
마루덮개 및 유사제품,112501,107771,82591
마루용 판재,243902,292387,239016
마사 및 기타 식물성 섬유사,X,X,X
마아가린,98638,51602,X
마요네즈,249519,363473,241813
마우스,8419,6761,1001
마이크로 콤퍼넌트,259472,748083,92234
마이크로폰과 그 스탠드,87372,75166,58246
맛소금,X,X,X
망간철,126512,97277,X
매니큐어 및 제거제,39113,31024,31448
매실주,X,X,X
매트리스,388049,398638,440441
매트리스 지지물,32412,43135,31440
맥아,X,X,X
맥주,2466683,2352107,2021602
머리빗,10122,9677,13390
머리핀 및 미장원용 핀,10580,10344,7881
머시닝 센터,1587910,1499167,1473320
멀티미디어카드,X,X,X
메주,11623,9733,9095
메탄올,X,X,7153
메틸렌 디페닐 디이소시아네이트((MDI),1388726,1564251,1162068
메틸메타크릴레이트(MMA),654807,664865,481353
메틸터셔리부틸에테르(MTBE),253155,267788,385747
멜라민수지,86317,83640,88463
면도기 및 면도날,271048,294781,X
면양 또는 산양(염소)의 가죽,X,X,X
면편조물,123785,124481,89795
면혼방사,235714,222706,217192
멸치 건제품,119282,132720,133660
멸치젓류,6745,7100,6297
명란젓 및 창란젓,104784,107319,98340
명태 건제품,170954,165957,185283
모니터용 LCD,6035768,4005627,5290599
모래주형(중자포함),151648,147689,128485
모자,121423,123300,111162
모터보트,16719,11763,11755
모터사이클,72980,35954,46846
모터사이클  전용부품,32876,34708,33846
모터사이클타이어,X,X,X
목공기계,43489,41218,39451
목공기계 부품,X,X,X
목도리,X,X,X
목모와 목분,24466,28672,35068
목선(동력식),X,X,X
목재 및 나무제품 제조업; 가구 제외,5954563,5803519,5559394
목제 그림틀 및 사진틀,9620,7085,9223
목제 깔판류 및 기타 적재용 판,631959,638476,633331
목제 상(식탁용),6013,5616,5367
목제 상점진열대 및 라커,163982,172435,158474
목제 식탁 및 식탁의자,77525,81685,89606
목제 싱크대상판,124350,115322,115063
목제 의자,61374,62927,63768
목제 조리대(싱크대),793476,781117,664710
목제 책상,80503,87104,103305
목제 침대,515088,537557,544094
목제 칸막이,69915,66873,53119
목제 패널,293076,284998,267521
목제가구 부품,167408,148536,122065
목제도구 및 부품,11998,13077,10509
목제의 건물 부착물,142344,134565,131836
목제의 문 및 문틀,689770,521577,503411
목제의 창문 및 창문틀,119277,130414,118006
목제의 케이블드럼,26520,30685,31783
목제의 포장 및 운반용 상자,495780,484250,432822
목제통 및 관련 부품,29117,24326,42557
몰드베이스,592764,585593,650894
무계목강관,358487,337459,431439
무동력 보트,X,X,X
무동력 항공기,X,X,X
무선 호출기,36989,31384,27015
무선통신 기지국용 송수신기,136082,86093,868881
무선통신 단말기의 부품,337142,356127,365166
무선통신기기의 부품,238127,211668,195379
무선통신용 교환기,177598,166311,76660
무선통신용 중계기(릴레이),775943,718981,629435
무수마레인산,52285,64641,57763
무수프탈산(PA),294264,307464,291060
무연탄(채굴),216141,207286,159933
무인 비행장치,X,11038,15231
무인 항공기,52905,35621,37513
무전기,229820,308458,184262
무정전 전원장치,494550,508049,536310
무한궤도,197035,363278,55404
문갑,X,X,
문구용칠판 및 화이트보드,38416,30088,31884
문서 및 그림 코팅기(사무용),72941,71132,77943
문서 펀칭기(사무용) 및 스테이플러,23537,12520,9707
물에 뜨는 구조물,1729938,1580636,128884
물엿,395805,451751,359453
물질 검사·측정 및 분석기구의 부품,388658,375169,605357
물품취급용 크레인,660313,576788,549609
물품취급장비 부품,91138,102100,94013
미과,78107,83528,130988
미생물 배양제,70733,90801,94090
미역,169858,158858,157777
밀가루,1102146,996200,1170016
밀링기,47959,31766,35473
바늘,71635,61800,61568
바리스터,156740,153225,164950
바이오 디젤,297476,454480,813149
바이오 에탄올,X,X,X
바이올린,X,,
바이폴라 IＣ,265322,258168,364104
바인더,36702,60938,50519
반도체 검사장비,2322038,2400165,2196781
반도체 조립 장비,4766473,5076171,3797985
반도체용 식각제,1709278,2271852,2324877
반도체웨이퍼,1891336,2509648,2660787
반도체제조 장비 부품,4697411,4447263,4022595
반송기기 부품,7024,10873,29451
반송장치(디지털),311709,290164,197697
반송장치(아날로그식),12989,10977,15078
반응성염료,192887,154723,128959
발전기,517602,538534,628249
발전기세트,134934,112430,124987
발전변압기,56448,48290,44005
발전플랜트,1499541,466009,247543
발포 및 소포제,187854,207020,185011
발효유,1592820,1591699,1568723
방사선 기타 장치,4330,7287,X
방사선장치의 부품,117038,143240,137497
방송국용 기기의 부분품,52977,48328,49896
방송용 영상관련 기기,88330,92002,101136
방송용 음향관련 기기,120367,145803,137912
방송용 증폭기,92677,124295,195792
방수액,192627,191648,197717
방열기,89272,96847,169869
방적기,63358,52489,79190
방적용 면,X,X,X
방적용 모,28906,31263,X
방전가공기,48811,58753,76357
방진고무,1221142,1198251,1260307
방향유,142482,153933,164394
배선용 차단기(1000v 미만),864277,886744,961289
배전반 부품,339249,378794,342396
배터리 충전기,346034,451632,422868
배터리팩,835049,565761,230517
배합고무,520813,549587,562018
배합사료(기타 동물),1365688,1002890,1088325
배합사료(양계용),1709211,2029687,1873717
배합사료(양돈용),2301926,2368704,2439227
배합사료(양어용),219040,203853,215578
배합사료(양우용),3155167,3160357,3451272
백삼,2625,1542,X
백상지,1141344,1375205,1453066
백색시멘트,87206,87945,83387
백신,414875,371960,372262
백열 전구,10497,10513,9019
백판지,728568,782016,795896
버스 및 화물차 타이어,185588,415437,427436
버터,29563,32120,35105
벌크선(철강제),640930,541621,1035345
범용 선반,52510,67437,31680
법랑제 주방 및 식탁용품,X,X,10573
벙커C유,5883832,7638788,7110240
베개 및 유사제품,66590,56132,37855
베어링 부품,311872,303578,299114
베이컨,175427,65315,88495
벤젠,5284143,5460181,5378291
벨트(허리띠),16959,14764,15827
벽시계 및 탁상시계,13659,10182,14170
변기,76312,89146,83276
변속기,808095,764908,666393
변압기 부품,319619,296097,297316
병마개,205496,200303,209686
병원침대,59921,85742,110394
병，용기의 세척기,15735,9386,X
보리쌀(도정한 것),34385,36204,40503
보링기,19926,36198,118966
보석제 제품,19636,19041,27370
보온용 및 기타 진공용기,11513,23742,16304
보일러 부속품 및 부품,141759,154272,146878
보청기,28316,26849,22075
보통 철선,460673,516981,472105
보통 포틀랜드시멘트,2081557,1650328,1476403
보통강 단조물,1272389,1340954,1342194
보통강 주물,914137,792170,787801
복분자주,30386,37554,20897
복사기,87253,105715,14348
복사기 전용부품,105293,86495,70204
복층절연유리,310692,336397,344591
복합비료,920161,927623,903699
볼 및 플러그밸브,407027,375160,373369
볼 베어링,1537214,1671401,1693571
볼터치,48794,51513,52114
볼트 및 너트류(금속제),3629460,3590374,3609878
볼펜,95508,97846,97824
봉강(보통강),881637,1426084,1141042
봉강(스테인리스강),1822293,1837388,1533525
봉강(특수강),1285876,1401838,1799625
부동액,X,X,X
부직포,874926,890668,824107
부직포 제품,453494,474557,494736
부타디엔,1717222,2067429,1452515
부탄가스,2319790,2399995,2324422
부탄올,136568,164116,124432
분말야금제품,414839,426122,418595
분사기,78017,144346,112123
분산염료,122787,149836,130419
분유,157026,154062,152053
불포화폴리에스터수지,404022,397040,589627
브라운관용 유리,X,X,X
브레이크라이닝,12772,13145,9459
블룸 및 쉬트바,X,X,X
비군사용 총기류,21943,26849,30238
비금속 광물제품 제조업,36235039,35372193,34026717
비금속광물 광업; 연료용 제외,2855088,2713294,2620455
비금속제 모조 장신용품,17640,17291,17551
비내화 모르타르,615832,591653,677354
비닐도포직물,100623,103308,100465
비디오도어폰,189807,171620,179609
비디오용 헤드드럼,X,X,X
비디오테이프 녹화재생기,X,,
비스코스직물,45883,42215,36725
비식용 어분,20957,20960,21164
비식용 지방(육지동물의 것),45892,39858,41587
비철금속선(동력식),12630,8733,X
빌렛,604005,478453,505566
빙과,622520,576714,266936
사람인형,5556,8135,7391
사료 첨가제,351150,409570,447046
사료가공 기계(농업용),67633,73936,77247
"사무, 작업 및 위생용 의복",619711,632252,805553
사무기기의  전용부품,11732,10118,13546
사무용 금속제 의자,416035,328207,398663
사무용 금속제 책상,151845,177250,205348
사무용 기계 수리,20203,12797,17353
사무용 목제의자,38942,33834,30531
사무용 목제책상,340217,303302,290542
사무용 목제탁자 및 테이블,62351,59879,66916
사무용 보관함,114680,124194,123247
사무용 봉투,57542,71343,61478
사설 교환기,X,X,X
사이다,320415,365767,509842
사인펜,38547,24694,37535
"사진기, 영사기 및 관련장비의 부품",135313,168529,231795
사진섬광기구,X,X,X
"사진용 감광성 필름, 판 및 종이",217588,497513,469755
사진용 화학물질,403764,414903,204524
산성 및 매염염료,60786,70113,43476
산소(Oxygen),629791,528446,554312
산소호흡기,20054,25780,67410
산업 및 상업용 냉장고,469072,377437,607202
산업용 가죽제품,17208,26711,26766
산업용 공기압축기,403036,613269,616513
산업용 기계 및 장비 수리,1156663,1512522,1368004
산업용 기계 및 장비 수리업,2621025,3009142,2956887
산업용 냉동기,911465,898074,796327
산업용 냉장 및 냉동장비의 부품,770004,714594,755743
산업용 로봇 부품,355317,337755,674453
산업용 방사선장치,43812,75270,84416
산업용 범용 건조기,457373,527145,461967
산업용 솔,35639,33318,37231
산업용 액체펌프,1190160,1180700,1230325
산업용 온수보일러,762642,630390,537390
산업용 온수보일러 및 방열기의 부품,50258,34277,39415
산업용 일반변압기,833356,838691,981470
산업용 저울,61886,63251,55358
산업용 접시 세척기,62505,59182,65619
산업용 조명장치,510600,523160,400728
산업용 트럭 및 적재기 부품,288636,345503,321396
산업용기계 부품,1128545,1218837,1425399
산업용온도조절기,628003,685552,516217
산화방지제(고무·플라스틱용),607377,603688,611893
산화철,79680,58808,61151
산화티타늄,104323,98734,102793
산화프로필렌(PO),X,X,X
살균기(의료 및 실험실용),78102,86259,108352
상하수정화장비,354575,382893,508442
새도우마스크,X,,
색소안료,262829,238139,248614
색소중간착색제,66581,63061,74006
생물 살균제(농업용),26087,16381,17226
생물 살충체(농업용),29478,31043,32465
생물 제초제(농업용),X,X,X
생석회,459350,505246,534939
생수,761658,863362,892251
샤프펜,13545,16848,3001
샴푸,819842,853120,526430
서류가방,30042,40155,24561
서미스터,57367,57268,107845
석고보드,649063,596481,489063
석면제품,49806,61634,65058
석유 난로,44777,X,X
석유가스,X,,
석유수지,X,X,X
석탄 화학물,174617,169207,151705
"석탄, 원유 및 천연가스 광업",360292,331651,260403
석탄코크스,64596,X,X
석회석 원석(파쇄되지 않은 것),42742,38623,44129
석회쇄석(채굴),594636,541352,556550
선글라스,12811,11737,9710
선박 부품 수리,251991,305167,334980
"선박, 철도차량, 항공기 및 오토바이용 조명기구",151371,136498,137588
선박용 내연기관,2515593,2533829,2834282
"선박용 프로펠러, 날 및 닻",186719,211013,238752
선식류,90777,139468,203711
선재(보통강),720574,703235,730000
선재(스테인리스강),X,X,X
선재(특수강),2641332,2679074,2516070
선체블록,1954884,1934779,2784908
선형폴리에스터수지,1059560,1017208,1196812
설치용 및 위생용 플라스틱제품,976029,1027930,980870
섬유 기타 가공,19845,22765,37146
섬유 장갑,65442,55301,63257
섬유 호부처리,48244,47250,53591
섬유사 염색,215765,195871,145204
섬유제품 제조업; 의복 제외,16869326,16459226,15901181
세금선,917031,539638,X
세라믹 유전체의 고정축전기,1304385,1445493,1616826
세라믹제 및 페라이트 자석,162235,165574,149932
세면기,56138,84084,57273
세탁 비누,22976,26871,23537
세탁용 합성세제,604527,577296,598535
세폭직물,204691,210743,223478
센서,711138,772411,1262699
셀룰로스 에테르,X,X,X
셔터문,74441,73795,113252
소가죽,939864,905308,867039
소각로,688506,869607,412936
소각재,51018,54617,51152
소다회,X,X,X
소맥전분,X,X,
소맥피,21950,29842,X
소방차특장,170162,213123,154557
소석회,69697,69103,68530
소시지(축육),546548,369801,385198
소주,1835334,1833855,2095017
소파 및 가정용 내장의자,236712,282244,310245
소형 전동기,2244140,2469017,2377079
소형냉장고(200ℓ 이하),45056,45333,X
소형버스,X,X,X
소형승용차,9863415,6152039,7001384
소형트럭,3794505,3461533,3491488
소화기,208299,252566,275825
소화장비 및 분사기 부품,222144,192230,194567
속도계,719515,825236,485587
속도계 및 적산계기 및 부품,78542,88985,101451
손수건,34471,30815,30750
손톱 및 발톱 깍기,57708,46803,52678
솔벤트,899470,1191996,1684839
송배전변압기,1050715,906919,1091341
송풍기(산업용),924623,948071,1008087
송풍기(산업용) 부품,196148,132860,136679
쇠고기(도축),463205,587184,581160
쇠못,92711,119088,86688
쇼트닝,91666,106089,99255
수관보일러,410147,365897,455261
수도미터,100394,107962,111421
수렵용구,12377,5161,X
수산동물 조유(원유),20460,24881,48795
수산화나트륨(가성소다),961714,1154462,1099355
수산화알루미늄,88598,82625,84051
수상 금속 구조물,4165314,3165165,4761653
수성 페인트,168853,245103,227102
수소(Hydrogen),1313104,1258099,1332389
수전,826013,877235,783066
수정진동자,25742,20334,13418
수제지,15443,13917,13268
수지식 동력공구 부품,56550,86483,74606
수지식 동력연삭기,129928,126167,120673
수처리제,206448,271443,315077
수치제어식 선반,1123157,1496991,1237708
수치제어장치,339564,357539,356945
순견직물,29971,35682,27382
순면사,503102,567836,389536
순면직물,353503,342116,258638
순방모사,69972,82885,102270
순방모직물,21252,21269,32658
순소모사,48052,41020,31024
순소모직물,63586,56067,54018
순합성섬유사,135379,129655,101503
순합성섬유직물,1094604,1078517,988162
숯,14907,16006,16498
스낵류,1171104,1168839,1103758
스냅 단추,1193,1926,X
스마트 카드,329897,346106,338278
스위치(전기개폐용),2120909,1605689,1794757
스카프,76829,75994,64320
스캐너류,140610,71162,129251
스쿠알렌식품,6424,6151,X
스타킹,69221,67731,50495
스탠다드로직,X,X,X
스탬프(수동식),8285,32436,32851
스테인리스 냉연강판,4349605,3295210,3283411
스테인리스 단조물,136182,133381,154749
스테인리스 중후판 및 열연강판,4252498,4760424,4817722
스테인리스강선,562077,514385,503348
스텐레스 주방 및 식탁용품,288548,294741,300224
스티렌모노머(SM),3545601,4848127,3954334
스티로폼 샌드위치패널,106890,181067,149119
스틸캔(음식료품용),570657,539082,461028
스판덱스섬유,340413,328767,282384
스패너 및 렌치,10905,8200,11966
스포츠화,21148,19553,12567
스프링쿨러,109096,104933,82676
스피커,317220,311608,345635
스핀들,13857,12133,8845
슬래브,975267,707485,741216
승강기류 부품,765786,779180,713781
승용장난감,26053,19503,19991
승용차타이어,6085787,5584503,5793611
시계줄(금속제),X,X,X
시계케이스,X,X,X
시너(Thinner),356317,324402,241764
시멘트 클링커,510042,693788,417947
시스템에어컨,1567051,1850856,2009103
시안화나트륨,164255,154441,158903
시유,2720467,2897558,2775128
식료품 제조업,76251120,77953427,81991225
식물보호제,X,X,X
식물성 섬유음료,103731,136467,140121
식빵(제조도매),439792,661615,835086
식용 지방(육지동물의 것),62747,65558,56502
식초,109715,240968,143688
식품용 색소,73143,89863,92415
식품용 종이용기,381077,388901,405806
식품용 종이제품(용기 및 상자 제외),243776,279371,274263
식품위생용 종이상자,189403,209652,255011
신문용지,851142,693372,777563
신발장,75273,83543,89689
신용카드조회기,148802,88753,55912
신품 내연기관용 발전기,642270,732998,870811
신품 동력전달장치(자동차부품),19876640,19660000,21096106
신품 라디에이터 및 부품(자동차부품),365218,472658,444299
신품 배기조직 및  부품(자동차부품),2408067,2345001,2608631
신품 배전기와 점화코일,228702,164104,142873
신품 스타터모터,690946,993128,1203859
신품 안전벨트 및 부품(자동차부품),894071,820851,880663
신품 에어백 및 부품(자동차부품),1139534,1049195,1125673
신품 연료탱크(자동차부품),374153,357552,343250
신품 와이퍼 및 서리제거용 열선,570539,567894,471225
신품 음향신호용 기구,X,X,X
신품 자동차 전자제어,2416136,2047750,2586743
신품 점화 및 기타 목적용 와이어링하네스,3675171,3676335,3772968
신품 점화플러그,237645,237806,203797
신품 제동장치 및 부분품,5122888,5475778,5411634
신품 조향장치 및 부분품,5388398,5446844,5465161
신품 차량용 히터,409478,350544,489009
신품 차륜 및 부품(자동차부품),2619943,2716078,2774893
신품 촉매컨버터(배기관용; 자동차부품),154343,137928,236823
신품 현가장지 및 부분품,2178232,2207038,2097292
신호 및 제어선,341576,380819,371000
신호 발생기,X,X,3364
신호변환기,88751,101831,200492
실내용 가향제,98584,103836,113794
실리콘수지,1038013,1172484,982677
실물설명용 모형,263021,283517,262437
실험 및 과학용 가구,43871,37812,48886
실험실용 및 약물 포장용 유리용기,189367,175547,140612
심전계,36290,46536,44035
싱크상판,151056,145497,157667
쌀(도정한 것),1534725,1876923,1996979
쌍안경 및 천문관측기기,26016,92953,62638
씨리얼식품,217282,238858,242768
아날로그 집적회로,61388,52854,62775
아동용 구두(단화 포함),10092,8595,8296
아디핀산,X,X,X
아르곤가스,299028,367745,262965
아민,209787,104227,115465
아세테이트섬유,X,X,X
아세테이트직물,X,23455,43032
아세톤,348811,366299,233650
아세틸렌가스,37181,37332,41056
아스팔트,2204654,2515024,2371502
아스팔트 콘크리트 및 혼합제품,1250812,1276144,1274044
아스팔트성형제품,82713,89107,94878
아연 1차정련품,3518212,3713745,3051810
아연 2차정련품,222897,199317,215807
아연 분말,X,X,X
"아연 압연,압출 및 연신제품",139257,144264,124443
아연도 강선,590744,362910,341795
아연도강판,8683498,10313005,8901769
아연화,233466,345115,278714
아이세도우,193718,220648,422987
아이스크림,1025218,732822,1025003
아크 용접기,60078,48091,91473
아크릴도료,313753,460250,434899
아크릴레이트,786154,569887,457626
아크릴로니트릴(AN),X,X,X
아크릴릭섬유,X,X,X
아크릴산,X,X,X
아크릴수지(PMMA),442620,938495,723501
아트지,1689513,1672285,1219765
안경용 렌즈,157834,149822,194898
안경테,130603,121161,111328
안전 밸브,310769,306857,297915
안정제(고무·플라스틱용),397611,462289,467159
안테나,370047,373531,322738
안테나시스템,298023,190174,482619
알로에식품,78374,72245,80610
알루미나,316907,325065,362158
알루미나시멘트,X,X,X
알루미늄 1차정련품,1672997,1857572,1794893
알루미늄 2차정련품,1496669,1784888,1516765
알루미늄 관,555094,440306,429748
알루미늄 봉(압연에 의한 것),424286,335205,313015
알루미늄 분말,X,X,X
알루미늄 새시바(압출에 의한 것),2219719,2046473,2064053
알루미늄 선,319624,319888,300372
알루미늄 주물,1164774,1141585,1108101
알루미늄 판,3056014,3213619,3153574
알루미늄단조물,177389,173798,146367
알루미늄도금강판,590394,631174,1130828
알루미늄박(두께 0.2 ㎜ 이하),552706,616388,610388
알루미늄제  관연결구류,80283,46810,52307
알루미늄제 주방 및 식탁용품,626602,567324,548996
알루미늄캔(음식료품용),553432,597613,610275
알미늄 전해축전기,266091,229262,232595
알카리성 이온음료,111949,125741,110238
알칼리 축전지,4889223,7332436,8885754
알킬벤젠,X,X,X
암면 및 유사제품,336849,415049,416066
암모니아,259629,369891,350596
압력계,141263,101143,126057
압연기 롤,134646,113856,117173
압전소자,X,X,X
압축 및 액화 가스용기,673079,622028,743144
앙금류,99650,109765,115195
애완동물사료,256825,292807,365000
액면계,100416,84409,115631
액압 프레스,31960,33885,33283
액정 모니터(컴퓨터용),791585,787672,879261
액정(liquid crystal),503120,837803,505364
액체 여과기 부품,975748,910030,906124
액체비중계,4531,X,X
액체펌프의 부품,84620,98381,108207
앨범,42556,45624,46815
약주,53407,52998,45500
"양궁, 국궁 및 유사장비",36911,30776,28086
양말,193578,214704,181581
양초,32759,19080,22179
어댑터,99647,119292,101260
어류 부산물(신선 및 냉동한 것),26377,28412,30016
어류 염장품,140224,149885,161370
어류의 채(건조한 것),70021,64322,71404
어망,88190,116178,93439
어묵 및 유사가공품,674986,595492,651641
"어선(FRP제, 동력식)",117111,121419,113929
어선(철강제),X,X,13693
어육 소시지 및 어묵햄,233514,340997,383193
"어육(신선 및 냉동한 것, 등뼈 제거)",515386,524783,564634
어학실습기,X,X,X
얼음,80854,93915,87429
업소용 세탁관련기기,24823,23078,20981
에나멜페인트,103360,100130,97732
에너지 저장장치(ESS),45665,412971,219830
에스컬레이터,X,X,X
에어로졸캔,301109,364483,361901
에어핸드링유니트,309346,337091,314364
에틸렌,3805372,4469001,4077920
에틸렌글리콜(EG),1123978,1508529,1304020
에틸알콜(공업용),111127,135809,104798
에폭시도료,247889,362024,336161
에폭시동박적층판,815882,1250080,1198421
에폭시수지,1254733,1476037,1580704
에폭시인쇄회로기판,4432421,3655157,3619047
엔지니어링플라스틱수지,4875629,5618382,4316400
엘리베이터,2433332,2860773,2476917
"여객선(FRP제, 동력식)",X,X,8636
여객선(철강제),107460,X,X
여과지,218874,256769,272643
여성용 니트 블라우스 및 셔츠(니트원단 구입),272464,424037,463360
여성용 직물 블라우스 및 셔츠,667073,700833,783535
여자 및 소녀용 내복 및 잠옷,15620,10577,9755
여자 및 소녀용 바지,58141,76353,68968
여자 및 소녀용 속옷,96011,88205,96139
여자 및 소녀용 자켓 및 점퍼,1668977,1251133,1908095
여자 및 소녀용 정장,3006692,2885662,2032581
여자 및 소녀용 치마,165448,176192,138455
여자 및 소녀용 코트,250388,268682,237471
여자용 가죽의복,64220,70955,69340
여자용 구두(단화 포함),628444,591613,502083
여자용 보정의류,142499,140127,106865
여자용 셔츠 및 브라우스(편직결합),280815,275202,85086
여자용 속옷 (편직결합),50483,61861,115741
여자용 스웨터(편직결합),177485,232048,200217
여행용 가방,13427,27396,16984
연 1차정련품,1552486,1560896,1613381
연 2차정련품,740758,644537,602667
"연(납) 압연,압출 및 연신제품",286689,189637,214818
연(납)광 및 아연광(채굴 및 정광),X,X,X
연관보일러,111301,69192,61817
연료전지,87680,152545,236556
연마석,162802,152888,134463
연마지 및 포,364675,407387,386010
연마휠,34159,57333,61236
연사기,X,X,X
연삭기,106551,107554,88614
연성 및 기타인쇄회로기판,2550049,2176908,2275271
연수기,24066,X,X
연유,20530,19973,38839
연체동물 냉동품,280678,298529,341394
연탄,110507,112596,82594
연필,30599,33197,35684
열교환기,2083184,2182900,2167499
열연광폭강대(스테인리스제 제외),X,X,X
열측정 및 풍력계기,49332,69741,104333
염기성염료,X,,
염산,100984,80192,112325
염색기,40911,29813,26316
염색약,185988,158080,121365
염소,195625,170907,164435
염소산나트륨,4494,9181,9412
염화비닐모노머(VCM),763514,778912,943292
영상 전화기,14007,11611,21681
영상게임기,40173,37055,34725
영상모니터,510579,523137,481002
영화관련 기기,34207,30302,33685
오디오 복제물,X,X,X
오디오용 튜너,X,X,X
오렌지원액,X,X,X
오리고기,245367,311249,292541
오산화인,20239,15583,13398
오실로스코프 및 오실로그래프,X,X,X
오존 발생기,23201,29696,22174
오징어류 건제품,15913,27249,35721
오토바이용 헬멧,139218,133702,140723
옥수수 원유(압착한 것),11806,25423,14526
옥수수가루,80837,78379,74911
옥수수기름,106466,59973,83896
옥수수전분,305660,283928,258615
옥외용 조명장치,423208,366776,389815
옥탄올(2-EH),410974,263005,313843
온도 자동조절장치(공업용 제외),335466,294866,260613
온도계,20894,24355,21210
온도자동제어장치,478728,516683,976916
