품목별,출하금액(백만원)
광업및제조업,1444001324
광업,2986471
"석탄,원유및천연가스광업",420385
무연탄(채굴),245450
원유(채굴한것),...
천연가스(채굴한것),...
금속광업,...
철광(채굴및정광),65738
귀금속광물(채굴및정광),...
연(납)광및아연광(채굴및정광),...
비금속광물광업;연료용제외,2453125
석회쇄석(채굴),591906
고령토(채굴),17657
기타점토(채굴),...
화강암원석(파쇄되지않은것),100603
석회석원석(파쇄되지않은것),26194
건설용쇄석(석회쇄석제외),1109645
건설용천연모래,346728
천연자갈,72023
공업용천연모래,94842
납석(채굴),28639
기타화학및비료원료용광물(채굴),...
소금(채취한것),20261
규석(채굴),11331
장석(채굴),10903
기타비금속광물,14829
광업지원서비스업,...
기타광업지원서비스,...
제조업,1441014853
식료품제조업,67591544
쇠고기(도축),359277
돼지고기(도축),1336176
닭고기,2332345
오리고기,132980
원피,...
도축고기부산물,93174
가금고기(소동물포함)부산물,71173
"가금류소시지,통조림및병조림",8906
가금류포장육,934871
기타가금류가공품,471184
베이컨,134793
햄(가축),616347
소시지(축육),467310
기타육지동물소시지유사제품,186862
육지동물통조림및병조림,16987
육지동물포장육,3557227
기타고기가공품,641459
어묵및유사가공품,452830
어육소시지및어묵햄,185102
조미오징어,228238
조미쥐치포,19711
기타조미조제식품및어류훈제품,110845
기타수산동물조리가공품,87192
참치통조림,354655
골뱅이통조림,59724
굴통조림,18110
꽁치통조림,17875
기타수산동물통조림,22284
명태건제품,128329
멸치건제품,128062
오징어류건제품,23551
어류의채(건조한것),53137
기타소건품,11962
기타자건품,21742
기타수산동물및부산물건제품,7389
멸치젓류,8026
명란젓및창란젓,62026
기타젓갈류,75774
어류염장품,170165
냉동참치,260138
냉동고등어,83913
동태,17950
기타어류및부산물의냉동품,168876
갑각류냉동품,63617
연체동물냉동품,184149
"어육(신선및냉동한것,등뼈제거)",349012
비식용어분,23545
기타수산동물가공품,29600
어류부산물(신선및냉동한것),26961
김,857367
미역,169434
톳,23157
기타해조류가공품,74809
김치,1120614
단무지,285725
기타과실및채소절임식품,207169
오렌지원액,18385
농축과실즙,149701
농축채소즙,126761
과실주스,110065
채소주스,69488
과실통조림,51243
잼및젤리통조림,165319
냉동과실,54121
기타과실가공품,69883
채소통조림,7007
건조채소,70043
기타채소가공품,216935
견과가공품,186304
식용지방(육지동물의것),94369
비식용지방(육지동물의것),...
수산동물조유(원유),19563
동물성지방부산물,200002
참기름,128518
들기름,12899
옥수수원유(압착한것),9186
채종유(유채유),...
기타식물성원유(압착한것),15550
대두박,524506
기타식물성유박,...
콩기름(대두유),542222
옥수수기름,69617
올리브유,223899
마아가린,69150
쇼트닝,101975
기타식물성정제유및가공유,135319
시유,2711172
연유,19341
조제분유(우유기저),331138
분유,155967
발효유,1636594
버터,24939
치즈,545387
기타낙농제품,221619
아이스크림,1146514
빙과,419944
쌀(도정한것),1574314
보리쌀(도정한것),57530
기타도정곡물,95206
도정부산물,27944
밀가루,1309319
콩가루,9707
옥수수가루,99157
기타곡물가루,119381
소맥피,...
제분부산물,4775
제과용혼합분말및반죽,636533
선식류,100508
앙금류,132136
씨리얼식품,133082
기타곡물조제식품,83025
고구마전분,6416
옥수수전분,337993
소맥전분,60546
기타전분제품,214204
포도당,53608
물엿,400251
과당,248804
기타당류,60386
떡(제조도매),302978
떡(제조소매),27004
식빵(제조도매),691481
도넛(제조도매),76156
피자(제조도매),31681
기타빵류(제조도매),953466
케이크(제조도매),510353
빵(제조소매),378871
코코아분말,35815
초콜릿류,865197
캔디류,362161
껌,247873
미과,66960
스낵류,868590
건과자류,522474
기타곡분과자,213805
정제당,1034289
국수,263725
당면,54028
냉면,151648
기타유사국수,77848
라면,1771412
기타인스턴트면류,91232
글루타민소다,...
기타화학조미료,114833
식초,127733
맛소금,...
고추가루,198954
후추가루,41543
혼합조미료,873837
기타천연조미료,107082
마요네즈,257457
케찹,76585
카레,108579
기타혼합조제조미료,828022
간장,380368
된장,233679
고추장,380993
춘장,33287
메주,5896
혼합장,68076
기타장류,277208
커피크리머,189882
효모,33338
가라기난,...
식품용색소,45469
기타식품첨가물,344191
원두커피,89354
인스턴트커피,372686
커피믹스,801953
녹차,129012
홍차,16266
"치커리차,보리차및옥수수차",87719
율무차,57955
유자차,69652
꿀차,30404
기타가공차,112079
조제수프,78448
이유식,158184
음료베이스,190171
두부,462326
유부,59585
기타묵및유사제품,58222
백삼,11871
홍삼,308966
인삼분말,33470
인삼즙,199364
인삼차,145928
인삼과자,107012
기타인삼기저식품,25242
건강원제품,86350
기타건강보조용액화식품,34581
스쿠알렌식품,98116
효소식품,353530
정제어유가공식품,124549
알로에식품,35224
기타건강기능식품,565819
냉동만두,442039
기타냉동조리식품,1110205
김밥(제조도매),267509
도시락(제조도매),468071
레토르트식품,732393
기타식사용조리식품(제조도매),482763
계란및새알가공품,314051
기타식품,14174
배합사료(양우용),4034614
배합사료(양돈용),2589445
배합사료(양계용),1500099
배합사료(기타동물),1294886
애완동물사료,221429
사료첨가제,348570
배합사료(양어용),159611
기타사료,284412
동물용조제식품,22325
음료제조업,10946228
탁주,351362
약주,44641
청주,56113
맥주,2543932
"포도주,샴페인",11190
복분자주,38402
기타발효주,...
주정,462891
소주,1698837
위스키,136419
매실주,...
기타증류주및합성주,51723
얼음,43844
생수,583095
콜라,443491
사이다,590093
기타탄산음료,382268
알카리성이온음료,213631
식물성섬유음료,102821
인삼음료,222783
과실음료,866804
채소음료,29525
