품목별,출하금액(백만원)
광업및제조업,646464308
광업(10~12),2154311
"석탄,원유및우라늄광업",356227
무연탄,292639
연탄,61544
응집탄,...
금속광업,9714
철광,...
기타비철금속광,...
비금속광물광업;연료용제외,1788370
석회쇄석,307006
고령토(카올린),11645
기타점토,3544
화강암원석(파쇄되지않은것),73171
석회석원석(파쇄되지않은것),10361
건설용쇄석(석회쇄석제외),897732
건설용천연모래,371881
천연자갈,22189
공업용천연모래,14633
납석,16777
방해석,...
기타화학및비료원료용광물,...
소금(채취한것),5944
규석,30646
장석,8130
활석,...
기타비금속광물,8154
제조업(15~37),644309997
음·식료품제조업,42812050
쇠고기(도축한것),135721
돼지고기(도축한것),1049976
기타도축고기,3178
닭고기,694251
오리및기타소동물고기,79095
도축고기및가금고기부산물,107037
베이컨,15065
햄,299954
기타가공처리한돼지고기,262839
육지동물소시지및유사제품,187124
육지동물통조림및병조림,78493
돼지고기를제외한기타고기가공품,227772
육지동물포장육,1023427
어육(신선및냉동한것),122841
어류부산물(신선및냉동한것),28018
어묵및유사가공품,391623
어육소시지및어묵햄,61615
어류훈제및조미조제식품,199792
어분(식용),...
기타수산동물조리가공품,34507
꽁치통조림,15261
고등어통조림,8096
참치통조림,131278
골뱅이통조림,56522
굴통조림,44867
기타수산동물통조림,15158
냉동참치,124833
냉동고등어,27439
동태,52020
기타어류및부산물의냉동품,123143
갑각류냉동품,35501
연체동물냉동품,166224
명태건제품,91104
멸치건제품,74066
오징어류건제품,60736
어류의채(건조한것),30951
기타수산동물및부산물건제품,54250
멸치젓류,44122
명란젓류,103279
기타젓갈류,111809
어류염장품,90797
김,319433
미역,115503
기타해조류가공품,98832
비식용어분,23370
기타수생동물가공품,...
농축포도즙,2428
농축사과즙,8908
기타농축과실즙및채소즙,49939
오렌지주스,13707
포도주스,3259
사과주스,911
기타과실주스,43749
채소주스,9594
과실통조림,74711
잼및젤리통조림,155587
건조또는탈수과실,4951
냉동과실,54286
기타과실가공품,17927
김치,619338
단무지,66238
기타과실및채소절임식품,153709
버섯통조림,2321
야채통조림,6479
건조채소,45775
냉동채소,3723
기타채소가공품,81108
식용지방(육지동물의것),60998
비식용지방(육지동물의것),30407
수산동물조유(원유),8217
동물성지방부산물,50078
참기름,91477
들기름,3654
옥수수원유(압착한것),19188
현미및미강원유,...
고추씨기름,832
기타식물성원유(압착한것),14798
대두박,228044
탈지강,5175
옥배아박,2785
기타식물성유박,2232
콩기름,319605
옥수수기름,69412
미강유,4611
채종유,10809
기타식물성정제유,55518
화학적으로변성가공한동식물성유지,39870
마가린,78366
쇼트닝,62812
기타조제식용지방,249
시유,1366352
기타액상우유제품,294683
연유,78720
전지분유,102082
탈지분유,230685
기타밀크및크림,102541
요구르트(액상),820256
요구르트(호상:떠먹는것),153949
기타발효유제품,37286
버터,18350
치즈,176568
유당및유당시럽,...
유장,...
기타낙농제품,...
아이스크림,559935
빙과,428643
기타냉동디저트,2140
쌀(도정한것),3458611
보리쌀(도정한것),33889
기타도정곡물,50249
도정부산물,14113
밀가루,688886
콩가루,10112
기타곡물가루,97154
소맥피,27086
제분찌꺼기,...
기타제분부산물,3016
혼합조제분말,190414
곡물튀김,25229
씨리얼식품,...
기타곡물조제식품,64940
전분,222288
덱스트린,...
타피오카,...
글루텐,...
기타전분제품,3874
포도당및시럽,39734
물엿,200667
과당및시럽,180692
기타당류,61396
배합사료,4038676
보조사료，조사료,332863
단미사료,141214
애완동물용기호품,...
사료첨가제,42467
식빵,242367
케이크,245944
도넛,30331
기타빵류,347197
빵제조소매,158034
떡,103867
떡제조소매,21069
비스켓,452066
미과,89159
스낵과자류,630254
기타건과자,53358
웨이퍼및식용캡슐,1672
원당,...
정제당,644027
기타설탕,...
코코아분말,45579
기타코코아,...
초콜릿및초코렛과자,374431
기타코코아함유조제품,30686
껌,376915
설탕과자,392921
설탕입힌과실및채소,2324
국수,132090
당면,48336
냉면,56409
기타유사국수,19779
라면,1147121
기타인스턴트면류,41159
고추가루,116818
후추가루,15671
겨자가루,3826
혼합조미료,339890
기타천연조미제품,26662
마요네즈,100535
케찹,55550
혼합소스,119992
조제겨자,5789
카레,75390
기타혼합양념및조제조미료,203095
간장,172619
된장,68074
고추장,237096
춘장,17113
청국장,5142
혼합장,62578
기타장류,14592
메주,7742
글루타민산소다,246398
기타발효조미료,48172
양조식초,34464
대용식초,3062
맛소금,4059
커피크리머,146008
향미추출물,71426
식품용색소,17429
효모,27135
베이킹파우더,5986
기타식품첨가물,175301
원두커피,33497
인스턴트커피,229417
커피믹서,182049
기타커피가공품,...
녹차,175686
홍차,20940
"치커리차,보리차및옥수수차",32582
율무차,10918
유자차,21308
꿀차,14016
차농축물,9216
기타가공차,65552
육류조제수프,22428
어류조제수프,8185
채소류조제수프,105078
유아용조제분유,...
기타유아용조제식료품,86743
생식용분말,47073
기타균질화식품,6446
콜라베이스,...
과일향베이스,...
음료제조용조제품,3195
두부,185417
유부,26612
도토리묵,9792
메밀묵,824
기타묵및유사제품,13579
백삼,20025
홍삼,106978
인삼분말,12585
인삼즙,37080
인삼차,32469
정제인삼,55094
기타인삼기저식품,122274
냉동조리식품,346684
김밥,89858
도시락,361306
레토르트식품,67869
기타식사용조리식품,225953
건강원제품,19320
기타건강보조용액화식품,147158
조제건강식품,303293
계란및새알가공품,65786
견과가공품,33849
기타식품(인조육),887
주정,281750
소주(희석식),1031078
소주(증류식),9584
브랜디,...
진,...
기타과실증류주,3793
위스키,256201
럼주,...
기타곡식증류주,1967
인삼주,1669
오가피주,3105
매실주,41094
기타가향조제주,3127
탁주및약주,272883
양조부산물,...
청주,...
포도주,2413
샴페인,11415
기타발효주,44327
맥아,35927
맥주,1692287
맥주제조부산물,...
얼음,39090
생수,193293
사이다,380693
콜라,411835
천연탄산음료,2739
기타합성탄산음료,211196
알카리성이온음료,202915
식물성섬유음료,96188
인삼음료,14350
과즙음료,1117063
두유,319279
커피음료,122870
유산균음료,25055
기타비알콜성음료,148353
담배제조업,3730190
잎담배,...
담배부산물,...
필터담배,3357456
기타담배,...
섬유제품제조업;봉제의복제외,19388865
생사및부잠사,...
견사및견방사,...
방적용면,11350
순면사,742485
면혼방사,227160
방적용모,6552
소모사,113788
방모사,144776
재생섬유사,24449
합성섬유사,598974
재봉사,435156
가공사,362491
"마사및기타식물성섬유사(아마사,모시사,대마사,황마사,마닐라",...
재생섬유직물,173476
합성섬유직물,3074586
혼방합성섬유직물,174308
순면직물,359809
혼방면직물,285394
소모직물,421978
방모직물,95950
견직물,98740
마및기타식물성직물,23779
파일직물,244235
유리섬유직물,58132
기타특수직물,98568
편직물,1221465
남자용속옷(편직결합),133165
여자용속옷(편직결합),127859
유아용내의(편직결합),44346
남자용셔츠(편직결합),222883
여자용셔츠및브라우스(편직결합),267048
남자용스웨터(편직결합),250666
여자용스웨터(편직결합),510757
기타남성용편조외의(편직결합),12248
기타여성용편조외의(편직결합),115998
스타킹,116634
양말,457703
장갑(편직결합),130029
기타편조의복부속품(편직결합),61296
섬유사염색,250126
직물염색,1482548
직물원단날염,336532
의복및직물제품의날염,23295
섬유호부처리,26218
의복및직물제품의염색가공,80075
섬유기타가공,139964
이불,248061
담요,215298
타월(직물),126408
침구용카바,87575
기타침구관련제품,47618
자수제품,246040
직물제커튼및블라인드,96201
텐트,64825
천막및덮개(직물),424750
기타캔버스제품,24673
직물포대,233836
낙하산,11332
차량의자카바,707507
청소용포(직물),68369
가정용품덮개,18481
기타가정용직물제품,61928
카펫및유사제품,203792
끈및로프(식물성섬유),7004
끈및로프(합성섬유),174766
어망,94388
기타망,34477
끈가공품,60651
세폭직물,247076
워딩(솜)제품,135507
부직포및펠트,424190
부직포제품,296215
타이어코드및타이어직물,530867
고무도포사,9283
기타특수사및특수직물,24357
비닐도포직물,61591
고무도포직물,51167
기타도포및적층직물,201679
레이스원단및망직물(편직된것),144263
장식용트리밍,5401
직물제필터,137773
기타섬유제품,53907
봉제의복및모피제품제조업,10382828
남자및소년용정장,693629
남자및소년용코트,150267
남자및소년용자켓및점퍼,759309
남자및소년용바지,605918
여자및소녀용정장,1750042
여자및소녀용코트,155633
여자및소녀용자켓및점퍼,1150365
여자및소녀용치마,259573
여자및소녀용바지,338147
남자및소년용속옷,41969
남자및소년용내복및잠옷,21094
여자및소녀용속옷,131363
여자용보정의류,233322
여자및소녀용내복및잠옷,42510
한복,16532
남성및소년용직물셔츠,657702
남성및소년용니트셔츠(니트원단구입),148113
여자및소녀용직물블라우스및셔츠,518525
여자및소녀용니트블라우스및셔츠(니트원단구입),302475
운동복,665239
학생용교복,50909
"사무,작업및위생용의복",270962
가죽의복,303183
유아용의복및부속품,334807
기타봉제의복,13798
모자,138492
섬유장갑,12328
가죽장갑,39875
넥타이및남자용목도리,93623
스카프및여자용목도리,56239
벨트(허리띠),50461
손수건,1364
의류부분품,126887
기타의복악세서리,18858
천연모피(유연처리또는완성가공한것),...
천연모피의복,112943
기타천연모피제품,10787
인조모피,79692
인조모피제품,22204
"가죽,가방및신발제조업",4772355
소가죽,1554195
돼지가죽,47668
면양또는산양(염소)의가죽,122008
기타동물가죽,11071
기타특수가공가죽,...
서류가방,31984
여행용가방,34668
학생용가방,121751
등산용베낭,65159
기타가방,29808
케이스,86988
핸드백,255294
지갑,120687
산업용가죽제품,1745
비금속제의시계줄,...
기타가정용가죽제품,152959
남자용구두(단화포함),519368
여자용구두(단화포함),455704
아동용구두(단화포함),10794
가죽장화,50018
가죽샌달,18255
가죽등산화및운동화,298165
기타가죽갑피신발,46053
플라스틱및고무제샌달,9827
고무장화(방수처리된것),14994
기타플라스틱및고무제신발,18699
직물슬리퍼,11328
플라스틱및고무슬리퍼,21154
가죽슬리퍼,4707
직물갑피제운동화(스포츠전용화제외),123933
기타직물갑피제신발,4297
스포츠화,117397
가죽제신발부분품,52218
플라스틱및고무제신발부분품,328306
기타재료제의신발부분품,15233
목재및나무제품제조업,3634475
소각재,115687
각재,586479
판재,74210
제재부산물,20668
마루용판재,72263
우드몰딩,41684
궤도용침목,25126
목모와목분,6302
칩상또는삭편상의목재,86642
기타표면가공목재,9924
표면처리및방부처리목재,43277
단판,57725
일반합판,272363
가공합판,361708
파티클보드(PB),311747
MDF(중밀도섬유판),217013
기타재생목재,8331
목재의창문및창문틀,132310
목재의문및문틀,330650
목재패널,66889
목재의건물부착물,119095
목재깔판류및기타적재용판,266898
목재통및관련부품,15019
목재의포장및운반용상자,227674
목재의케이블드럼,27176
대나무돗자리,5482
볏짚가공품,5025
기타조물제품,4234
목재도구및부품,25737
주방용또는가정용목제품,24103
목재그림틀및사진틀,18892
기타장식용목제품,21760
