"품목분류별 사업체수，생산액，출하 및 연말재고액(10명이상, 2012년)"

"C행정구역별","행정구역별","C품목별","품목별","시점","사업체수 (개)","생산액 (백만원)","출하금액 (백만원)","완제품 연말재고액 (백만원)"
'00,"전  국",'C10212103,"  오징어류 건제품",2012,20.0000,35110.0000,35199.0000,3890.0000
'00,"전  국",'C10212104,"  어류의 채(건조한 것)",2012,22.0000,47663.0000,46732.0000,3424.0000
'00,"전  국",'C10212105,"  기타 소건품",2012,21.0000,75044.0000,75066.0000,9281.0000
'00,"전  국",'C10212106,"  기타 자건품",2012,6.0000,8761.0000,9775.0000,631.0000
'00,"전  국",'C10212109,"  기타 수산동물 및 부산물 건제품",2012,4.0000,3638.0000,3483.0000,874.0000
'00,"전  국",'C10212201,"  멸치젓류",2012,13.0000,17281.0000,17198.0000,2374.0000
'00,"전  국",'C10212202,"  명란젓 및 창란젓",2012,25.0000,74281.0000,73219.0000,3835.0000
'00,"전  국",'C10212203,"  기타 젓갈류",2012,37.0000,109951.0000,109491.0000,2965.0000
'00,"전  국",'C10212204,"  어류 염장품",2012,45.0000,150346.0000,150870.0000,20686.0000
'00,"전  국",'C10213101,"  냉동 참치",2012,10.0000,293459.0000,293398.0000,10362.0000
'00,"전  국",'C10213102,"  냉동 고등어",2012,28.0000,85291.0000,84778.0000,4894.0000
'00,"전  국",'C10213103,"  동태",2012,4.0000,7196.0000,7154.0000,161.0000
'00,"전  국",'C10213109,"  기타 어류 및 부산물의 냉동품",2012,38.0000,149060.0000,148471.0000,10763.0000
'00,"전  국",'C10213201,"  갑각류 냉동품",2012,17.0000,41567.0000,41507.0000,2283.0000
'00,"전  국",'C10213202,"  연체동물 냉동품",2012,47.0000,193334.0000,188290.0000,12191.0000
'00,"전  국",'C10219100,"  어육(신선 및 냉동한 것, 등뼈 제거)",2012,66.0000,342906.0000,339592.0000,16722.0000
'00,"전  국",'C10219201,"  비식용 어분",2012,9.0000,26680.0000,26319.0000,3653.0000
'00,"전  국",'C10219209,"  기타 수산동물 가공품",2012,3.0000,6550.0000,6469.0000,81.0000
'00,"전  국",'C10219900,"  어류 부산물(신선 및 냉동한 것)",2012,9.0000,22159.0000,22216.0000,909.0000
'00,"전  국",'C10220101,"  김",2012,173.0000,689337.0000,688037.0000,18744.0000
'00,"전  국",'C10220102,"  미역",2012,68.0000,139662.0000,139665.0000,5559.0000
'00,"전  국",'C10220103,"  톳",2012,11.0000,25268.0000,26178.0000,4684.0000
'00,"전  국",'C10220109,"  기타 해조류 가공품",2012,53.0000,85431.0000,84413.0000,5977.0000
'00,"전  국",'C10301101,"  김치",2012,215.0000,1019285.0000,1015319.0000,27902.0000
'00,"전  국",'C10301102,"  단무지",2012,52.0000,222294.0000,221950.0000,4494.0000
'00,"전  국",'C10301109,"  기타 과실 및 채소 절임식품",2012,73.0000,188577.0000,187928.0000,5328.0000
'00,"전  국",'C10309101,"  오렌지원액",2012,4.0000,25665.0000,27794.0000,5000.0000
'00,"전  국",'C10309102,"  농축 과실즙",2012,21.0000,94714.0000,91761.0000,11988.0000
'00,"전  국",'C10309103,"  농축 채소즙",2012,20.0000,128368.0000,128025.0000,2842.0000
'00,"전  국",'C10309104,"  과실주스",2012,17.0000,118787.0000,118944.0000,1279.0000
'00,"전  국",'C10309105,"  채소주스",2012,5.0000,64032.0000,62884.0000,1907.0000
'00,"전  국",'C10309201,"  과실 통조림",2012,15.0000,70334.0000,68733.0000,7849.0000
'00,"전  국",'C10309202,"  잼 및 젤리 통조림",2012,24.0000,185832.0000,186218.0000,11459.0000
'00,"전  국",'C10309203,"  냉동 과실",2012,12.0000,48102.0000,46609.0000,4353.0000
'00,"전  국",'C10309209,"  기타 과실가공품",2012,24.0000,59564.0000,59071.0000,6724.0000
'00,"전  국",'C10309301,"  채소 통조림",2012,4.0000,15482.0000,12964.0000,3529.0000
'00,"전  국",'C10309302,"  건조 채소",2012,21.0000,76661.0000,77209.0000,3597.0000
'00,"전  국",'C10309309,"  기타 채소가공품",2012,62.0000,191636.0000,191278.0000,4192.0000
'00,"전  국",'C10309400,"  견과 가공품",2012,15.0000,136269.0000,134898.0000,5827.0000
'00,"전  국",'C10401101,"  식용 지방(육지동물의 것)",2012,7.0000,99266.0000,97091.0000,6775.0000
'00,"전  국",'C10401102,"  비식용 지방(육지동물의 것)",2012,4.0000,54046.0000,53317.0000,6946.0000
'00,"전  국",'C10401200,"  수산동물 조유(원유)",2012,3.0000,12265.0000,11437.0000,1199.0000
'00,"전  국",'C10401900,"  동물성 지방 부산물",2012,16.0000,209368.0000,209276.0000,6402.0000
'00,"전  국",'C10402101,"  참기름",2012,24.0000,137852.0000,131961.0000,11669.0000
'00,"전  국",'C10402102,"  들기름",2012,10.0000,8378.0000,8469.0000,143.0000
'00,"전  국",'C10402103,"  옥수수 원유(압착한 것)",2012,4.0000,11266.0000,11638.0000,848.0000
'00,"전  국",'C10402104,"  채종유(유채유)",2012,1.0000,...,...,...
'00,"전  국",'C10402109,"  기타 식물성 원유(압착한 것)",2012,9.0000,33496.0000,32161.0000,2168.0000
'00,"전  국",'C10402901,"  대두박",2012,3.0000,614817.0000,586276.0000,39550.0000
'00,"전  국",'C10402909,"  기타 식물성 유박",2012,3.0000,5096.0000,5084.0000,17.0000
'00,"전  국",'C10403101,"  콩기름(대두유)",2012,10.0000,685762.0000,683941.0000,15832.0000
'00,"전  국",'C10403102,"  옥수수기름",2012,7.0000,63767.0000,64212.0000,4014.0000
'00,"전  국",'C10403103,"  올리브유",2012,3.0000,48406.0000,47408.0000,2261.0000
'00,"전  국",'C10403104,"  마아가린",2012,4.0000,75873.0000,76280.0000,1656.0000
'00,"전  국",'C10403105,"  쇼트닝",2012,4.0000,167435.0000,167224.0000,1838.0000
'00,"전  국",'C10403109,"  기타 식물성 정제유 및 가공유",2012,20.0000,180739.0000,178105.0000,10243.0000
'00,"전  국",'C10501101,"  시유",2012,41.0000,2591967.0000,2586478.0000,21828.0000
'00,"전  국",'C10501102,"  연유",2012,5.0000,12882.0000,12865.0000,543.0000
'00,"전  국",'C10501103,"  조제분유(우유기저)",2012,4.0000,265857.0000,268336.0000,9550.0000
'00,"전  국",'C10501104,"  분유",2012,21.0000,182581.0000,173444.0000,32294.0000
'00,"전  국",'C10501105,"  발효유",2012,52.0000,1479591.0000,1480564.0000,7635.0000
'00,"전  국",'C10501106,"  버터",2012,6.0000,32474.0000,32056.0000,1237.0000
'00,"전  국",'C10501107,"  치즈",2012,32.0000,462322.0000,456365.0000,18426.0000
'00,"전  국",'C10501109,"  기타 낙농제품",2012,24.0000,209367.0000,201921.0000,13063.0000
'00,"전  국",'C10502101,"  아이스크림",2012,30.0000,997150.0000,999513.0000,26381.0000
'00,"전  국",'C10502102,"  빙과",2012,16.0000,477191.0000,481666.0000,10133.0000
'00,"전  국",'C10611101,"  쌀(도정한 것)",2012,95.0000,1570579.0000,1602180.0000,34691.0000
'00,"전  국",'C10611102,"  보리쌀(도정한 것)",2012,8.0000,40029.0000,40005.0000,2102.0000
'00,"전  국",'C10611109,"  기타 도정 곡물",2012,11.0000,122654.0000,124446.0000,5764.0000
'00,"전  국",'C10611900,"  도정 부산물",2012,16.0000,30771.0000,32659.0000,642.0000
'00,"전  국",'C10612101,"  밀가루",2012,17.0000,1317286.0000,1320209.0000,30948.0000
'00,"전  국",'C10612102,"  콩가루",2012,6.0000,4158.0000,4163.0000,65.0000
'00,"전  국",'C10612103,"  옥수수가루",2012,6.0000,62190.0000,62543.0000,1907.0000
'00,"전  국",'C10612109,"  기타 곡물가루",2012,44.0000,119758.0000,123272.0000,5214.0000
'00,"전  국",'C10612901,"  소맥피",2012,2.0000,...,...,...
'00,"전  국",'C10612902,"  제분 부산물",2012,2.0000,...,...,...
'00,"전  국",'C10613100,"  제과용 혼합분말 및 반죽",2012,60.0000,711717.0000,714273.0000,12126.0000
'00,"전  국",'C10619101,"  선식류",2012,22.0000,118442.0000,119867.0000,7117.0000
'00,"전  국",'C10619102,"  앙금류",2012,13.0000,135187.0000,135330.0000,2473.0000
'00,"전  국",'C10619103,"  씨리얼식품",2012,7.0000,164136.0000,163882.0000,7277.0000
'00,"전  국",'C10619109,"  기타 곡물조제식품",2012,28.0000,63619.0000,62957.0000,3452.0000
'00,"전  국",'C10620101,"  고구마전분",2012,5.0000,9900.0000,9964.0000,331.0000
'00,"전  국",'C10620102,"  옥수수전분",2012,7.0000,251562.0000,254352.0000,7331.0000
'00,"전  국",'C10620103,"  소맥전분",2012,2.0000,...,...,...
'00,"전  국",'C10620109,"  기타 전분제품",2012,12.0000,215039.0000,215967.0000,4167.0000
'00,"전  국",'C10620201,"  포도당",2012,3.0000,81904.0000,81810.0000,1703.0000
'00,"전  국",'C10620202,"  물엿",2012,18.0000,366252.0000,364452.0000,8150.0000
'00,"전  국",'C10620203,"  과당",2012,10.0000,240421.0000,257679.0000,6545.0000
'00,"전  국",'C10620209,"  기타 당류",2012,13.0000,83656.0000,83192.0000,2410.0000
'00,"전  국",'C10711100,"  떡(제조도매)",2012,105.0000,246446.0000,246508.0000,6294.0000
'00,"전  국",'C10711200,"  떡(제조소매)",2012,30.0000,32245.0000,32730.0000,852.0000
'00,"전  국",'C10712101,"  식빵(제조도매)",2012,30.0000,679678.0000,680659.0000,4708.0000
'00,"전  국",'C10712102,"  도넛(제조도매)",2012,13.0000,41821.0000,41790.0000,184.0000
'00,"전  국",'C10712103,"  피자(제조도매)",2012,7.0000,20121.0000,19808.0000,831.0000
'00,"전  국",'C10712104,"  기타 빵류(제조도매)",2012,115.0000,1207799.0000,1207865.0000,12613.0000
'00,"전  국",'C10712105,"  케이크(제조도매)",2012,44.0000,345531.0000,345383.0000,1955.0000
'00,"전  국",'C10712200,"  빵(제조소매)",2012,22.0000,89090.0000,89211.0000,301.0000
'00,"전  국",'C10713101,"  코코아 분말",2012,7.0000,27231.0000,26881.0000,1028.0000
'00,"전  국",'C10713102,"  초콜릿류",2012,58.0000,937236.0000,938971.0000,27421.0000
'00,"전  국",'C10713103,"  캔디류",2012,52.0000,379462.0000,379943.0000,14370.0000
'00,"전  국",'C10713104,"  껌",2012,6.0000,298013.0000,302489.0000,6438.0000
'00,"전  국",'C10713201,"  미과",2012,37.0000,56236.0000,56359.0000,1591.0000
'00,"전  국",'C10713202,"  스낵류",2012,41.0000,846020.0000,844046.0000,14666.0000
'00,"전  국",'C10713203,"  건과자류",2012,41.0000,334286.0000,336380.0000,8272.0000
'00,"전  국",'C10713209,"  기타 곡분과자",2012,30.0000,297083.0000,298162.0000,8523.0000
'00,"전  국",'C10720102,"  정제당",2012,4.0000,1131295.0000,1121541.0000,34349.0000
'00,"전  국",'C10730101,"  국수",2012,66.0000,204448.0000,205760.0000,8725.0000
'00,"전  국",'C10730102,"  당면",2012,9.0000,50390.0000,49066.0000,7261.0000
