품목별,값1,값2
관악기,X,X
광 업(05~08),3047608,3203020
광디스크 드라이브,X,X
"광물용 파쇄, 마쇄 및 선별기",255998,258692
광물처리장비 부품,23209,24705
광선치료기,453047,399334
광섬유,1637,49798
광섬유 케이블,664065,390393
광업 및 제조업,1494771123,1521125882
광업 지원 서비스업,X,X
"광전송 장비(다중계기, 분배기)",381884,437250
광통신기기 부품,714957,669073
광학렌즈,945843,2243965
광학필터,75509,85287
광학현미경,81749,69640
교량,426596,491938
교환기 부품,31880,27849
구두약,3250,6557
구상흑연주물(덕타일 주물),213882,175997
구입한 수지의 배합물,1300368,1375103
구입한 압축 및 액화가스의 정제,124376,102478
국수,306377,308830
국악기,X,X
군사용 무기 및 부품,5676624,5477474
굴 통조림,19206,11545
굴삭기,4663236,4642594
권선(마그네틱선),814876,955185
권선기,31200,33956
귀금속 2차정련품,178803,85592
귀금속 압연 및 압출 제품,150812,88646
귀금속제의 세공품 및 부품,116726,81411
귀금속제의 신변장신구 및 부품,764251,714345
귀석 및 반귀석(원석을 1차가공한 것),29830,20483
규산소다,67168,61000
규석(채굴),17135,23802
규석분,79676,89803
그라비아 잉크,275019,274099
그라스울 샌드위치패널,43298,58737
그래픽 카드,X,X
그리스(석유기저),92645,107596
그림물감,32016,33334
그외 악기,X,X
그외 전기식 악기,X,X
극소형 조립회로,3880760,4028328
글루타민소다,X,
글리세린,39243,34694
금·은 및 백금 광업,X,X
금고,119641,114168
금고 부품,9039,10833
금괴,2918928,2368568
금속 가공제품 제조업; 기계 및 가구 제외,71323007,69442114
금속 광업,X,X
금속 단조기,14716,13524
금속 압연기,61064,65634
금속 열처리 제품,949473,869330
금속 인발기,9603,8856
금속 전단기,36822,45901
금속 절곡기,127772,143883
금속 튜브용기,100145,108142
금속 표면처리기,420737,503117
금속가구 부품,84338,65606
금속선 가공기,45504,34492
금속성형기계의 부품,55565,38758
금속절삭가공기계의 부품,293853,214786
금속제 모조 장신용품,66924,128123
금속제 서가,81868,66200
금속제 식탁용품(식기제외),50503,32241
금속제 액자틀,X,8966
금속제 영구자석 제조,121166,124430
금속제 조립식 건축물,450884,395022
금속제 조립식 건축물용 판넬,1613115,1793251
금속제 진열장 및 라커,270034,313393
금속제 창문,1181185,1091139
금속제 칸막이,117768,124058
금속제 캐비닛,191696,214625
금속제 파킹 및 가스켓,202805,175198
금속표면처리용 화합물,1297373,1146969
금속표시판,293593,256804
금전등록기,144523,163733
급유 및 계기용 펌프,206904,163292
기간통신사업용 교환기,41689,24032
기계 프레스,513146,555031
기계식 동력전달장치 부품,152348,112887
기계용 내연기관,1034194,1005766
기기용 앰프셋트,94360,202032
기념석,20410,20426
기압식 기체펌프 및 압축기,111239,85881
기어 및 기어링,612552,577451
기어절삭기,9708,10853
기억장치 부품,24744,26813
기중기차특장,277808,194353
기체 여과기 및 청정기 부품,666198,568077
기체 펌프 및 압축기 부품,105416,100670
기초공사기계,38223,45471
기타  가정용 난방기기,85532,75656
기타 1차 유리제품,19165,34418
기타 LCD,3607728,4688172
기타 TV,50276,33860
기타 TV송수신기,X,X
기타 가공지,120483,150656
기타 가공차,208244,303641
기타 가금고기 부산물,41145,85514
기타 가금류 가공품,615027,542337
기타 가금류고기,X,
기타 가방,53511,41370
기타 가변저항기,X,X
기타 가성소다,381277,344380
기타 가정용 금속가구,122921,172028
기타 가정용 목제가구,150841,104938
기타 가정용 전기기기,173279,141867
기타 가정용 전기기기 부품,1103176,1156156
기타 가정용 전기식 난방기기,47137,44832
기타 강관,131966,314348
기타 개폐 및 보호관련 기기,186545,168921
기타 건강기능식품,1712370,1231005
기타 건강보조용 액화식품,139234,86211
기타 건설용 기계,99427,103310
기타 건설용 트랙터,X,X
기타 건축용 비내화 요업제품,X,X
기타 건축용 플라스틱 조립제품,617043,718987
기타 검 및 나무화합물,98265,89410
기타 경지정리용 기계,118546,133739
기타 계산 관련기기,37448,12718
기타 고기가공품,1507149,1361988
기타 고무제품,107625,113634
기타 고정식축전기,X,X
기타 고정저항기,7634,7823
기타 곡물가공기계,10705,10627
기타 곡물가루,165069,149341
기타 곡물조제식품,137966,114447
기타 곡분과자,125411,123795
기타 골판지제 관련제품,31588,47262
기타 공기조화장치,286446,330460
기타 공작기계,243295,260935
기타 공작기계 부품,47146,56123
기타 공작기계용 부속물,114399,97392
기타 공장용 음식료품 제조기계,204170,208419
기타 과실 및 채소 절임식품,285856,270877
기타 과실가공품,122283,103480
기타 광물제조장비,9717,9131
기타 광산 기계,14422,24730
기타 광업 지원 서비스,X,X
기타 광택제,59534,51828
기타 광학기기,274756,298564
기타 광학기기의 부품,233309,147215
기타 광학요소 관련품,29947,29365
기타 궐련,X,X
기타 궤조 및 철도선로자재,X,X
기타 귀금속 1차정련품,104893,124215
기타 금속 무기화합물,265531,243140
기타 금속 위생용품,86540,119317
기타 금속가구,64385,57199
기타 금속성형기계,67484,50841
기타 금속스프링,218396,268336
기타 금속절삭가공기계,109880,93211
기타 금속제 문,652862,673822
기타 금속제 장식용품,125435,123548
기타 금속제 주방 및 식탁용품,36823,18886
기타 금속주조 및 압연기 부품,67393,69604
기타 금속처리 제품,775437,733735
기타 금속파스너,60809,54558
기타 금속포장용기,682388,701438
기타 금형,881846,870476
기타 기계 및 장비 제조업,116727647,122409792
기타 기계식 동력전달장치,87134,115505
기타 기계용 플라스틱제품,1142603,987996
기타 기록매체 복제물,X,X
기타 기억장치,8223,9489
기타 기체 및 액체공급계기,4084,7998
기타 기체 여과기 및 청정기,294682,342095
기타 기체펌프 및 압축기,76283,160059
기타 기초유기화합물,1384377,1298805
기타 낙농제품,278103,262778
기타 낚시용구,39207,24209
기타 남성용 편조 외의(편직결합),26044,31518
기타 납(연)축전지,84106,64007
기타 냉동장비,29827,23115
기타 냉동조리식품,1727260,1565318
기타 냉연강판(스테인리스제 제외),3194419,3360011
기타 농업용기계,95474,113639
기타 당류,80531,88320
기타 도금 및 피복처리 강재,97356,80931
기타 도금강판,274440,286003
기타 도료 및 관련제품,227354,232940
기타 도정 곡물,65637,45315
기타 도축고기,X,X
기타 동물가죽,X,14318
기타 두발용조제품,253553,237255
기타 망,146540,123528
기타 모노리식 디지털 집적회로,31193,X
기타 목제 주방가구,81258,91934
기타 목제품,117372,98370
기타 무기산,35005,X
기타 무기안료,93442,69867
기타 무선 통신전화기,X,17450
기타 무선통신 시스템,134714,766752
기타 무선통신기기,154589,161203
기타 묵 및 유사제품,65879,61852
기타 문구용 종이제품,91064,81727
기타 물질 측정 및 검사기기,808502,868636
기타 물품취급장비,135612,105325
기타 바이오 연료 및 혼합물,29314,7609
기타 반도체 메모리,24285206,6877607
기타 반도체 제조 장비,2702789,1701205
기타 반도체개별소자,294864,256263
기타 반도체소자 부품,1811699,1630076
기타 발효주,29717,16968
기타 방송국용 기기,27315,7523
기타 방전램프,14192,29628
기타 밸브,310122,273350
기타 베어링,283718,277734
기타 봉제의복,136064,75695
기타 부정형 내화 요업제품,409606,359366
기타 분류안된 금속가공제품,153180,148575
기타 비군사용 무기 및 부품,9048,13710
기타 비금속광물,13003,11226
기타 비금속광물 분쇄물,473522,454256
기타 비금속광물제품,56981,62133
기타 비금속화합물,79386,89000
기타 비동력식 차량의 타이어 및 튜브,X,X
기타 비알콜성 음료,1163191,963709
기타 비전기식 가정용 조리기기,9346,13644
기타 비전기식 조명장치,30506,26213
기타 비철금속 1차정련품,618865,475191
기타 비철금속 2차정련품,169355,158018
기타 비철금속 단조물,74800,73196
기타 비철금속 분말,125206,213377
기타 비철금속 압연 및 압출제품,241293,155029
기타 비철금속 주물,587265,99134
기타 비충격식 프린터,X,X
기타 비환식 탄화수소,342753,263923
기타 빵류(제조도매),1507427,1021977
기타 사료,97503,89944
기타 사무 및 상업용 목제가구,72585,50434
기타 사무용 기계,44739,238336
기타 사무용 보관함,19934,18666
기타 사진관련 기기,X,X
기타 사진기,34795,119248
기타 산업용 고무제품,341814,321201
기타 산업용 도자기,35107,37379
기타 산업용 로봇,403850,685425
기타 산업용 보일러,2798086,2860997
기타 산업용 유리제품,73694,75800
기타 산업용 트럭 및 적재기,17789,16969
기타 산업용기계,1697684,1513167
기타 산업처리공정 제어장비,1447358,1620523
기타 상점용 음식료품 조리기계,70062,60688
기타 샌드위치패널,23172,22557
"기타 생물 살균, 살충제 및 식물보호제",10574,11291
기타 생물학적 제제,581348,471766
기타 석고 제품,31977,34074
기타 석유정제품,415191,345754
기타 석재 가공품,43055,35429
기타 석회,24101,22727
기타 선박 수리,12717,27258
기타 섬유 마무리 가공기계,130948,115435
"기타 섬유, 의복, 가죽 가공기계 부품",17127,17002
기타 섬유제품,141169,185575
기타 세제,94461,113634
기타 소건품,22977,16029
기타 소다공업제품,136866,57816
기타 소재의 가구,16233,12795
기타 송신관련 기기,8417,6282
기타 수경성 시멘트,51665,34878
기타 수공구,31172,51585
기타 수동식 운송장비,52833,51200
기타 수동식 운송장비 부품,19215,24126
기타 수산동물 가공품,28856,39147
기타 수산동물 및 부산물 건제품,8942,10647
기타 수산동물 조리가공품,130151,111227
기타 수산동물 통조림,36898,41083
기타 수지식 동력 공구,66553,71083
기타 수확관련 기계,77988,72939
기타 시계,4184,3208
기타 시계부품,12772,14874
기타 식물성 원유(압착한 것),39803,45532
기타 식물성 유박,X,X
기타 식물성 정제유 및 가공유,248003,193226
기타 식사용 조리식품(제조도매),617111,505938
기타 식품,56930,52224
기타 식품첨가물,414916,431464
기타 신품 자동차부품,2492690,2428090
기타 신호장치,56813,44852
기타 악기 부품,43320,38321
기타 안경,29932,21368
기타 안경 부품,79411,76801
기타 알코올 및 관련 유도체,115327,162504
기타 액정표시장치 부품,604667,799325
기타 액체여과기,176008,266328
기타 어류 및 부산물의 냉동품,226363,218072
기타 여성용 편조 외의(편직결합),115525,100114
기타 연소가능물품,22563,13454
기타 열연강판(스테인리스제 제외),6264318,6515719
기타 영상게임기 부품,X,
기타 오락용품,40904,53348
기타 오락용품의 부품,X,X
기타 용접기,30239,32576
기타 운동 및 경기용구,37718,36140
기타 운송장비 제조업,39817066,36200035
기타 위생도기제품,27280,35546
기타 위생용 고무제품,50487,42205
기타 위생용 종이제품,11579,5805
기타 유리공업용 기계,40416,32375
기타 유리제품,7301,14030
기타 유사국수,45034,56762
기타 유선 교환기,8431,X
기타 유선 통신기기 부품,43499,36557
기타 유선전화기,86303,95386
기타 유선통신기기,35975,72190
기타 유압기기,102440,89514
기타 육상 금속 골조 구조제조재,647403,602923
기타 육지동물 소시지 유사제품,282038,305675
기타 음극선관,X,X
기타 음향 녹음 또는 재생기기,X,X
기타 음향관련 기기,12285,15719
기타 의료기기 부품,430739,400582
기타 의료용 가구,82928,63750
기타 의료용 기기,698751,653419
기타 의복악세서리,26181,24143
기타 의약관련제품,234991,332931
기타 인삼기저 식품,17517,16726
기타 인쇄 및 필기용지,51787,53012
기타 인쇄관련기계,46567,35263
기타 인쇄회로원판,577789,512419
기타 인스턴트면류,66000,54001
기타 일반도자기,X,X
기타 일반목적용 기계,395063,388103
기타 일반목적용기계 부품,492811,445804
기타 일반철물,268605,266416
기타 입력장치,195840,186924
기타 잉크,80885,84702
기타 자건품,27357,21637
기타 자동조절기,177434,180814
기타 자동차,70775,92591
기타 자동차 타이어,49588,47259
기타 자동차용 신품 전기장치,112780,188409
기타 작업용 수공구,98097,85339
기타 장난감,61656,55321
기타 장류,87851,78646
기타 장식용 목제품,13712,13618
기타 재료제의 신발,X,X
기타 재료제의 신발부분품,28177,56528
기타 재배관련기기,90133,95748
기타 재생섬유,61393,28791
기타 저압 차단기(1000v 미만),279632,273557
기타 적산계기,97266,114965
기타 전구 및 램프,36398,29694
기타 전기 및 전자식 진단용기기,314957,276752
기타 전기 접속기기,235307,116680
기타 전기량 측정 및 검사용기기,155162,106488
기타 전기식 이미용기구,262906,212933
기타 전기식 조리기기,40189,51854
기타 전기식 치료 및 요법기기,120903,122943
기타 전기용 탄소제품,28438,19403
기타 전기용접기,18101,55197
기타 전기장비,156471,134784
기타 전기장비의 부품,67121,71600
기타 전분제품,191855,34396
기타 전선,657580,911393
기타 전자 부품,795454,792071
기타 전자공업용 화학화합물,439352,718777
기타 전자관 부품,43801,15597
기타 전자유도자,110468,739597
기타 전자응용 절삭기계,56185,69759
기타 전자접속 카드,X,X
기타 점토(채굴),X,X
기타 젓갈류,140589,141450
기타 정지형 변환기,89296,104222
기타 정형 내화 요업제품,101984,93008
기타 제품,67861,137520
기타 제품 제조업,5591375,5540126
기타 조립구조재,192247,159374
기타 조립금속제품,273459,293492
기타 조명장치 부품,22022,15447
기타 조물제품,X,X
기타 조미조제식품 및 어류훈제품,72072,73575
기타 종이 및 판지,85876,97319
기타 종이 및 판지제품,76179,76675
기타 종이가공 기계,39679,47206
기타 종이상자 및 용기(판지 및 골판지 이외),414693,380611
기타 주방용 전기기기,48416,53485
기타 주형관련 부속품,412801,555619
기타 증류주 및 합성주,13681,22074
기타 직물갑피제 또는 가죽갑피제 신발,99689,115094
기타 직물제품,535494,436483
기타 질소비료,25958,16778
기타 채소가공품,413560,431674
기타 천연 모피제품,X,X
기타 천연조미료,169018,215873
기타 철강 단조물,587837,585987
기타 철도차량 전용부품,435208,357883
기타 철선조립제품,82939,74849
기타 축산기계,110391,104190
기타 출력장치(컴퓨터용),X,X
"기타 측정, 시험, 항해 및 정밀기기 및 부품",172117,157422
기타 침구관련제품,39676,23278
기타 침실용 목제가구,71686,51978
기타 카르복실산 및 그 유도체,130619,142748
기타 칼륨비료,X,X
기타 칼륨염,X,X
기타 캔버스제품,21395,22874
기타 컴퓨터,107644,93495
기타 컴퓨터 주변기기,28914,29929
기타 컴퓨터용 보드,8547,12208
"기타 콘크리트, 시멘트제품",75601,102336
기타 콘크리트관,612222,540087
기타 탄산음료,652407,550893
기타 탄화수소 유도체,820913,899377
기타 특수 직기,9872,11834
기타 특수가공가죽,34827,37033
기타 특수사,38266,40394
기타 특수직물,265445,121163
기타 특장,706523,701192
기타 파스너,11177,9850
기타 판유리 가공품,295592,322146
기타 판지,16810,11762
기타 펄프,X,24983
기타 펜,32373,32850
기타 편조물,53921,50481
기타 편조제품,16776,22005
기타 평판 디스플레이 부품,620768,608846
기타 평판디스플레이 판넬,48612,44225
기타 포틀랜드 시멘트,801966,672243
기타 표면가공목재,56622,39064
기타 프레스 가공품,922771,1092277
기타 플라스틱 및 고무제 신발,12319,10916
기타 플라스틱 및 고무제 신발부분품,77200,80067
기타 플라스틱 발포제품,173401,187550
기타 플라스틱 제조 기계,63260,48721
기타 플라스틱 제품,921368,832414
기타 플라스틱 포장용기,3800222,3533987
기타 필기용품,25171,18282
기타 필라멘트 전구,X,X
기타 합성고무,992297,905669
기타 합성수지,1618312,1248854
기타 합성수지 도료,409140,385872
기타 합성스테이플섬유,X,X
기타 합성염료,81516,61898
기타 항공기 전용부품,2166428,2370772
기타 항해용 강선,2746970,2453595
기타 항해용 기기,401348,182252
기타 해조류 가공품,130003,126361
기타 호흡관련 의료기기,82474,163749
기타 혼성 집적회로,101150,29826
기타 혼합조제조미료,1462925,1109157
기타 화물선(철강제),X,X
기타 화장품,1932634,1726386
기타 화학 및 비료 원료용 광물(채굴),X,X
"기타 화학 살균, 살충제 및 농업용 약제",45919,44364
기타 화학비료,56963,19165
기타 화학섬유 및 방적기,23028,29917
기타 화학제품,1302057,1207722
기타 화학조미료,161436,127059
기타 환식탄화수소,X,X
기타 회화용품,22093,20482
기타 휴대용 전화기 부품,1003162,3505109
기타 휴대용 컴퓨터,X,X
기타 １차 비철금속제품,162244,157329
기타(guitar),9438,8425
기타가공사,180747,191291
기타도금 강선,30849,26332
기타도포 및 적층직물,310043,309001
기타비료,146932,98266
기타산업용가스,846742,706357
기타위생용지,64259,X
기타전자관,9048,12395
김,1555517,1503624
김밥(제조도매),443896,351005
김치,1345997,1338935
김치냉장고,875603,907314
껌,206462,185808
꽁치통조림,18548,16167
꿀차,11810,13787
끈 및 로프(식물성섬유),66670,58183
끈(합성섬유),34561,36626
끈가공품,62555,56778
나동선,3209802,3249998
나사 전조기,102748,86114
나사못(금속제),389621,373167
나전칠기제의 가구,X,
나프타,16315359,16070141
낙농품 가공기계,45421,39756
낙하산,X,X
낚시 인조찌,X,X
낚시대,79834,108245
낚시릴,98563,122725
낚시바늘,25946,24171
남성용 니트셔츠(니트원단 구입),63266,58586
남성용 직물셔츠,734577,674884
남자 및 소년용 내복 및 잠옷,11749,22468
남자 및 소년용 바지,67596,65970
남자 및 소년용 속옷,73140,61985
남자 및 소년용 자켓 및 점퍼,839026,870584
남자 및 소년용 정장,656133,881895
남자 및 소년용 코트,X,X
남자용 가죽의복,29940,34615
남자용 구두(단화 포함),347797,383289
남자용 셔츠(편직결합),213108,203193
남자용 속옷 (편직결합),16240,18449
남자용 스웨터(편직결합),61988,97500
납석(채굴),14200,14481
내비게이션,3195451,4308694
내연기관 부품(차량 및 항공기용 제외),1463658,1312589
내연기관용 전기장치(자동차용 제외),85169,71102
내화도가니,X,X
내화벽돌 및 블록,396973,387798
내화시멘트,192761,216925
내화타일,49684,51326
냉각탑,134338,154022
냉간압조용 강선(CHQ),771961,782944
냉동 고등어,125065,108534
냉동 과실,34441,38063
냉동 참치,277072,260063
냉동만두,787559,741279
냉동，냉장 쇼케이스,377378,401988
냉매 압축기(차량용 제외),918949,771407
냉면,235778,205041
냉연 봉강 및 냉연 형강,449855,517485
냉연광폭강대(스테인리스제 제외),4449875,5093810
냉연박판(스테인리스제 제외),59346,X
냉연전기강판(스테인리스제 제외),46055,26214
냉연협폭강대(스테인리스제 제외),309765,460081
넥타이,20601,26010
노래반주기,103149,94838
노트류,198094,168158
노트북,33516,34375
노트북용LCD,5658540,3751894
녹음기 및 녹음재생기,20235,30136
녹차,118543,131258
놀이공원용품,X,4363
놀이터용 장비,212599,169199
농업용 건조기,86403,96798
농업용 기계 부품,611639,613993
농업용 분무기,119770,124116
농업용 수공구,8122,4638
농업용 트랙터,1208056,1131325
농축 과실즙,262259,187244
농축 채소즙,155165,182392
"니켈 압연,압출 및 연신제품",X,47862
니켈괴,X,X
"다이, 지그 및 공작기계 부착물",974123,850574
다이오드,272478,325230
단무지,305799,302181
단미사료,157812,119942
단추 및 지퍼 부품,X,4530
단판,35218,83883
닭고기,2616477,2580640
담배,3244623,3227144
담배 라이터,X,X
담배 제조업,3693989,3570472
담배 필터,356819,296883
담배잎(재건조),X,X
담요,10674,28009
당면,59818,57668
대나무 돗자리,5279,4020
대두박,394226,495362
대륙 간 탄도 미사일,X,X
대형 승용차(배기량2000cc이상),8886779,10814667
대형냉장고(401ℓ 이상),1968228,2025689
대형버스,1059012,1290108
대형트럭,869968,X
데스크탑 PC,432069,433834
도금 강관 및 피복 강관,515332,523014
"도난, 화재 및 유사 경보기(차량용 제외)",397062,338682
도넛(제조도매),163428,128613
도로포장 기계,44659,70274
도료충전제,231299,216327
도시락(제조도매),954971,958936
도안 및 제도기구,66432,65149
도자기 제조용 분말,25220,25584
도장용로봇,74592,88616
도정 부산물,70667,90845
도화선 및 뇌관(화약용),83905,111744
동 2차정련품,950405,853281
동 분말,166577,166971
동 주물,258063,201441
동1차정련품,4920792,5132484
동관,1119855,1175717
동단조물,27111,26044
동력 항공기,1936146,1618047
동물 및 기타인형,76404,80700
동물성 지방 부산물,172199,167089
동물용 약제품,563406,557811
동물용 조제식품,59646,44336
동박(두께 0.15 ㎜ 이하),580982,635636
동봉,903707,989462
동전 및 화폐 처리기,148088,110865
동제의 관연결구류,437582,400456
동태,62997,75333
동판,1319736,1599425
돼지가죽,X,X
돼지고기(도축),1526958,1473698
된장,189268,205054
두부,519254,506666
두유,401465,398986
드라이버,X,X
드럼통,565276,560195
드릴,41587,47660
드릴링기,22033,31323
들기름,29799,36225
등산용 배낭,30505,20392
등유,2735568,3037616
디니트로톨루엔(DNT),X,X
디지털 다중화장치,61978,38853
디지털 도어록,359918,396329
디지털 잉크,87158,115442
디지털 적층 성형기계,99219,81588
디지털 적층 성형기계 부품,10439,12912
디지털 카메라,X,X
디지털 피아노,20824,19136
떡(제조도매),419552,386174
떡(제조소매),55453,50245
"라디오, 녹음 및 재생기기의 부품",38409,38747
라디오송신기,X,X
라면,2342479,2054333
라우터 및 게이트웨이,53768,35827
라이타 및 흡연용품의 부품,9668,X
락카,84045,96497
레미콘,9693526,10225239
레이더기기,449615,540697
레이스원단 및 망직물(편직된 것),66854,94239
레이저 가공기,368261,453310
레이저 프린터,259344,412255
레이저디스크 플레이어 및 DVD 플레이어,94494,121487
레이저발생기기,55463,36820
레이크계 안료,111906,116532
레토르트 식품,1127718,923943
렌지후드,140885,151912
로 부속품 및 부품,180892,148426
로더 및 불도저,401489,444195
로션 및 오일,4682341,3862288
로프(합성섬유),148864,166551
루즈,263238,288177
룸에어컨,322972,355462
리드프레임,725039,878721
리모콘,169149,158368
리베트(금속제),33414,34659
리튬코발트산화물,712733,818967
리프트기기,121891,120391
린스,34492,24269
마 및 기타 식물성 직물,5697,7420
마그네틱 스트라이프를 자장한 카드,62464,70697
마네킹 인형,5928,6375
마루덮개 및 유사제품,82591,107771
마루용 판재,239016,292387
마사 및 기타 식물성 섬유사,X,X
마아가린,X,51602
마요네즈,241813,363473
마우스,1001,6761
마이크로 콤퍼넌트,92234,748083
마이크로폰과 그 스탠드,58246,75166
맛소금,X,X
망간철,X,97277
매니큐어 및 제거제,31448,31024
매실주,X,X
매트리스,440441,398638
