품목별,값1,값2
매트리스 지지물,31440,43135
맥아,X,X
맥주,2021602,2352107
머리빗,13390,9677
머리핀 및 미장원용 핀,7881,10344
머시닝 센터,1473320,1499167
멀티미디어카드,X,X
메주,9095,9733
메탄올,7153,X
메틸렌 디페닐 디이소시아네이트((MDI),1162068,1564251
메틸메타크릴레이트(MMA),481353,664865
메틸터셔리부틸에테르(MTBE),385747,267788
멜라민수지,88463,83640
면도기 및 면도날,X,294781
면양 또는 산양(염소)의 가죽,X,X
면편조물,89795,124481
면혼방사,217192,222706
멸치 건제품,133660,132720
멸치젓류,6297,7100
명란젓 및 창란젓,98340,107319
명태 건제품,185283,165957
모니터용 LCD,5290599,4005627
모래주형(중자포함),128485,147689
모자,111162,123300
모터보트,11755,11763
모터사이클,46846,35954
모터사이클  전용부품,33846,34708
모터사이클타이어,X,X
목공기계,39451,41218
목공기계 부품,X,X
목도리,X,X
목모와 목분,35068,28672
목선(동력식),X,X
목재 및 나무제품 제조업; 가구 제외,5559394,5803519
목제 그림틀 및 사진틀,9223,7085
목제 깔판류 및 기타 적재용 판,633331,638476
목제 상(식탁용),5367,5616
목제 상점진열대 및 라커,158474,172435
목제 식탁 및 식탁의자,89606,81685
목제 싱크대상판,115063,115322
목제 의자,63768,62927
목제 조리대(싱크대),664710,781117
목제 책상,103305,87104
목제 침대,544094,537557
목제 칸막이,53119,66873
목제 패널,267521,284998
목제가구 부품,122065,148536
목제도구 및 부품,10509,13077
목제의 건물 부착물,131836,134565
목제의 문 및 문틀,503411,521577
목제의 창문 및 창문틀,118006,130414
목제의 케이블드럼,31783,30685
목제의 포장 및 운반용 상자,432822,484250
목제통 및 관련 부품,42557,24326
몰드베이스,650894,585593
무계목강관,431439,337459
무동력 보트,X,X
무동력 항공기,X,X
무선 호출기,27015,31384
무선통신 기지국용 송수신기,868881,86093
무선통신 단말기의 부품,365166,356127
무선통신기기의 부품,195379,211668
무선통신용 교환기,76660,166311
무선통신용 중계기(릴레이),629435,718981
무수마레인산,57763,64641
무수프탈산(PA),291060,307464
무연탄(채굴),159933,207286
무인 비행장치,15231,11038
무인 항공기,37513,35621
무전기,184262,308458
무정전 전원장치,536310,508049
무한궤도,55404,363278
문갑,X,
문구용칠판 및 화이트보드,31884,30088
문서 및 그림 코팅기(사무용),77943,71132
문서 펀칭기(사무용) 및 스테이플러,9707,12520
물에 뜨는 구조물,128884,1580636
물엿,359453,451751
물질 검사·측정 및 분석기구의 부품,605357,375169
물품취급용 크레인,549609,576788
물품취급장비 부품,94013,102100
미과,130988,83528
미생물 배양제,94090,90801
미역,157777,158858
밀가루,1170016,996200
밀링기,35473,31766
바늘,61568,61800
바리스터,164950,153225
바이오 디젤,813149,454480
바이오 에탄올,X,X
바이폴라 IＣ,364104,258168
바인더,50519,60938
반도체 검사장비,2196781,2400165
반도체 조립 장비,3797985,5076171
반도체용 식각제,2324877,2271852
반도체웨이퍼,2660787,2509648
반도체제조 장비 부품,4022595,4447263
반송기기 부품,29451,10873
반송장치(디지털),197697,290164
반송장치(아날로그식),15078,10977
반응성염료,128959,154723
발전기,628249,538534
발전기세트,124987,112430
발전변압기,44005,48290
발전플랜트,247543,466009
발포 및 소포제,185011,207020
발효유,1568723,1591699
방사선 기타 장치,X,7287
방사선장치의 부품,137497,143240
방송국용 기기의 부분품,49896,48328
방송용 영상관련 기기,101136,92002
방송용 음향관련 기기,137912,145803
방송용 증폭기,195792,124295
방수액,197717,191648
방열기,169869,96847
방적기,79190,52489
방적용 면,X,X
방적용 모,X,31263
방전가공기,76357,58753
방진고무,1260307,1198251
방향유,164394,153933
배선용 차단기(1000v 미만),961289,886744
배전반 부품,342396,378794
배터리 충전기,422868,451632
배터리팩,230517,565761
배합고무,562018,549587
배합사료(기타 동물),1088325,1002890
배합사료(양계용),1873717,2029687
배합사료(양돈용),2439227,2368704
배합사료(양어용),215578,203853
배합사료(양우용),3451272,3160357
백삼,X,1542
백상지,1453066,1375205
백색시멘트,83387,87945
백신,372262,371960
백열 전구,9019,10513
백판지,795896,782016
버스 및 화물차 타이어,427436,415437
버터,35105,32120
벌크선(철강제),1035345,541621
범용 선반,31680,67437
법랑제 주방 및 식탁용품,10573,X
벙커C유,7110240,7638788
베개 및 유사제품,37855,56132
베어링 부품,299114,303578
베이컨,88495,65315
벤젠,5378291,5460181
벨트(허리띠),15827,14764
벽시계 및 탁상시계,14170,10182
변기,83276,89146
변속기,666393,764908
변압기 부품,297316,296097
병마개,209686,200303
병원침대,110394,85742
병，용기의 세척기,X,9386
보리쌀(도정한 것),40503,36204
보링기,118966,36198
보석제 제품,27370,19041
보온용 및 기타 진공용기,16304,23742
보일러 부속품 및 부품,146878,154272
보청기,22075,26849
보통 철선,472105,516981
보통 포틀랜드시멘트,1476403,1650328
보통강 단조물,1342194,1340954
보통강 주물,787801,792170
복분자주,20897,37554
복사기,14348,105715
복사기 전용부품,70204,86495
복층절연유리,344591,336397
복합비료,903699,927623
볼 및 플러그밸브,373369,375160
볼 베어링,1693571,1671401
볼터치,52114,51513
볼트 및 너트류(금속제),3609878,3590374
볼펜,97824,97846
봉강(보통강),1141042,1426084
봉강(스테인리스강),1533525,1837388
봉강(특수강),1799625,1401838
부동액,X,X
부직포,824107,890668
부직포 제품,494736,474557
부타디엔,1452515,2067429
부탄가스,2324422,2399995
부탄올,124432,164116
분말야금제품,418595,426122
분사기,112123,144346
분산염료,130419,149836
분유,152053,154062
불포화폴리에스터수지,589627,397040
브라운관용 유리,X,X
브레이크라이닝,9459,13145
블룸 및 쉬트바,X,X
비군사용 총기류,30238,26849
비금속 광물제품 제조업,34026717,35372193
비금속광물 광업; 연료용 제외,2620455,2713294
비금속제 모조 장신용품,17551,17291
비내화 모르타르,677354,591653
비닐도포직물,100465,103308
비디오도어폰,179609,171620
비디오용 헤드드럼,X,X
비디오테이프 녹화재생기,X,
비스코스직물,36725,42215
비식용 어분,21164,20960
비식용 지방(육지동물의 것),41587,39858
비철금속선(동력식),X,8733
빌렛,505566,478453
빙과,266936,576714
사람인형,7391,8135
사료 첨가제,447046,409570
사료가공 기계(농업용),77247,73936
"사무, 작업 및 위생용 의복",805553,632252
사무기기의  전용부품,13546,10118
사무용 금속제 의자,398663,328207
사무용 금속제 책상,205348,177250
사무용 기계 수리,17353,12797
사무용 목제의자,30531,33834
사무용 목제책상,290542,303302
사무용 목제탁자 및 테이블,66916,59879
사무용 보관함,123247,124194
사무용 봉투,61478,71343
사설 교환기,X,X
사이다,509842,365767
사인펜,37535,24694
"사진기, 영사기 및 관련장비의 부품",231795,168529
사진섬광기구,X,X
"사진용 감광성 필름, 판 및 종이",469755,497513
사진용 화학물질,204524,414903
산성 및 매염염료,43476,70113
산소(Oxygen),554312,528446
산소호흡기,67410,25780
산업 및 상업용 냉장고,607202,377437
산업용 가죽제품,26766,26711
산업용 공기압축기,616513,613269
산업용 기계 및 장비 수리,1368004,1512522
산업용 기계 및 장비 수리업,2956887,3009142
산업용 냉동기,796327,898074
산업용 냉장 및 냉동장비의 부품,755743,714594
산업용 로봇 부품,674453,337755
산업용 방사선장치,84416,75270
산업용 범용 건조기,461967,527145
산업용 솔,37231,33318
산업용 액체펌프,1230325,1180700
산업용 온수보일러,537390,630390
산업용 온수보일러 및 방열기의 부품,39415,34277
산업용 일반변압기,981470,838691
산업용 저울,55358,63251
산업용 접시 세척기,65619,59182
산업용 조명장치,400728,523160
산업용 트럭 및 적재기 부품,321396,345503
산업용기계 부품,1425399,1218837
산업용온도조절기,516217,685552
산화방지제(고무·플라스틱용),611893,603688
산화철,61151,58808
산화티타늄,102793,98734
산화프로필렌(PO),X,X
살균기(의료 및 실험실용),108352,86259
상하수정화장비,508442,382893
새도우마스크,X,
색소안료,248614,238139
색소중간착색제,74006,63061
생물 살균제(농업용),17226,16381
생물 살충체(농업용),32465,31043
생물 제초제(농업용),X,X
생석회,534939,505246
생수,892251,863362
샤프펜,3001,16848
샴푸,526430,853120
서류가방,24561,40155
서미스터,107845,57268
석고보드,489063,596481
석면제품,65058,61634
석유 난로,X,X
석유수지,X,X
석탄 화학물,151705,169207
"석탄, 원유 및 천연가스 광업",260403,331651
석탄코크스,X,X
석회석 원석(파쇄되지 않은 것),44129,38623
석회쇄석(채굴),556550,541352
선글라스,9710,11737
선박 부품 수리,334980,305167
"선박, 철도차량, 항공기 및 오토바이용 조명기구",137588,136498
선박용 내연기관,2834282,2533829
"선박용 프로펠러, 날 및 닻",238752,211013
선식류,203711,139468
선재(보통강),730000,703235
선재(스테인리스강),X,X
선재(특수강),2516070,2679074
선체블록,2784908,1934779
선형폴리에스터수지,1196812,1017208
설치용 및 위생용 플라스틱제품,980870,1027930
섬유 기타 가공,37146,22765
섬유 장갑,63257,55301
섬유 호부처리,53591,47250
섬유사 염색,145204,195871
섬유제품 제조업; 의복 제외,15901181,16459226
세금선,X,539638
세라믹 유전체의 고정축전기,1616826,1445493
세라믹제 및 페라이트 자석,149932,165574
세면기,57273,84084
세탁 비누,23537,26871
세탁용 합성세제,598535,577296
세폭직물,223478,210743
센서,1262699,772411
셀룰로스 에테르,X,X
셔터문,113252,73795
소가죽,867039,905308
소각로,412936,869607
소각재,51152,54617
소다회,X,X
소맥전분,X,
소맥피,X,29842
소방차특장,154557,213123
소석회,68530,69103
소시지(축육),385198,369801
소주,2095017,1833855
소파 및 가정용 내장의자,310245,282244
소형 전동기,2377079,2469017
소형냉장고(200ℓ 이하),X,45333
소형버스,X,X
소형승용차,7001384,6152039
소형트럭,3491488,3461533
소화기,275825,252566
소화장비 및 분사기 부품,194567,192230
속도계,485587,825236
속도계 및 적산계기 및 부품,101451,88985
손수건,30750,30815
손톱 및 발톱 깍기,52678,46803
솔벤트,1684839,1191996
송배전변압기,1091341,906919
송풍기(산업용),1008087,948071
송풍기(산업용) 부품,136679,132860
쇠고기(도축),581160,587184
쇠못,86688,119088
쇼트닝,99255,106089
수관보일러,455261,365897
수도미터,111421,107962
수렵용구,X,5161
수산동물 조유(원유),48795,24881
수산화나트륨(가성소다),1099355,1154462
수산화알루미늄,84051,82625
수상 금속 구조물,4761653,3165165
수성 페인트,227102,245103
수소(Hydrogen),1332389,1258099
수전,783066,877235
수정진동자,13418,20334
수제지,13268,13917
수지식 동력공구 부품,74606,86483
수지식 동력연삭기,120673,126167
수처리제,315077,271443
수치제어식 선반,1237708,1496991
수치제어장치,356945,357539
순견직물,27382,35682
순면사,389536,567836
순면직물,258638,342116
순방모사,102270,82885
순방모직물,32658,21269
순소모사,31024,41020
순소모직물,54018,56067
순합성섬유사,101503,129655
순합성섬유직물,988162,1078517
숯,16498,16006
스낵류,1103758,1168839
스냅 단추,X,1926
스마트 카드,338278,346106
스위치(전기개폐용),1794757,1605689
스카프,64320,75994
스캐너류,129251,71162
스쿠알렌식품,X,6151
스타킹,50495,67731
스탠다드로직,X,X
스탬프(수동식),32851,32436
스테인리스 냉연강판,3283411,3295210
스테인리스 단조물,154749,133381
스테인리스 중후판 및 열연강판,4817722,4760424
스테인리스강선,503348,514385
스텐레스 주방 및 식탁용품,300224,294741
스티렌모노머(SM),3954334,4848127
스티로폼 샌드위치패널,149119,181067
스틸캔(음식료품용),461028,539082
스판덱스섬유,282384,328767
스패너 및 렌치,11966,8200
스포츠화,12567,19553
스프링쿨러,82676,104933
스피커,345635,311608
스핀들,8845,12133
슬래브,741216,707485
승강기류 부품,713781,779180
승용장난감,19991,19503
승용차타이어,5793611,5584503
시계줄(금속제),X,X
시계케이스,X,X
시너(Thinner),241764,324402
시멘트 클링커,417947,693788
시스템에어컨,2009103,1850856
시안화나트륨,158903,154441
시유,2775128,2897558
식료품 제조업,81991225,77953427
식물보호제,X,X
식물성 섬유음료,140121,136467
식빵(제조도매),835086,661615
식용 지방(육지동물의 것),56502,65558
식초,143688,240968
식품용 색소,92415,89863
식품용 종이용기,405806,388901
식품용 종이제품(용기 및 상자 제외),274263,279371
식품위생용 종이상자,255011,209652
신문용지,777563,693372
신발장,89689,83543
신용카드조회기,55912,88753
신품 내연기관용 발전기,870811,732998
신품 동력전달장치(자동차부품),21096106,19660000
신품 라디에이터 및 부품(자동차부품),444299,472658
신품 배기조직 및  부품(자동차부품),2608631,2345001
신품 배전기와 점화코일,142873,164104
신품 스타터모터,1203859,993128
신품 안전벨트 및 부품(자동차부품),880663,820851
신품 에어백 및 부품(자동차부품),1125673,1049195
신품 연료탱크(자동차부품),343250,357552
신품 와이퍼 및 서리제거용 열선,471225,567894
신품 음향신호용 기구,X,X
신품 자동차 전자제어,2586743,2047750
신품 점화 및 기타 목적용 와이어링하네스,3772968,3676335
신품 점화플러그,203797,237806
신품 제동장치 및 부분품,5411634,5475778
신품 조향장치 및 부분품,5465161,5446844
신품 차량용 히터,489009,350544
신품 차륜 및 부품(자동차부품),2774893,2716078
신품 촉매컨버터(배기관용; 자동차부품),236823,137928
신품 현가장지 및 부분품,2097292,2207038
신호 및 제어선,371000,380819
신호 발생기,3364,X
신호변환기,200492,101831
실내용 가향제,113794,103836
실리콘수지,982677,1172484
실물설명용 모형,262437,283517
실험 및 과학용 가구,48886,37812
실험실용 및 약물 포장용 유리용기,140612,175547
심전계,44035,46536
싱크상판,157667,145497
쌀(도정한 것),1996979,1876923
쌍안경 및 천문관측기기,62638,92953
씨리얼식품,242768,238858
아날로그 집적회로,62775,52854
아동용 구두(단화 포함),8296,8595
아디핀산,X,X
아르곤가스,262965,367745
아민,115465,104227
아세테이트섬유,X,X
아세테이트직물,43032,23455
아세톤,233650,366299
아세틸렌가스,41056,37332
아스팔트,2371502,2515024
아스팔트 콘크리트 및 혼합제품,1274044,1276144
아스팔트성형제품,94878,89107
아연 1차정련품,3051810,3713745
아연 2차정련품,215807,199317
아연 분말,X,X
"아연 압연,압출 및 연신제품",124443,144264
아연도 강선,341795,362910
아연도강판,8901769,10313005
아연화,278714,345115
아이세도우,422987,220648
아이스크림,1025003,732822
아크 용접기,91473,48091
아크릴도료,434899,460250
아크릴레이트,457626,569887
아크릴로니트릴(AN),X,X
아크릴릭섬유,X,X
아크릴산,X,X
아크릴수지(PMMA),723501,938495
아트지,1219765,1672285
안경용 렌즈,194898,149822
안경테,111328,121161
안전 밸브,297915,306857
안정제(고무·플라스틱용),467159,462289
안테나,322738,373531
안테나시스템,482619,190174
알로에식품,80610,72245
알루미나,362158,325065
알루미나시멘트,X,X
알루미늄 1차정련품,1794893,1857572
알루미늄 2차정련품,1516765,1784888
알루미늄 관,429748,440306
알루미늄 봉(압연에 의한 것),313015,335205
알루미늄 분말,X,X
알루미늄 새시바(압출에 의한 것),2064053,2046473
알루미늄 선,300372,319888
알루미늄 주물,1108101,1141585
알루미늄 판,3153574,3213619
알루미늄단조물,146367,173798
알루미늄도금강판,1130828,631174
알루미늄박(두께 0.2 ㎜ 이하),610388,616388
알루미늄제  관연결구류,52307,46810
알루미늄제 주방 및 식탁용품,548996,567324
알루미늄캔(음식료품용),610275,597613
알미늄 전해축전기,232595,229262
알카리성 이온음료,110238,125741
알칼리 축전지,8885754,7332436
알킬벤젠,X,X
암면 및 유사제품,416066,415049
암모니아,350596,369891
압력계,126057,101143
압연기 롤,117173,113856
압전소자,X,X
압축 및 액화 가스용기,743144,622028
앙금류,115195,109765
애완동물사료,365000,292807
액면계,115631,84409
액압 프레스,33283,33885
액정 모니터(컴퓨터용),879261,787672
액정(liquid crystal),505364,837803
액체 여과기 부품,906124,910030
액체비중계,X,X
액체펌프의 부품,108207,98381
앨범,46815,45624
약주,45500,52998
"양궁, 국궁 및 유사장비",28086,30776
양말,181581,214704
양초,22179,19080
어댑터,101260,119292
어류 부산물(신선 및 냉동한 것),30016,28412
어류 염장품,161370,149885
어류의 채(건조한 것),71404,64322
어망,93439,116178
어묵 및 유사가공품,651641,595492
"어선(FRP제, 동력식)",113929,121419
어선(철강제),13693,X
어육 소시지 및 어묵햄,383193,340997
"어육(신선 및 냉동한 것, 등뼈 제거)",564634,524783
어학실습기,X,X
얼음,87429,93915
업소용 세탁관련기기,20981,23078
에나멜페인트,97732,100130
에너지 저장장치(ESS),219830,412971
에스컬레이터,X,X
에어로졸캔,361901,364483
에어핸드링유니트,314364,337091
에틸렌,4077920,4469001
에틸렌글리콜(EG),1304020,1508529
에틸알콜(공업용),104798,135809
에폭시도료,336161,362024
에폭시동박적층판,1198421,1250080
에폭시수지,1580704,1476037
에폭시인쇄회로기판,3619047,3655157
엔지니어링플라스틱수지,4316400,5618382
엘리베이터,2476917,2860773
"여객선(FRP제, 동력식)",8636,X
여객선(철강제),X,X
여과지,272643,256769
여성용 니트 블라우스 및 셔츠(니트원단 구입),463360,424037
여성용 직물 블라우스 및 셔츠,783535,700833
여자 및 소녀용 내복 및 잠옷,9755,10577
여자 및 소녀용 바지,68968,76353
여자 및 소녀용 속옷,96139,88205
여자 및 소녀용 자켓 및 점퍼,1908095,1251133
여자 및 소녀용 정장,2032581,2885662
여자 및 소녀용 치마,138455,176192
여자 및 소녀용 코트,237471,268682
여자용 가죽의복,69340,70955
여자용 구두(단화 포함),502083,591613
여자용 보정의류,106865,140127
여자용 셔츠 및 브라우스(편직결합),85086,275202
여자용 속옷 (편직결합),115741,61861
여자용 스웨터(편직결합),200217,232048
여행용 가방,16984,27396
연 1차정련품,1613381,1560896
연 2차정련품,602667,644537
"연(납) 압연,압출 및 연신제품",214818,189637
연(납)광 및 아연광(채굴 및 정광),X,X
연관보일러,61817,69192
연료전지,236556,152545
연마석,134463,152888
연마지 및 포,386010,407387
연마휠,61236,57333
연사기,X,X
연삭기,88614,107554
연성 및 기타인쇄회로기판,2275271,2176908
연수기,X,X
연유,38839,19973
연체동물 냉동품,341394,298529
연탄,82594,112596
연필,35684,33197
열교환기,2167499,2182900
열연광폭강대(스테인리스제 제외),X,X
열측정 및 풍력계기,104333,69741
염산,112325,80192
염색기,26316,29813
염색약,121365,158080
염소,164435,170907
염소산나트륨,9412,9181
염화비닐모노머(VCM),943292,778912
영상 전화기,21681,11611
영상게임기,34725,37055
영상모니터,481002,523137
영화관련 기기,33685,30302
오디오 복제물,X,X
오디오용 튜너,X,X
오렌지원액,X,X
오리고기,292541,311249
오산화인,13398,15583
오실로스코프 및 오실로그래프,X,X
오존 발생기,22174,29696
오징어류 건제품,35721,27249
오토바이용 헬멧,140723,133702
옥수수 원유(압착한 것),14526,25423
옥수수가루,74911,78379
옥수수기름,83896,59973
옥수수전분,258615,283928
옥외용 조명장치,389815,366776
옥탄올(2-EH),313843,263005
온도 자동조절장치(공업용 제외),260613,294866
온도계,21210,24355
온도자동제어장치,976916,516683
올리브유,178093,230710
올소자일렌,X,X
옵셋 잉크,293187,271705
와셔(금속제),115558,111353
와이어로프,710720,671773
왁스,84910,81532
외장형 DMB 튜너 (PC 장착용),X,X
외장형 DMB 튜너 (자동차 장착용),204964,217016
요소,X,50871
요소수지,63118,37841
요업용 도포제,100295,93896
욕조,22697,25363
용접강관,4163671,3367464
용접봉,882202,880818
용접용로봇,229536,284945
우드몰딩,62537,67242
우레탄 발포제품,1225190,1133422
우레탄도료,367169,387389
우레탄폼 샌드위치패널,52933,40618
우산류,13249,19756
우산류 및 지팡이 부품,X,X
우편물취급기기,8484,6865
운동복,1750838,1649840
운동용 공,5960,4385
운동용 장갑류,X,X
운동화,388971,394087
운송장비용 플라스틱제품,12235144,12189056
워딩(솜) 제품,408317,401737
원당,X,X
원두커피,400084,404201
원심분리기,160968,147281
원유(채굴한 것),X,X
원자로의 부품,27103,23824
원추형 롤러베어링,235674,287101
원피,X,X
웨이퍼 가공 장비,2558494,3986113
위생용지,316927,287836
위성방송 수신기,1304007,1271821
위성방송 수신용 안테나,200220,202830
위스키,X,211072
윈치 및 캡스턴,63577,71688
유기계면활성제,1445781,1472908
유기질비료,608852,578819
유리거울(차량용 제외),54975,55974
유리단섬유,157492,155128
유리섬유 제품(직물제외),332063,340523
유리섬유직물,91322,80365
유리장섬유,156557,159539
유부,67363,66571
유선 전화기 부품,X,4387
유선방송 송수신기,93674,105919
유성 페인트,1845622,2067341
유아 및 어린이용 목제가구,28224,23507
유아용 내의(편직결합),56476,61331
유아용 의복 및 부속품,913978,767226
유압 및 공기압전송용 밸브,1126631,1061241
유압 펌프,733738,708016
유압기기 부품,623202,576306
유압실린더 및 유압시스템,1590344,1759601
유연제,81100,84238
유자차,192657,198886
육류 도축고기 부산물,121711,143536
육류가공기계,124230,104019
육상 금속 구조물,5317040,5168591
육지동물 통조림 및 병조림,51342,38892
육지동물 포장육,5000074,4550823
윤활기유,5693759,5968830
윤활유(석유기저),2811698,2563868
율무차,40670,40336
은괴,1774938,1596740
음료 베이스,372885,297130
음료 제조업,12036174,11940953
음성자동응답기,X,X
음식료품 및담배 가공기계 부품,19786,24349
음향기기용 자기헤드,X,X
음향기기의 전용부품,119522,274768
"의료, 정밀, 광학 기기 및 시계 제조업",25844056,27804069
의료용 물질 및 의약품 제조업,21441408,19543756
의료용 방사선 장치,751183,685939
의류 건조기,1026413,X
의류 부분품,91919,82543
의복 및 직물제품의 날염,30311,36682
의복 및 직물제품의 염색,57676,39337
"의복, 의복 액세서리 및 모피제품 제조업",14191325,14403307
의약품 원료,2065138,1825236
의약품제제,16290942,14835146
이·미용실 의자,X,X
이동식 금속 사다리 및 부품,36812,30211
이불,479036,431371
이산화규소,X,X
이산화탄소,175797,169253
이앙기,136764,127168
이어폰,115799,98882
이염화에틸렌(EDC),532460,X
이온 정수기,30507,31557
이유식(우유기저 제외),123093,102324
이퀄라이저,X,X
인공골재,87936,79296
인공신체,59641,45334
인버터,726669,754232
인산,94508,104243
인산비료,X,X
인삼과자,199265,155091
인삼분말,46885,43539
인삼음료,459186,580683
인삼즙,289295,328371
인삼차,72637,174754
인쇄 및 기록매체 복제업,568429,533699
인쇄 및 제본관련 기계 부품,105939,103070
인쇄기계,241377,269869
인쇄용 박엽지,126735,146379
인쇄판,534961,504370
인스턴트 커피,612092,356779
인조대리석,939817,946020
인조모피,X,X
인조모피 제품,X,
인조섬유편조물,479329,429000
인터폰,51279,66156
인형 및 장난감 부품,11728,4881
일반 단추,62851,79220
일반 유리용기,664485,618235
일반 전화기,44882,X
일반 합판,295347,270978
일반철근,4362398,4545348
일차전지,370287,260166
일차전지 부품,23889,23356
임팩트 프린터(충격식),55053,62831
잉곳 및 웨이퍼(태양전지용),41735,150917
잉크리본,X,X
잉크젯 프린터,59186,78244
잎(판상)스프링,102638,123171
자기 및 광 디스크,7644,12242
자기헤드(컴퓨터용),X,X
자동 자수기,X,16247
자동거래단말기(ATM),421268,295412
자동전기제어반,2033890,1836600
자동조절 및 원격조절밸브,665491,598406
자동조절기(공업용 제외)의 부품,74469,74204
자동차 KD세트(개조 및 분해),2471251,4317237
자동차 구조 및 장치 변경,57018,56067
자동차 및 트레일러 제조업,192799402,186412008
자동차 엔진용 신품 부품,14888744,15153311
자동차 재제조 부품,464680,521091
자동차 차체,1340736,1351007
자동차 차체용 신품 부품,22635445,22210782
자동차 튜브,190898,170631
자동차용  신품 의자,4659951,4898797
자동차용 센서,1032701,814315
자동차용 신품 의자 부품,1868420,1488525
자동차용 신품 전기장치의 부품,1641502,2124674
자동차용 철물,1193921,1149436
자동차용 프레스 가공품,4303065,4534264
자동차용 화합물,476430,598683
자동차용음향증폭기,X,X
자동차운반선,90426,217937
자동차촉매,1635243,1673876
자동창고시스템,184698,306838
자동판매기 및 화폐교환기,68509,84532
자동판매기 및 화폐교환기 부품,11250,10320
"자물쇠, 열쇠 및 관련 부품(자동차용 제외)",49204,50616
자수제품 및 자수용재료,43525,35641
자일렌(Xylene),1858074,1630290
자전거,26125,18272
자전거 및 차량용 조명기구,2656615,3515900
자전거 타이어,X,X
자전관,16973,15522
장갑(편직결합),215242,243827
장롱,625927,776257
장부류,X,9269
장석(채굴),X,X
장식용 도자기,X,X
장식용 조명세트,18168,20757
장식용 트리밍,X,X
장식장,146123,93574
장의용 목관,12970,13633
장판지,X,X
재료시험기,254332,284392
재봉기 부품,15520,13899
재봉사,67790,64608
재생 윤활유 및 그리스,109360,147291
재생 타이어,59479,84466
재생가죽,X,X
재생고무,44780,43379
재생목재,115431,36427
재생섬유사,132472,111006
재생수지,922034,912769
재생유,525293,496571
재생장섬유토우,40151,43121
잼 및 젤리 통조림,175788,197813
쟁기,15645,8847
저밀도폴리에틸렌(LDPE),3834218,4387283
저압배전반(전압1000v 미만),1338918,1343273
저울 부품,X,
저장용 금속탱크,1961752,1652567
저항 용접기,100421,95777
저항기 부품,54975,42714
적층가공지(박지),555386,664101
전구 및 램프 부품,105994,62491
전기 난로,24123,36507
전기 면도기,X,X
전기 및 전자기기용 플라스틱제품,2586071,2604727
전기 안마기,233052,135254
전기 애자 및 절연용 물품,111877,115675
전기 이발기,5735,6665
전기 후라이팬,30928,41397
전기·전자식 진단 및 요법기기 부품,87685,112478
전기ㆍ전자 및 정밀기기 수리,940141,917467
전기경보 및 신호장치 부품,86521,79958
전기고압용 축전기(>=0.5KW),56876,58596
전기공급계기,268270,426307
전기다리미,X,
전기담요 및 장판,142776,118599
전기도금 및 전기분해용 기기,65746,60862
전기량측정 및 검사용기기의 부품,142863,43878
전기레인지,157426,144628
전기로,265125,276667
전기보일러,16378,15837
전기비데,277792,303586
전기식 간판,529939,491219
전기식 교통 통제장비,189726,221548
전기식 교통통제장비의 부품,X,X
전기식 헤어드라이어,47763,44732
전기온수기,78962,61968
전기용 도자기,192431,216304
전기장비 제조업,82516438,79224106
"전기회로 개폐, 보호 장치 부품",341282,370122
전기회로 접속장치 부품,237406,256095
"전동기, 발전기 및 발전기 세트의 부품",925676,929541
전동차,1046132,935303
전등용 소켓,35866,37814
전등용 유리,12439,12953
전력선(송배전용),3665206,4066284
전시 및 광고용 조명장치 부품,169145,95100
전압조정기,16149,23451
전용기,670058,588404
"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",250753678,269593274
전자 오븐,35782,72557
전자 커넥터(통신 및 전자기기회로용),1377174,1190050
전자계측기,450040,475962
전자기타,38226,37274
전자복사기용지(소매용),64182,61681
전자부품 실장기판,1776571,1941206
전자부품용 변성기,190617,183486
전자석 및 영구자석의 제품,80941,75797
전자수첩,X,X
전자식 모의훈련기기,60705,78512
전자악기 부품,13589,12631
전자유도 코일 및 쵸크,330347,322904
전자응용 가공 절삭기계의 부품,78897,104274
전자집적회로 부분품,1056537,968776
전자총,X,X
전자코일 및 인덕터의 부품,55134,52530
전자혈압계,5717,6310
전자회로용 가변식 축전기,46730,45051
전투용 차량,1273019,810071
전투용 차량부품,501167,503476
절단기,79378,79794
절삭가공,5835613,6127443
절연전선(옥내외 저압 배선용),1711645,1914713
절연코드 및 코드세트,1204124,1143655
점토기와,22345,19085
점토벽돌,167511,182857
점토타일,273743,324201
접착지,189805,188564
접착테이프,2945415,2657380
정류기,645100,633003
정미기,68012,62046
정보용지,739519,491437
정수기,853549,1139161
정제당,1090859,1098584
정제어유가공식품,30230,21050
정지형 변환기의 부품,130531,135046
정형외과용 기기,202585,191545
정형외과용 기기 및 보청기 부품,40965,26234
제 조 업(10~34),1491723515,1517922862
제강용선철,X,X
제동기,66334,39722
제분 부산물,X,33987
제빵용기계,77153,71338
제올라이트,44803,45251
제재부산물,54771,43383
제철소 부산물,383051,X
제트유,16308183,16999680
젤라틴,166150,124347
조개통조림,X,
조립식 건축자재(콘크리트제),301911,279515
조립식장난감,100324,135509
조립용로봇,604885,674499
조명장치 부분품,182245,109930
조미오징어,289967,299937
조미쥐치포,32058,35175
조제계면활성제,283442,317168
조제분유(우유기저),333707,305346
조제수프,67049,100967
조제윤활제,204020,171077
조타기,16691,10542
조화 및 모조 장식품,17794,56070
종이 가방,191371,178232
종이 기저귀,643895,776405
종이 라벨,659496,601413
