품목별,사업체수 (개),생산액 (백만원),출하금액 (백만원),완제품 연말재고액 (백만원)
  떡(제조도매),73,113852,114077,1372
  떡(제조소매),31,42950,42896,457
  식빵(제조도매),18,275257,275381,2231
  도넛(제조도매),19,88266,88264,392
  기타 빵류(제조도매),79,591099,590529,3897
  케이크(제조도매),33,240267,240318,659
  빵(제조소매),67,72493,72440,283
  코코아 분말,7,11476,11246,739
  초콜릿류,51,688980,691203,24981
  캔디류,60,275281,277863,13802
  껌,7,312352,312917,8173
  미과,60,72576,73081,1338
  스낵류,55,936894,935683,15094
  건과자류,25,101324,99585,2915
  기타 곡분과자,13,70056,70520,1469
  정제당,5,705976,709915,15618
  국수,50,146093,145688,9994
  당면,12,33992,33488,4366
  냉면,43,76017,75586,3211
  기타 유사국수,16,14511,14617,211
  라면,9,1096885,1093976,9840
  기타 인스턴트면류,8,40354,39960,990
  글루타민소다,3,36410,38198,2333
  기타 화학조미료,6,132682,138986,4460
  식초,19,68873,69041,1456
  맛소금,3,2887,3158,43
  고추가루,41,202926,202341,12580
  후추가루,12,20078,20268,898
  혼합 조미료,32,161702,163483,4844
  기타 천연조미료,52,102881,102930,4689
  마요네즈,5,139324,137696,2976
  케찹,6,64893,64635,1361
  카레,3,58512,58272,1049
  기타 혼합조제조미료,130,608383,607701,15139
  간장,51,192775,192783,8026
  된장,68,94219,94514,4558
  고추장,64,210042,211206,7259
  춘장,18,45110,44641,1313
  메주,28,4519,4516,899
  기타 장류,70,152192,152627,2605
  커피 크리머,9,139836,140445,5128
  효모,21,59520,59069,4315
  가라기난,2,...,...,...
  식품용 색소,7,12404,11999,895
  기타 식품첨가물,54,172319,171622,10522
  원두커피,14,35070,35195,431
  인스턴트 커피,11,185252,185145,8455
  커피믹스,18,345565,342566,12580
  녹차,39,151715,151716,6932
  홍차,8,27639,27606,2240
"  치커리차, 보리차 및 옥수수차",16,19128,19612,2342
  율무차,14,20530,20366,744
  유자차,37,53248,53049,1905
  꿀차,8,15840,15532,1356
  기타 가공차,55,55038,53811,6218
  조제수프,34,190211,190182,4480
  이유식,7,34321,34364,2744
  음료 베이스,10,112606,113093,1368
  두부,64,298839,297451,2170
  유부,7,37087,37138,470
  기타 묵 및 유사제품,22,23610,23666,155
  백삼,13,16754,16566,7910
  홍삼,24,159152,153948,24218
  인삼분말,12,24006,23691,2502
  인삼즙,33,57793,56568,10540
  인삼차,20,32687,31747,5579
  인삼과자,16,83630,84765,2526
  기타 인삼기저 식품,25,29633,28553,3537
  건강원제품,13,16563,16707,1158
  기타 건강보조용 액화식품,97,296034,294617,20369
  스쿠알렌식품,1,...,...,...
  효소식품,5,2310,2262,171
  정제어유가공식품,3,1603,1575,51
  알로에식품,2,...,...,...
  기타 건강기능식품,12,11668,10984,1651
  냉동만두,48,278375,278008,15693
  기타 냉동조리식품,77,293057,291054,14440
  김밥(제조도매),16,97489,97395,582
  도시락(제조도매),123,454018,453817,1681
  레토르트 식품,33,171218,170294,6329
  기타 식사용 조리식품(제조도매),113,253726,255287,4930
  계란 및 새알 가공품,22,130287,128021,5814
  기타 식품,5,9912,9928,230
  배합사료(양우용),89,1979209,1974472,15816
  배합사료(양돈용),55,1226979,1224569,11620
  배합사료(양계용),37,912051,911050,5080
  배합사료(기타 동물),44,1112004,1011360,112677
  애완동물사료,16,271649,270505,5312
  사료 첨가제,47,111989,111510,3702
  기타 사료,54,365895,364238,10134
  동물용 조제식품,3,7758,7717,55
 음료 제조업,457,7757363,7738398,219109
  탁주,34,115034,115019,244
  약주,13,92915,91157,6515
  청주,3,79947,78242,4102
  맥아,9,29576,29337,9034
  맥주,6,1732418,1729563,18105
"  포도주, 샴페인",3,9827,9139,1150
  복분자주,15,61368,61601,3011
  기타 발효주,10,22335,22418,2186
  주정,10,411677,408204,8453
  소주,16,1480292,1477892,23767
  위스키,5,234345,236607,3106
  매실주,5,49316,48261,2249
  기타 증류주 및 합성주,11,7613,7199,1197
  얼음,49,30719,30463,682
  생수,51,239290,238942,2471
  콜라,6,293207,293311,3704
  사이다,9,362573,362344,6118
  기타 탄산음료,16,299654,300607,14534
  알카리성 이온음료,9,84742,88241,3681
  식물성 섬유음료,23,133293,132818,7051
  인삼음료,25,159346,155114,12662
  과실음료,43,849011,848388,34062
  채소음료,4,25070,25245,282
  두유,13,196383,194921,9223
  커피 음료,13,251994,247981,10985
  기타 비알콜성 음료,56,505418,505384,30535
 담배 제조업,12,2905789,2909219,313921
  담배잎(재건조),3,...,...,...
  담배,8,2656306,2660428,49077
