품목별,사업체수 (개),생산액 (백만원),출하금액 (백만원),완제품 연말재고액 (백만원)
  요소,2,...,...,...
  황산암모늄,2,...,...,...
  기타 질소비료,7,87273,88070,15646
  인산비료,4,28965,30222,3699
  황산칼륨(황산칼리),2,...,...,...
  기타 칼륨비료,2,...,...,...
  복합비료,33,921267,946973,84076
  유기질비료,103,301713,307154,31963
  기타 비료,47,123495,121232,20307
  SBR,3,549597,552100,21433
  BR,1,...,...,...
  SB라텍스,3,174053,177457,5797
  기타 합성고무,15,644893,651728,31583
  고밀도폴리에틸렌,11,2419929,2403505,98155
  저밀도폴리에틸렌,14,2156159,2175352,131643
  폴리스티렌,15,1404120,1370977,110882
  ABS수지,10,1884165,1865548,94625
  PVC수지,13,1204350,1201123,41352
  폴리프로필렌,12,3335121,3319227,172282
  에폭시수지,12,949094,953477,35991
  불포화폴리에스터수지,14,240399,240928,12160
  선형폴리에스터수지,13,1494748,1476133,53445
  아크릴수지,7,233999,231018,14610
  요소수지,10,33100,32884,840
  멜라민수지,9,24200,24169,748
  페놀수지,7,167559,165491,11226
  폴리우레탄,31,382392,380201,23499
  엔지니어링플라스틱수지,17,946687,922715,61015
  실리콘수지,23,246155,231426,28917
  석유수지,4,169787,162650,20016
  K-RESIN,1,...,...,...
  기타 합성수지,35,922429,925143,59125
  구입한 수지의 배합물,117,1542825,1545130,99857
  재생수지,113,299612,299904,12725
  가정용 살균 및 살충제,40,133998,136114,12234
  살충제(농업용),21,426231,423558,102418
  살균제(농업용),12,274455,297655,80942
  제초제(농업용),17,290599,283993,73772
  생장조절제,3,4497,3782,2609
  기타 농약 및 그 기조제,9,15393,14402,3849
  유성 페인트,69,1500120,1499578,72007
  수성 페인트,25,294402,292136,6418
  에나멜페인트,20,155792,154299,6662
  락카,20,50819,50868,5232
  우레탄도료,21,181373,179969,9018
  아크릴도료,9,94960,93910,4113
  에폭시도료,20,110345,110432,5636
  기타 합성수지 도료,24,579975,576689,26930
  신너,46,288499,287851,12421
  도료충전제,11,44823,43835,3703
  EMC,3,208931,210810,5315
  기타 도료 및 관련제품,42,313454,309259,28335
  요업용 유약,16,64353,64243,3101
  옵셋 잉크,15,231205,230894,10913
  그라비아 잉크,24,134241,134032,5640
  디지털 잉크,11,129705,128187,7875
  기타 잉크,20,38161,38225,1566
  그림물감,9,43402,43613,3464
  유기계면활성제,38,501709,495589,26922
  조제계면활성제,36,234589,234945,14865
  화장 비누,43,123154,123633,4228
  세탁 비누,14,32671,32142,1532
  공업용 비누,3,7441,7564,590
  세탁용 합성세제,35,493810,493225,17134
  주방용 합성세제,32,193200,194904,7074
  기타 세제,39,79320,79896,4038
  치약,19,177246,182369,9646
  글리세린,7,23595,23236,1430
  화운데이션,14,233279,239194,10447
  크림,44,391719,391221,11765
  로션 및 오일,100,1107758,1136707,55933
  루즈,17,74120,73201,3106
  볼터지,4,8569,8659,325
  아이세도우,17,51817,51466,1963
  샴푸,41,489647,493504,21111
  린스,10,2422,2473,428
  헤어스프레이 및 무스,16,19609,19562,935
  염색약,14,45066,44557,3700
  기타 두발용조제품,30,105287,104496,5968
  파우다,14,37864,37742,3075
  향수,7,25690,25704,68
  화장수,18,467281,466691,2905
  콜롱,1,...,...,...
  매니큐어 및 제거제,9,15500,15451,568
  기타 화장품,68,547083,545523,13973
  실내용 가향 제,26,59758,58970,2796
  왁스,14,129188,128808,5590
  구두약,4,18481,17945,1243
  기타 광택제,16,32288,32012,1243
  PS인쇄판,4,30185,30051,549
"  사진용 감광성 필름, 판 및 종이",12,44105,44401,3151
  토너 및 토너카트리지,39,189926,188921,8365
  PR,2,...,...,...
  사진용 화학물질,6,190962,193783,12920
  가공 및 정제염,19,72486,72284,1786
  천연 접착제,27,107760,106506,5360
  합성수지 접착제,127,807023,802640,39754
  젤라틴,9,129638,130438,11319
  화약 및 폭약,8,211253,207622,7235
  도화선 및 뇌관(화약용),6,78225,77928,2616
  폭죽 및 조명탄,7,27415,26524,1270
  성냥,2,...,...,...
  방향유,10,35430,35515,1108
  자동차용 화합물,26,243262,241643,8966
  전자공업용 화학화합물,41,1447941,1449983,35379
  콘크리트경화제,44,263724,264105,7354
  필기용 잉크,6,24479,24412,466
  조제윤활제,28,115203,115213,3062
  미생물 배양제,20,34199,33984,2107
  가황촉진제,4,11057,11691,442
"  산화방지제(고무,플라스틱용)",14,238000,242601,35779
"  안정제(고무,플라스틱용)",27,170257,169741,11054
  금속표면처리용 화합물,53,620973,623205,15268
  소포제 및 발포제,15,88613,88882,4693
  방수액,22,86998,86699,2707
  활성탄,23,86788,84078,8957
  제올라이트,8,60056,60425,2512
  수처리제,21,107294,107244,3983
  휴대용 연료,3,99572,98652,2660
  츄잉껌베이스             ,1,...,...,...
  반도체용감광액,6,39455,38435,2701
  기타 화학제품,66,404271,405368,31994
  폴리아미드섬유,13,722268,729539,68724
  폴리에스터섬유,51,2202546,2195145,124092
  스판덱스섬유,5,225846,226373,2820
  아크릴릭섬유,4,100750,99733,5358
  기타 합성스테이플섬유,2,...,...,...
  비스코스섬유,1,...,...,...
  아세테이트섬유,1,...,...,...
  재생장섬유토우,1,...,...,...
  기타 재생섬유,3,19010,19328,543
 의료용 물질 및 의약품 제조업,461,10316249,10175594,775514
  의약품 원료,55,492480,481582,68559
  백신,10,192314,185053,14655
  기타 생물학적 제제,22,262657,264429,9437
  의약품제제,200,8442454,8328640,534160
  한의약품,46,201420,199592,21227
  동물용 약제품,42,446170,439969,110032
"  탈지면, 거즈, 붕대 및 유사제품",40,114078,112872,6181
  진단용 시약(의료용),21,92009,91164,5985
  기타 의약관련제품,25,72667,72293,5278
 고무제품 및 플라스틱제품 제조업,5741,37858956,37732579,1494758
  승용차타이어,6,3739701,3738293,121728
  버스 및 화물차 타이어,3,499207,489216,42449
  모터사이클타이어,7,243668,243154,9195
  기타 자동차 타이어,3,26623,26705,988
  자동차 튜브,2,...,...,...
  자전거 타이어,3,73891,73563,3497
  기타 비동력식 차량의 타이어 및 튜브,4,9772,9515,1000
  타이어 및 튜브 부속품,13,107748,107050,5656
  재생 타이어,11,114585,117458,4380
  재생고무,9,29324,28706,1063
  배합고무,19,303919,304533,6294
  방진고무,30,394587,394890,5984
  공업용 고무롤,24,67876,68555,2278
  공업용 고무판,28,161532,160501,5646
  고무 관 및 파이프,20,119607,119471,1661
  고무호스,42,374615,375061,10779
  고무벨트,21,189202,190141,10791
  고무직물,6,16144,16500,126
  고무 패킹,235,795056,797013,17695
  고무스폰지 및 발포성제품,33,185838,185284,4812
  기타 산업용 고무제품,99,404763,404078,8119
  고무 장갑,15,49836,49220,2097
  피임용 기구(고무제),3,22432,20477,4718
  고무젖꼭지,2,...,...,...
  기타 위생용 고무제품,10,22937,24145,1632
  고무 매트,64,186528,184074,13748
  고무 보트,5,20310,20194,2667
  고무줄 및 밴드,15,32900,33089,1747
  고무 자석,4,9728,9558,354
  기타 고무제품,80,178057,177185,5227
  플라스틱 프로파일(샤시바는 102),49,269887,267977,12148
  플라스틱 샤시바,24,718421,719423,8973
  플라스틱 파이프,50,216996,216282,13009
  플라스틱 호스,140,720749,714461,65841
  플라스틱 연결구류,113,526084,524821,24191
  폴리에틸렌(PE)필름,123,834333,815292,67689
  폴리프로필렌(PP)필름,44,436366,435091,18226
  폴리에스터(PET)필름,48,848590,849280,45778
  플라스틱필름 및 시트(포장용),199,1608989,1613364,63727
  폴리염화비닐(PVC)필름,39,286765,285695,9567
  폴리스티렌(PS)필름,11,41743,41509,1195
  플라스틱필름 및 시트(포장용 제외),83,941443,912421,61610
  합성피혁,46,456018,452467,28446
  플라스틱장판,16,454263,456062,16893
  플라스틱벽지,7,61870,61446,2590
  플라스틱 타일,32,359838,357805,21470
  위생용 플라스틱제품,152,443698,441542,23390
  플라스틱 창문 및 문,219,1082179,1073856,35447
  기타 건축용 플라스틱 조립제품,131,424696,427765,19284
  플라스틱 봉투,180,619578,616458,18209
  플라스틱 병,90,816482,816032,32592
  플라스틱 뚜껑,114,378114,376639,14029
  기타 플라스틱 포장용기,428,1408158,1397993,60196
  운송장비용 플라스틱제품,587,4549976,4546420,115639
  Key Pad,96,803817,803825,42738
  핸드폰케이스,142,2250964,2232983,67226
  전기 및 전자기기용 플라스틱제품,235,1333280,1349316,38501
  기타 기계용 플라스틱제품,404,1300583,1295653,30444
  폴리스티렌 발포제품,211,1218648,1214662,67224
  우레탄 발포제품,105,655936,657232,21785
  기타 플라스틱 발포제품,46,265256,261402,7337
  플라스틱 적층품,143,738842,730073,43584
  접착테이프,182,1089254,1086501,49219
  플라스틱 주방용품,113,619454,617308,24845
  가구용 플라스틱제품,26,71449,71997,1305
  오토바이용 헬멧,16,103049,104055,4326
  플라스틱 헬멧,20,38337,38266,665
  플라스틱 사무 및 문구용품,40,103764,103595,3237
  플라스틱 자석,1,...,...,...
  기타 플라스틱 제품,220,373822,371114,15676
 비금속 광물제품 제조업,2747,23088644,23094289,774386
  판유리,5,493734,507938,48129
  유리장섬유,5,145398,140511,18326
  유리단섬유,6,127629,127203,4757
  유리섬유 제품(직물제외),29,193858,196737,11901
  차량용 안전유리,19,492277,494300,26317
  기타 안전유리,151,514174,513873,10481
  차량용 거울,22,256742,256984,4293
  유리 거울(차량용 제외),24,71422,74799,3302
  기타 판유리 가공품,60,138176,137910,3292
  브라운관용 유리,6,243250,252036,12760
  전등용 유리,13,34071,33807,1362
  LCD용 유리,26,3655846,3655988,39145
  ITO코팅유리            ,7,62898,64521,1786
  기타 산업용 유리제품,25,67861,67215,3652
  가정용 유리제품,17,76745,75538,6961
  유리용기,41,528599,515322,54896
  기타 1차유리,2,...,...,...
  기타 유리제품,17,45409,45198,2643
  토기제품,6,5908,5635,655
  가정용 도자기,54,132639,132158,18987
  장식용 도자기,4,1601,1601,140
  세면기,12,60951,60043,12125
  변기,7,58139,56372,9369
  욕조,6,8032,8272,1684
  기타 위생도기제품,6,13039,11678,2237
  전기용 도자기,22,56841,61595,15293
  세라믹제 및 페라이트 자석,7,51034,50074,5699
  페라이트코아(철심),10,149797,150368,12730
  기타 산업용 도자기,12,47121,46593,1997
  도자기제조용 분말,8,18211,18205,542
  기타 일반도자기,2,...,...,...
  내화 벽돌 및 블록,20,289146,292375,35760
  내화 타일,8,56129,60433,10692
  내화 도가니,1,...,...,...
  기타 정형 내화물,4,8818,8451,389
  내화시멘트,12,106762,106640,1792
  기타 부정형 내화물,26,290379,286793,16216
  점토 벽돌,39,167901,165601,32068
  점토 기와,12,30407,30180,5328
  점토 타일,24,226620,225570,37785
  구조용 비내화 요업제품,2,...,...,...
  기타 구조용 비내화 요업제품,3,3020,2960,281
  시멘트 크링커,5,360767,360767,0
  보통시멘트,16,707555,708008,9524
  백색시멘트,1,...,...,...
  기타 포트랜드 시멘트,11,1526519,1527046,6958
  알루미나시멘트,2,...,...,...
  고로슬래그시멘트,10,390843,389839,7549
  기타 수경성 시멘트,4,15414,15304,120
  생석회,20,69623,69415,774
  소석회,13,32766,32621,366
  기타 석회,13,28211,27089,3186
  플라스터,6,25191,25353,388
  비내화 모르타르,42,281652,282376,4774
  레미콘,739,6568882,6567070,31921
  석고보드,10,356581,356117,11553
  기타 석고 제품,5,4063,4061,56
  섬유시멘트 제품,9,27086,26737,1677
  콘크리트 블록,152,335149,333514,29331
  콘크리트 벽돌,53,82838,83131,3479
  콘크리트 타일,29,80066,80062,3563
  콘크리트 기와,2,...,...,...
  콘크리트 벽면,10,53760,54048,4652
  조립식 건축자재(콘크리트제),5,35068,34157,5140
  콘크리트 파일,26,385238,391357,31376
  콘크리트 전주,18,73612,73631,4213
  흄관 및 VR관,68,197818,193825,28567
  기타 콘크리트관,121,330710,329722,36798
  기타 조립구조재,50,83769,84748,7268
"  기타 콘크리트,시멘트제품",20,52816,52916,2245
  건설용 석제품,110,283891,284467,11787
  기념석,21,37607,37503,974
  건물석,2,...,...,...
  기타 석재 가공품,8,10738,10849,959
  아스콘,132,605731,608126,1433
  연마휠,6,16948,16794,239
  연마석,31,72195,72331,3148
  연마지 및 포,26,230382,229675,12106
  활석분,7,37285,37043,571
  규석분,8,19670,19652,462
  기타 비금속광물 분쇄물,52,202253,200876,7040
  브레이크라이닝,4,9540,10151,1229
  암면제품,14,114418,114542,3086
  석면제품,5,11154,11194,352
  아스팔트성형제품,13,67598,66357,5823
  흑연 및 탄소제품(비전기용),13,105032,103507,5780
  인공골재,14,55559,55549,1180
  인조대리석,5,29403,29597,3350
  모래주형(중자포함),27,49585,49277,627
  기타 비금속광물제품,7,17652,17490,296
 1차 금속 제조업,2519,99560773,99117925,3829037
  제강용선철,7,2480267,2472766,69191
  주물용선철,1,...,...,...
  제철소 부산물,23,169458,168934,1264
  슬래브,3,216506,218458,1382
  블룸 및 쉬트바,1,...,...,...
  빌렛,7,149202,153657,2061
  강괴,2,...,...,...
  망간철,5,140419,139514,7308
  합금철(페로얼로이),11,512238,510609,22070
  철분(철분쇄물),2,...,...,...
  봉강-보통강,24,843853,840797,48278
  봉강-특수강,10,585752,577071,76562
  봉강 - 스테인리스강,6,221761,224275,14473
  일반철근,21,3107082,3136471,43233
  고장력철근,8,1744852,1750374,28561
  선재-보통강,3,144497,156951,2692
  선재-특수강,3,2964485,2936074,92979
  형강-보통강,23,1407136,1404447,73927
  형강-특수강,9,1666244,1665050,72184
"  중후판(두께 3mm이상, 스테인레스는 107)",4,2342699,2323762,55224
  기타 열연강판,15,7402120,7382214,171853
  스테인레스 중후판 및 열연강판,6,7268226,7301852,120956
  기타 궤조 및 철도선로자재,9,175061,170063,10764
  냉연 봉강 및 냉연 형강,24,2020880,2017045,98918
  냉연광폭강대,3,741986,745833,21113
  냉연협폭강대,1,...,...,...
  냉연박판,4,140373,138729,5650
  냉연전기강판,2,...,...,...
  기타 냉연강판,22,1943093,1932991,55225
  스테인레스 냉연강판,23,2351247,2302229,170383
  보통 철선,45,266183,266523,8594
  경강선 및 피아노선,12,257581,257924,13944
  PC강선,6,85665,86368,2456
  냉간압조용 강선(CHQ),9,484660,480139,30363
  스텐인리스강선,15,281709,277434,18983
  아연도 강선,15,446563,448284,20601
  타이어보강 강선,15,528765,534961,23942
  주철관(주조한 것),15,196233,192897,40452
  주철제 관연결구류,18,114023,116134,5869
  용접강관,46,1665358,1643849,95412
  무계목강관,5,53514,50320,4462
  기타 강관,25,649534,634629,53249
  강관가공품,199,3587556,3586233,162681
  강관 연결구류,239,1792258,1773418,148894
  아연도강판,17,4719204,4700390,190717
  주석도금강판,7,1435872,1437317,54589
  갈바륨강판,1,...,...,...
  크롬도금강판,1,...,...,...
  알루미늄도금강판,5,388285,426975,19017
  기타 도금강판,8,128199,127271,6759
  칼라강판,17,1981656,1940410,111392
  도금 강관 및 피복 강관,23,307059,301728,21910
  기타 도금 및 피복처리 강재,27,326315,322789,13747
  철강 절단품(구입한 강재 절단),337,7150225,7056321,280333
  동1차정련품,5,3934328,3943989,135634
  동 2차정련품,12,460329,467746,20061
  알루미나,4,8410,8074,380
  알루미늄 1차정련품,19,242248,239042,13724
  알루미늄 2차정련품,76,2129339,2121092,61000
  연 정련품,4,559992,543625,19040
  연 2차정련품,5,126051,123439,3504
  아연 1차정련품,7,2251032,2245673,133391
  아연 2차정련품,6,83273,84905,1810
  금괴,5,997438,971972,34005
  은괴,3,555821,558572,18552
  기타 귀금속 1차정련품,1,...,...,...
  귀금속 2차정련품,12,335018,335380,913
  니켈괴,1,...,...,...
  주석괴,3,104329,104086,660
  기타 비철금속 1차정련품,5,93337,81369,11968
  기타 비철금속 2차정련품,11,134165,134290,5886
  동봉,30,1333293,1331212,42257
  나동선,41,3004830,2993489,28027
  동판,23,1113156,1104013,46941
  동박(두께 0.15 ㎜ 이하),5,291635,295468,10303
  동관,31,1349552,1363406,78127
  동제의 관연결구류,20,205800,204280,20463
  알루미늄 봉(압연에 의한 것),12,125912,124829,6706
  알루미늄 샷시바(압출에 의한 것),87,1251848,1248661,44571
  알루미늄 선,15,149433,148658,4294
  알루미늄 판,43,1424263,1410116,54903
  알루미늄박(두께 0.2 ㎜ 이하),26,434426,431987,14331
  알루미늄 관,16,1031851,1039183,20138
  알루미늄제  관연결구류,5,41842,41689,426
"  니켈 압연,압출 및 연신제품",2,...,...,...
"  연(납) 압연,압출 및 연신제품",5,110238,110668,3308
"  아연 압연,압출 및 연신제품",8,135019,135371,3587
"  주석 압연,압출 및 연신제품",2,...,...,...
  텅스텐(중석) 압연 및 압출 제품,4,12380,9184,3216
  귀금속 압연 및 압출 제품,4,60807,60681,1200
  기타 비철금속 압연 및 압출제품,10,316919,317731,7799
  동 분말,6,92170,90542,5020
  알루미늄 분말,7,132593,132649,2790
  아연 분말,5,93891,94577,2324
  텅스텐분말,2,...,...,...
  기타 비철금속 분말,4,86457,86069,1838
  기타 1차 비철금속제품,30,282961,279172,13747
  회주물(보통주철),163,1405965,1385448,78209
  가단주물,13,116899,114337,5101
  구상흑연주물(덕타일 주물),23,202213,200371,9485
  보통강 주물,78,933217,928172,33955
  특수강 주물(합금강주물),69,867386,866612,18328
  알루미늄 주물,96,633140,627756,19963
  동 주물,30,298425,298583,3685
  기타 비철금속 주물,36,917717,892485,57444
 금속가공제품 제조업;기계 및 가구 제외,7169,45510175,45352961,1257736
  건물용철문,33,78465,78310,1439
  셔터문,17,38101,38163,149
  기타 금속제 문,138,417546,414662,9621
  금속제 창문,221,1019939,1024475,34251
  건축용 금속 공작물,309,1485414,1479943,39069
  판금제품,414,1603064,1588769,44696
  육상금속 구조물,564,5235181,5231802,100463
  교량,42,369363,366264,7642
  철제수문,23,63907,63707,977
  수상금속 구조물,122,4707579,4697587,32340
  금속제 조립식 건축물,53,209257,210909,4682
  금속제 조립식 건축물용 판넬,205,1288992,1287528,37121
  산업용 온수보일러,23,230080,230973,2475
  방열기,26,83262,83431,2017
  산업용 온수보일러 및 방열기의 부품,20,62703,62557,1015
  저장용 금속탱크,216,2194736,2188120,27618
  압력 용기,78,554209,550166,15188
  원자로,2,...,...,...
  수관보일러,10,928728,928731,2033
  연관보일러,7,51572,51954,517
  기타 산업용 보일러,20,114857,113885,1803
  보일러 부속품 및 부품,28,189687,188754,10687
  원자로의 부품,4,10881,10990,44
  군사용 무기 및 부품,49,1802986,1805871,38019
  비군사용 총기류,2,...,...,...
  기타 비군사용 무기 및 부품,4,10886,11569,444
  분말야금제품,29,155740,156207,6683
  보통강 단조물,21,202353,202087,4793
  특수강 단조물,17,896768,892116,19818
  기타 철강 단조물,55,719204,711403,24440
  스테인리스 단조물,11,103148,104262,10395
  알루미늄단조물,15,125563,125345,1984
  동단조물,4,13601,13678,65
  기타 비철금속 단조물,9,42191,40985,1235
  자동차용 프레스 가공품,372,2191682,2182173,43450
  가정용 압형제품(알루미늄제),24,72629,72226,1763
  가정용 압형제품(스테인레스제),36,229031,227547,4296
  기타 프레스 가공품,513,2755321,2750558,72636
  금속 열처리 제품,43,134902,131373,5382
  절삭가공,800,2445691,2435515,43024
  기타 금속처리 제품,113,382605,378318,10136
  금속제 식탁용품(식기제외),22,51481,52020,1167
  칼 및 칼날(식탁용 나이프 제외),24,49059,48765,2152
  면도기 및 면도날,5,76956,76685,8332
  가위,16,17243,17527,722
  손톱 및 발톱 깍기,18,66400,65375,8694
  건물용 철물,95,293037,288284,13522
  가구용 철물,47,165889,165145,6572
  자동차용 철물,202,1011173,1007380,23485
  디지털 도어록,29,119413,116569,6967
"  자물쇠, 열쇠 및 관련 부품(자동차용 제외)",22,32085,31605,2834
  캐스터(소형바퀴),9,27710,27560,959
  가방 부착용 철물,18,46465,46226,1381
  커튼 및 블라인드 부품,12,18164,17800,840
  기타 일반철물,66,193317,193464,3697
"  플라이어,뺀지,못뽑기",1,...,...,...
  드라이버,2,...,...,...
  스패너 및 렌치,3,3486,3468,82
  기타 작업용 수공구,15,74172,75558,1858
  농업용 수공구,6,8249,8348,701
  드릴,21,73476,71632,11738
  햄머,3,5106,5293,172
  기타 수공구,24,37909,37175,2346
  톱(수동식),9,14564,14375,407
  톱날,27,164971,165868,8741
  공작기계용 절삭공구,138,799513,790476,80488
  기타 공작기계용 부속물,42,177320,169012,18315
  쇠못,26,113385,113783,8009
  나사못(금속제),48,218656,219428,7126
  볼트 및 너트(금속제),304,1794416,1786762,97194
  리베트(금속제),16,35551,35364,1619
  와셔(금속제),38,126333,125521,3472
  기타 금속파스너,44,107863,107989,3455
  코일스프링,25,208996,209340,8019
  잎(판상)스프링,9,60883,60466,2558
  기타 금속스프링,89,373387,371097,15089
  철망,99,272990,271394,12801
  와이어로프,39,503403,500287,31133
  체인(동력전달용 제외),10,36263,36344,572
  기타 철선조립제품,50,114833,112771,7672
  스틸캔(음식료품용),25,442486,446637,18648
  알루미늄캔(음식료품용),12,231457,229688,12456
  에어로졸캔,7,15080,14374,1919
  드럼통,35,228162,227352,4376
  금속 튜브용기,16,85519,85632,1361
  기타 금속포장용기,183,649886,649880,11892
  병마개,21,156368,155863,5289
  금고,13,79445,79336,1676
  금고 부품,1,...,...,...
  알루미늄제 주방 및 식탁용품,91,358774,355847,20313
  스렌레스 주방 및 식탁용품,53,171796,170142,9169
  법랑제 주방 및 식탁용품,4,3188,3238,199
  기타 금속제 주방 및 식탁용품,5,3297,3251,110
  싱크상판,16,61643,60965,5144
  기타 금속 위생용품,29,85061,84464,4195
  금속표시판,68,126160,128284,1529
  금속제 액자틀,4,34354,33808,3616
  기타 금속제 장식용품,33,70383,70383,2168
  용접봉,30,781672,771744,49387
  금속 사다리 및 부품,18,30487,30510,1965
"  선박용 프로펠러, 날 및 닻",14,199786,194684,13125
  금속제 파킹 및 가스켓,44,187939,187740,3678
  기타 조립금속제품,52,131443,129846,3383
  금속제 영구자석 제조,12,81254,81179,3761
  바늘,18,60794,61413,8252
" 전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4054,150455275,150543409,2900879
  D RAM,8,12397009,12358674,238345
  S RAM,6,372104,390720,14769
  Flash 메모리 (모듈포함),14,7983412,7968717,135250
  기타 반도체 메모리,29,455740,452982,12017
  스탠다드로직,6,3106235,3085395,71547
  ASIC 로직,16,646275,648829,9150
  마이크로 콤퍼넌트,11,649425,634114,51864
  바이폴라 IC,5,140474,139953,3329
  기타 모노리식 디지털 집적회로,5,584918,586220,2718
  아날로그 집적회로,6,210967,211263,14821
  하이브리드 집적회로,8,189615,188897,5605
  기타 혼성 집적회로,7,180555,181861,2572
  극소형 조립회로,12,1215114,1215381,11640
  CMOS이미지센서,3,34471,34163,1635
  DDI,1,...,...,...
  전자집적회로 부분품,19,402205,401745,5049
  트랜지스터,13,943161,939316,29763
  다이오드,8,129887,130413,1121
  발광 다이오드,48,473410,473276,38440
  감광성 반도체소자,31,931836,922612,46181
  압전소자,1,...,...,...
  수정진동자,15,41755,41239,2030
  실리콘웨이퍼,13,897074,897087,19025
  기타 반도체개별소자,12,52988,53743,1377
"  다이오드, 트랜지스터 및 반도체 부품",59,1089396,1068709,53884
  노트북용LCD,12,6617640,6645012,83319
  TV용 LCD,8,14646713,14717881,155456
  기타 LCD,41,9410427,9474591,138101
  LCD용 컬러 필터,11,579392,588170,9642
  LCD용 백라이트 유니트,62,3709986,3710872,41780
  진공형광관,2,...,...,...
  PRP,2,...,...,...
  LCD편광필름,7,1267036,1266279,22129
  기타 액정표시장치 부품,104,2286531,2290769,58140
  PDP,11,2779875,2916927,88827
  OLED,6,172132,172391,2573
  기타 평판디스플레이 판넬,12,182153,179855,8666
  페놀동박적층판,14,273099,269535,16791
  에폭시동박적층판,18,300637,293822,19636
  기타 인쇄회로원판,27,614406,610383,32583
  페놀인쇄회로기판,8,17777,17660,588
  에폭시인쇄회로기판,67,311433,311105,10897
  기타 인쇄회로기판,137,4370726,4334233,174568
  전자부품 실장기판,165,922790,921381,23567
  컬러TV용 음극선관,7,571274,589984,6949
  컬러모니터용 음극선관,2,...,...,...
  기타 음극선관,1,...,...,...
  자전관,2,...,...,...
  기타전자관,4,6034,5920,144
  PCM(색순도집속장치),1,...,...,...
  기타 전자관 부품,29,126451,127155,2531
  탄탈륨 축전기,3,32177,32483,3400
  알미늄 전해축전기,5,240926,239106,19988
  세라믹 유전체의 고정축전기,20,651306,632785,51774
  종이 및 플라스틱 고정축전기,9,36877,37277,3383
  기타 고정식축전기,5,12733,13054,2848
  전자회로용 가변식 축전기,11,26823,26035,4589
  전기고압용 축전기(>=0.5KW),13,92693,92565,7241
  축전기 부품,12,125208,124052,6707
  탄소피막형 고정저항기,9,49274,49247,3722
  칩형 고정저항기,7,97205,95945,5496
  기타 고정저항기,5,6934,6989,222
  탄소 가변저항기,2,...,...,...
  서미스터,5,23452,22910,2951
  바리스터,5,54705,54604,2732
  기타 가변저항기,5,30753,31362,1565
  저항기 부품,7,13748,13571,830
  마그네틱 스트라이프를 자장한 카드,22,108891,106988,5088
  스마트 카드,18,95518,95563,4007
  전자부품용 변성기,56,706611,708598,19587
  전자유도 코일 및 쵸크,33,176188,173722,10784
  기타 전자유도자,20,46956,47433,3795
  전자코일 및 인덕터의 부품,20,75384,74662,4471
  그래픽 카드,4,29602,29477,355
  멀티미디어카드,4,13855,13531,1106
  컴퓨터용 모뎀카드(PC용),6,30466,29856,2175
  기타 전자접속 카드,6,12943,12248,968
  리드프레임,27,813551,807924,27435
  표시기,55,246256,238457,13308
  센서,115,708769,710074,25704
  포토마스크,9,445177,444988,2262
  편향코일,6,35286,35776,2500
  전자총,5,24824,24170,759
  새도우마스크,2,...,...,...
  기타 전자 부품,67,171732,169396,9454
  중대형 컴퓨터,12,66217,65617,2082
  데스크탑 PC,17,485613,487085,11772
  노트북,7,351475,357533,8052
  PDA(휴대용 정보단말기),9,19529,19086,713
  기타 휴대용 컴퓨터,4,61981,62661,2044
  기타 컴퓨터,16,58182,57667,1980
  하드디스크 드라이브,1,...,...,...
  광디스크 드라이브,3,39955,40013,6
  DVD 드라이브,2,...,...,...
  휴대용 저장장치,26,408858,400066,16922
  기타 기억장치,4,8311,8199,420
  자기헤드(컴퓨터용),4,90968,98208,1690
  기억장치 부품,12,97533,98300,2329
  음극선관 모니터(컴퓨터용),7,24900,28413,1040
  액정 모니터( 컴퓨터용),52,1009614,1004344,38687
  임팩트 프린터(충격식),18,84406,84216,1755
  레이저 프린터,13,559383,561009,880
  잉크젯 프린터,8,195793,195770,2246
  기타 비충격식 프린터,10,53157,52640,777
  컴퓨터 프린터 부품,25,202587,201693,8831
  키보드,7,23010,23237,1732
  마우스,3,7366,7244,274
  스캐너류,7,15820,15862,1591
  기타 입력장치,52,193919,191995,12579
  기타 출력장치(컴퓨터용),4,1386,1351,142
  컴퓨터 단말기,21,63411,63847,1836
  주기판,4,11449,11449,0
  PC 카메라,3,5153,5121,335
  컴퓨터 케이스,12,131453,132156,1941
  기타 컴퓨터용 보드,2,...,...,...
  기타 컴퓨터 주변기기,14,92289,90588,5526
  컴퓨터주변기기 전용부품(기억장치부품제외),81,669648,669373,13819
  일반 전화기,12,45629,44741,4000
  코드없는 전화기세트,9,90186,91677,1597
  영상 전화기,6,35341,34556,2982
  기타 유선전화기,15,142964,142948,2795
  기간통신사업용 교환기,9,87298,87483,2405
  사설 교환기,9,110615,110175,3428
  기타 유선 교환기,2,...,...,...
  반송장치(아날로그식),10,68797,73612,2538
  반송장치(디지털),18,214353,214003,4257
  아날로그 다중화장치,1,...,...,...
  디지털 다중화장치,13,100844,100266,5180
  신호변환기,38,315524,313755,15995
"  광전송 장비(다중계기, 분배기)",62,589324,582412,55735
  중앙통제실 송신용 칩입 및 화재경보 시스템 제조,17,57621,57891,3135
  팩시밀리,3,459200,459171,2794
  라우터 및 게이트웨이,14,36059,36027,2479
  허브 및 네트웍관련 스위치,7,54161,59226,4830
  키폰세트 및 시스템,4,297525,297745,456
