"행정구역별","품목별",2019,2019,2019,2019
"행정구역별","품목별",사업체수 (개),생산액 (백만원),출하액 (백만원),완제품 연말재고액 (백만원)
"전국","광업 및 제조업",72727,1497820852,1494771123,65039737
"전국","광 업(05~08)",395,3105605,3047608,383119
"전국","석탄, 원유 및 천연가스 광업",7,300134,260403,274660
"전국","무연탄(채굴)",4,199654,159933,274650
"전국","원유(채굴한 것)",1,X,X,X
"전국","천연가스(채굴한 것)",2,X,X,X
"전국","금속 광업",4,X,X,X
"전국","철광(채굴 및 정광)",2,X,X,X
"전국","금·은 및 백금 광업",1,X,X,X
"전국","연(납)광 및 아연광(채굴 및 정광)",1,X,X,X
"전국","비금속광물 광업; 연료용 제외",383,2638612,2620455,107048
"전국","석회쇄석(채굴)",63,560031,556550,11569
"전국","고령토(채굴)",3,5838,5700,541
"전국","기타 점토(채굴)",1,X,X,X
"전국","화강암 원석(파쇄되지 않은 것)",28,157948,158177,5059
"전국","석회석 원석(파쇄되지 않은 것)",7,44257,44129,3137
"전국","건설용 쇄석(석회쇄석 제외)",174,1372249,1366030,43319
"전국","건설용 천연모래",60,240330,234574,14869
"전국","천연 자갈",14,68338,66966,2997
"전국","공업용 천연모래",9,104139,104331,6441
"전국","납석(채굴)",4,14315,14200,11087
"전국","기타 화학 및 비료 원료용 광물(채굴)",1,X,X,X
"전국","천일염(채취한 것)",10,23569,22958,3482
"전국","규석(채굴)",3,17372,17135,985
"전국","장석(채굴)",2,X,X,X
"전국","기타 비금속광물",4,13596,13003,2892
"전국","광업 지원 서비스업",1,X,X,X
"전국","기타 광업 지원 서비스",1,X,X,X
"전국","제 조 업(10~34)",72332,1494715247,1491723515,64656618
"전국","식료품 제조업",7652,82207002,81991225,2752250
"전국","쇠고기(도축)",47,584249,581160,19197
"전국","돼지고기(도축)",77,1524999,1526958,54465
"전국","기타 도축고기",1,X,X,X
"전국","원피",2,X,X,X
"전국","육류 도축고기 부산물",24,122963,121711,2510
"전국","닭고기",64,2636825,2616477,96125
"전국","오리고기",12,297727,292541,11743
"전국","기타 가금고기 부산물",7,41290,41145,757
"전국","가금류 소시지, 통조림 및 병조림",3,8898,8838,395
"전국","가금류 포장육",215,1399233,1394263,46152
"전국","기타 가금류 가공품",88,619673,615027,38227
"전국","육지동물 포장육",292,5014886,5000074,199142
"전국","육지동물 통조림 및 병조림",11,51561,51342,1239
"전국","베이컨",10,86948,88495,995
"전국","햄(가축)",32,830214,819591,84180
"전국","소시지(축육)",35,386166,385198,10755
"전국","기타 육지동물 소시지 유사제품",55,282349,282038,10034
"전국","기타 고기가공품",149,1519004,1507149,44742
"전국","어묵 및 유사가공품",72,652054,651641,12512
"전국","어육 소시지 및 어묵햄",11,383860,383193,7407
"전국","조미오징어",40,292917,289967,19355
"전국","조미쥐치포",9,32275,32058,1555
"전국","기타 조미조제식품 및 어류훈제품",20,71231,72072,9031
"전국","기타 수산동물 조리가공품",21,130722,130151,5046
"전국","참치통조림",8,483101,479884,48139
"전국","골뱅이통조림",5,39990,47941,5230
"전국","굴 통조림",8,17986,19206,2409
"전국","꽁치통조림",6,18273,18548,3059
"전국","조개통조림",1,X,X,X
"전국","기타 수산동물 통조림",16,36249,36898,3319
"전국","명태 건제품",46,184252,185283,12689
"전국","멸치 건제품",63,133617,133660,882
"전국","오징어류 건제품",22,36007,35721,3137
"전국","어류의 채(건조한 것)",20,71870,71404,5012
"전국","기타 소건품",15,22177,22977,1112
"전국","기타 자건품",8,28161,27357,2451
"전국","기타 수산동물 및 부산물 건제품",9,8506,8942,1445
"전국","멸치젓류",10,6275,6297,784
"전국","명란젓 및 창란젓",27,100156,98340,5082
"전국","기타 젓갈류",46,140408,140589,5997
"전국","어류 염장품",39,160660,161370,9515
"전국","냉동 참치",11,282014,277072,23812
"전국","냉동 고등어",43,123999,125065,4709
"전국","동태",22,61517,62997,1872
"전국","기타 어류 및 부산물의 냉동품",60,228436,226363,21846
"전국","갑각류 냉동품",21,79598,77853,7700
"전국","연체동물 냉동품",77,344706,341394,21270
"전국","어육(신선 및 냉동한 것, 등뼈 제거)",81,565810,564634,26508
"전국","비식용 어분",4,20875,21164,745
"전국","기타 수산동물 가공품",10,29058,28856,493
"전국","어류 부산물(신선 및 냉동한 것)",9,30749,30016,1848
"전국","김",291,1566494,1555517,60963
"전국","미역",58,160866,157777,9779
"전국","톳",10,32631,30420,10269
"전국","기타 해조류 가공품",52,136320,130003,13561
"전국","김치",250,1346342,1345997,39580
"전국","단무지",69,306374,305799,7269
"전국","기타 과실 및 채소 절임식품",109,282660,285856,10455
"전국","오렌지원액",1,X,X,X
"전국","농축 과실즙",42,262633,262259,16796
"전국","농축 채소즙",32,156777,155165,15681
"전국","과실주스",23,110170,110141,4464
"전국","채소주스",11,39348,41121,1996
"전국","과실 통조림",14,51246,49625,6089
"전국","잼 및 젤리 통조림",26,174435,175788,10237
"전국","냉동 과실",7,34508,34441,2759
"전국","기타 과실가공품",44,122495,122283,10651
"전국","채소 통조림",7,22765,22739,679
"전국","건조 채소",31,90244,89437,6839
"전국","기타 채소가공품",84,415189,413560,12585
"전국","견과 가공품",34,288614,278845,27584
"전국","식용 지방(육지동물의 것)",6,56878,56502,2322
"전국","비식용 지방(육지동물의 것)",3,42268,41587,928
"전국","수산동물 조유(원유)",4,49312,48795,4161
"전국","동물성 지방 부산물",16,172208,172199,7704
"전국","참기름",36,171613,173174,14802
"전국","들기름",26,30198,29799,1303
"전국","옥수수 원유(압착한 것)",3,14055,14526,2609
"전국","채종유(유채유)",3,23167,22793,1768
"전국","기타 식물성 원유(압착한 것)",10,38999,39803,2135
"전국","대두박",5,386703,394226,975
"전국","기타 식물성 유박",2,X,X,X
"전국","콩기름(대두유)",13,697664,697238,17033
"전국","옥수수기름",7,83948,83896,3223
"전국","올리브유",4,176484,178093,3248
"전국","마아가린",2,X,X,X
"전국","쇼트닝",3,99991,99255,3799
"전국","기타 식물성 정제유 및 가공유",19,247343,248003,8998
"전국","시유",40,2774237,2775128,29051
"전국","연유",6,38529,38839,2874
"전국","조제분유(우유기저)",7,335202,333707,20292
"전국","분유",15,153169,152053,9926
"전국","발효유",50,1569917,1568723,16554
"전국","버터",5,35419,35105,2093
"전국","치즈",36,754836,753251,29354
"전국","기타 낙농제품",23,280071,278103,14057
"전국","아이스크림",38,1029607,1025003,36191
"전국","빙과",12,268349,266936,6941
"전국","쌀(도정한 것)",95,1999350,1996979,21161
"전국","보리쌀(도정한 것)",8,40401,40503,819
"전국","기타 도정 곡물",11,65244,65637,1917
"전국","도정 부산물",10,72489,70667,2866
"전국","밀가루",21,1163070,1170016,27832
"전국","콩가루",7,4615,4620,181
"전국","옥수수가루",8,75006,74911,1131
"전국","기타 곡물가루",61,166395,165069,7307
"전국","소맥피",2,X,X,X
"전국","제분 부산물",2,X,X,X
"전국","곡물 혼합 분말 및 반죽",105,883208,881493,21911
"전국","선식류",23,206093,203711,18669
"전국","앙금류",14,115912,115195,4965
"전국","씨리얼식품",11,244011,242768,8273
"전국","기타 곡물조제식품",63,139632,137966,4490
"전국","고구마전분",9,25402,24611,2345
"전국","옥수수전분",10,257578,258615,10569
"전국","기타 전분제품",13,190921,191855,3263
"전국","포도당",6,67199,67605,2347
"전국","물엿",21,359751,359453,7718
"전국","과당",14,252700,252492,6334
"전국","기타 당류",9,80645,80531,2337
"전국","떡(제조도매)",141,421073,419552,10834
"전국","떡(제조소매)",23,55398,55453,780
"전국","식빵(제조도매)",34,835523,835086,14162
"전국","도넛(제조도매)",15,163389,163428,1468
"전국","피자(제조도매)",4,12497,12736,211
"전국","기타 빵류(제조도매)",212,1508802,1507427,11598
"전국","케이크(제조도매)",73,800950,800707,10373
"전국","코코아 분말",6,17391,17315,740
"전국","초콜릿류",52,769953,768661,16632
"전국","캔디류",61,377517,374600,16409
"전국","껌",5,206275,206462,1321
"전국","미과",36,131882,130988,6394
"전국","스낵류",45,1104985,1103758,21888
"전국","건과자류",73,597213,596557,10640
"전국","기타 곡분과자",33,126904,125411,7108
"전국","원당",1,X,X,X
"전국","정제당",9,1095007,1090859,32009
"전국","국수",68,307048,306377,10408
"전국","당면",10,60397,59818,7035
"전국","냉면",41,235461,235778,3955
"전국","기타 유사국수",18,45668,45034,1864
"전국","라면",19,2342990,2342479,18916
"전국","기타 인스턴트면류",10,66243,66000,1204
"전국","기타 화학조미료",10,160403,161436,5492
"전국","식초",14,142475,143688,4571
"전국","맛소금",2,X,X,X
"전국","고추가루",55,311353,309333,13916
"전국","후추가루",16,53675,54942,1072
"전국","혼합 조미료",87,1151394,1149116,47366
"전국","기타 천연조미료",51,168253,169018,9970
"전국","마요네즈",7,241202,241813,5060
"전국","케찹",8,96696,95941,2951
"전국","카레",3,79408,78934,2742
"전국","기타 혼합조제조미료",187,1467554,1462925,54984
"전국","간장",45,385888,384434,18520
"전국","된장",59,190287,189268,7764
"전국","고추장",55,350263,351238,7910
"전국","춘장",8,36224,36090,699
"전국","메주",16,9132,9095,238
"전국","혼합장",15,34200,34097,752
"전국","기타 장류",48,88039,87851,2321
"전국","커피 크리머",13,133175,131748,7396
"전국","효모",13,34130,34044,947
"전국","가라기난",2,X,X,X
"전국","식품용 색소",13,94718,92415,11288
"전국","기타 식품첨가물",63,420563,414916,25743
"전국","김밥(제조도매)",21,448926,443896,9695
"전국","도시락(제조도매)",164,955158,954971,3245
"전국","냉동만두",47,794294,787559,39717
"전국","기타 냉동조리식품",145,1723884,1727260,69697
"전국","레토르트 식품",66,1134764,1127718,48505
"전국","기타 식사용 조리식품(제조도매)",95,617623,617111,11183
"전국","원두커피",56,401104,400084,11994
"전국","인스턴트 커피",19,621900,612092,53442
"전국","커피믹스",14,596978,602040,17834
"전국","녹차",29,117406,118543,6799
"전국","홍차",12,20589,20350,856
"전국","치커리차, 보리차 및 옥수수차",23,202863,201840,17384
"전국","율무차",13,40309,40670,1541
"전국","유자차",26,196221,192657,19881
"전국","꿀차",5,11850,11810,472
"전국","기타 가공차",72,207136,208244,10349
"전국","조제수프",16,66886,67049,1427
"전국","이유식(우유기저 제외)",15,123418,123093,1692
"전국","음료 베이스",14,375256,372885,7693
"전국","두부",100,520082,519254,5739
"전국","유부",10,67266,67363,394
"전국","기타 묵 및 유사제품",28,65562,65879,1421
"전국","백삼",2,X,X,X
"전국","홍삼",32,310021,306928,106319
"전국","인삼분말",11,48425,46885,5216
"전국","인삼즙",40,285257,289295,29081
"전국","인삼차",15,71939,72637,6530
"전국","인삼과자",14,196636,199265,4130
"전국","기타 인삼기저 식품",11,17095,17517,2548
"전국","건강원제품",12,79235,78607,2158
"전국","기타 건강보조용 액화식품",39,142177,139234,12192
