품목별,출하금액(백만원)
광업 및 제조업,1521125882
광 업(05~08),3203020
"석탄, 원유 및 천연가스 광업",331651
무연탄(채굴),207286
원유(채굴한 것),X
천연가스(채굴한 것),X
금속 광업,X
철광(채굴 및 정광),X
금·은 및 백금 광업,X
연(납)광 및 아연광(채굴 및 정광),X
비금속광물 광업; 연료용 제외,2713294
석회쇄석(채굴),541352
고령토(채굴),21663
기타 점토(채굴),X
화강암 원석(파쇄되지 않은 것),99570
석회석 원석(파쇄되지 않은 것),38623
건설용 쇄석(석회쇄석 제외),1470410
건설용 천연모래,287434
천연 자갈,60156
공업용 천연모래,100502
납석(채굴),14481
기타 화학 및 비료 원료용 광물(채굴),X
천일염(채취한 것),20063
규석(채굴),23802
장석(채굴),X
기타 비금속광물,11226
광업 지원 서비스업,X
기타 광업 지원 서비스,X
제 조 업(10~34),1517922862
식료품 제조업,77953427
쇠고기(도축),587184
돼지고기(도축),1473698
기타 도축고기,X
원피,X
육류 도축고기 부산물,143536
닭고기,2580640
오리고기,311249
기타 가금류고기,X
기타 가금고기 부산물,85514
"가금류 소시지, 통조림 및 병조림",7868
가금류 포장육,1541252
기타 가금류 가공품,542337
육지동물 포장육,4550823
육지동물 통조림 및 병조림,38892
베이컨,65315
햄(가축),756168
소시지(축육),369801
기타 육지동물 소시지 유사제품,305675
기타 고기가공품,1361988
어묵 및 유사가공품,595492
어육 소시지 및 어묵햄,340997
조미오징어,299937
조미쥐치포,35175
기타 조미조제식품 및 어류훈제품,73575
기타 수산동물 조리가공품,111227
참치통조림,458468
골뱅이통조림,53855
굴 통조림,11545
꽁치통조림,16167
기타 수산동물 통조림,41083
명태 건제품,165957
멸치 건제품,132720
오징어류 건제품,27249
어류의 채(건조한 것),64322
기타 소건품,16029
기타 자건품,21637
기타 수산동물 및 부산물 건제품,10647
멸치젓류,7100
명란젓 및 창란젓,107319
기타 젓갈류,141450
어류 염장품,149885
냉동 참치,260063
냉동 고등어,108534
동태,75333
기타 어류 및 부산물의 냉동품,218072
갑각류 냉동품,79485
연체동물 냉동품,298529
"어육(신선 및 냉동한 것, 등뼈 제거)",524783
비식용 어분,20960
기타 수산동물 가공품,39147
어류 부산물(신선 및 냉동한 것),28412
김,1503624
미역,158858
톳,30116
기타 해조류 가공품,126361
김치,1338935
단무지,302181
기타 과실 및 채소 절임식품,270877
오렌지원액,X
농축 과실즙,187244
농축 채소즙,182392
과실주스,107118
채소주스,62380
과실 통조림,54376
잼 및 젤리 통조림,197813
냉동 과실,38063
기타 과실가공품,103480
채소 통조림,12041
건조 채소,90780
기타 채소가공품,431674
견과 가공품,269340
식용 지방(육지동물의 것),65558
비식용 지방(육지동물의 것),39858
수산동물 조유(원유),24881
동물성 지방 부산물,167089
참기름,195817
들기름,36225
옥수수 원유(압착한 것),25423
채종유(유채유),25517
기타 식물성 원유(압착한 것),45532
대두박,495362
기타 식물성 유박,X
콩기름(대두유),675539
옥수수기름,59973
올리브유,230710
마아가린,51602
쇼트닝,106089
기타 식물성 정제유 및 가공유,193226
시유,2897558
연유,19973
조제분유(우유기저),305346
분유,154062
발효유,1591699
버터,32120
치즈,672504
기타 낙농제품,262778
아이스크림,732822
빙과,576714
쌀(도정한 것),1876923
보리쌀(도정한 것),36204
기타 도정 곡물,45315
도정 부산물,90845
밀가루,996200
콩가루,2417
옥수수가루,78379
기타 곡물가루,149341
소맥피,29842
제분 부산물,33987
곡물 혼합 분말 및 반죽,857359
선식류,139468
앙금류,109765
씨리얼식품,238858
기타 곡물조제식품,114447
고구마전분,13911
옥수수전분,283928
소맥전분,X
기타 전분제품,34396
포도당,44400
물엿,451751
과당,295344
기타 당류,88320
떡(제조도매),386174
떡(제조소매),50245
식빵(제조도매),661615
도넛(제조도매),128613
피자(제조도매),15095
기타 빵류(제조도매),1021977
케이크(제조도매),822174
코코아 분말,50313
초콜릿류,767759
캔디류,362369
껌,185808
미과,83528
스낵류,1168839
건과자류,725302
기타 곡분과자,123795
원당,X
정제당,1098584
국수,308830
당면,57668
냉면,205041
기타 유사국수,56762
라면,2054333
기타 인스턴트면류,54001
글루타민소다,X
기타 화학조미료,127059
식초,240968
맛소금,X
고추가루,268070
후추가루,49636
혼합 조미료,1470043
기타 천연조미료,215873
마요네즈,363473
케찹,83640
카레,51108
기타 혼합조제조미료,1109157
간장,377969
된장,205054
고추장,404235
춘장,18512
메주,9733
혼합장,27103
기타 장류,78646
커피 크리머,132261
효모,36820
가라기난,X
식품용 색소,89863
기타 식품첨가물,431464
김밥(제조도매),351005
도시락(제조도매),958936
냉동만두,741279
기타 냉동조리식품,1565318
레토르트 식품,923943
기타 식사용 조리식품(제조도매),505938
원두커피,404201
인스턴트 커피,356779
커피믹스,358809
녹차,131258
홍차,30425
"치커리차, 보리차 및 옥수수차",205642
율무차,40336
유자차,198886
꿀차,13787
기타 가공차,303641
조제수프,100967
이유식(우유기저 제외),102324
음료 베이스,297130
두부,506666
유부,66571
기타 묵 및 유사제품,61852
백삼,1542
홍삼,393551
인삼분말,43539
인삼즙,328371
인삼차,174754
인삼과자,155091
기타 인삼기저 식품,16726
건강원제품,84578
기타 건강보조용 액화식품,86211
스쿠알렌식품,6151
효소식품,254408
정제어유가공식품,21050
알로에식품,72245
기타 건강기능식품,1231005
계란 및 새알 가공품,406181
기타 식품,52224
배합사료(양우용),3160357
배합사료(양돈용),2368704
배합사료(양계용),2029687
배합사료(기타 동물),1002890
배합사료(양어용),203853
애완동물사료,292807
단미사료,119942
사료 첨가제,409570
기타 사료,89944
동물용 조제식품,44336
음료 제조업,11940953
탁주,318732
약주,52998
맥아,X
맥주,2352107
청주,X
"포도주, 샴페인",15679
복분자주,37554
기타 발효주,16968
주정,413210
소주,1833855
위스키,211072
매실주,X
기타 증류주 및 합성주,22074
얼음,93915
생수,863362
콜라,630299
사이다,365767
기타 탄산음료,550893
알카리성 이온음료,125741
식물성 섬유음료,136467
인삼음료,580683
과실음료,817773
채소음료,48583
커피 음료,1009939
두유,398986
기타 비알콜성 음료,963709
담배 제조업,3570472
담배잎(재건조),X
담배,3227144
기타 궐련,X
섬유제품 제조업; 의복 제외,16459226
방적용 면,X
순면사,567836
면혼방사,222706
방적용 모,31263
순소모사,41020
혼방소모사,30231
순방모사,82885
혼방방모사,61910
재생섬유사,111006
순합성섬유사,129655
혼방합성섬유사,412586
재봉사,64608
편물사,88189
커버링사,145539
기타가공사,191291
견사 및 견방사,X
마사 및 기타 식물성 섬유사,X
순면직물,342116
혼방면직물,233332
순소모직물,56067
혼방소모직물,61917
순방모직물,21269
혼방방모직물,25499
비스코스직물,42215
아세테이트직물,23455
순합성섬유직물,1078517
혼방합성섬유직물,1184470
순견직물,35682
혼방견직물,17306
마 및 기타 식물성 직물,7420
파일직물,251566
유리섬유직물,80365
기타 특수직물,121163
이불,431371
담요,28009
타월(직물),184767
침구용 카바,162885
베개 및 유사제품,56132
기타 침구관련제품,23278
자수제품 및 자수용재료,35641
커튼 및 유사제품,433855
텐트,36343
천막 및 덮개(직물),420987
기타 캔버스제품,22874
직물포대,202307
낙하산,X
차량의자 카바,1253482
청소용 포(직물),129858
가정용품 덮개,X
기타 직물제품,436483
견편조물,194097
면편조물,124481
인조섬유편조물,429000
기타 편조물,50481
섬유사 염색,195871
직물 염색,1139931
의복 및 직물제품의 염색,39337
직물원단 날염,303907
의복 및 직물제품의 날염,36682
섬유 호부처리,47250
섬유 기타 가공,22765
카페트,89241
마루덮개 및 유사제품,107771
끈 및 로프(식물성섬유),58183
끈(합성섬유),36626
로프(합성섬유),166551
어망,116178
기타 망,123528
끈가공품,56778
세폭직물,210743
부직포,890668
펠트,181436
부직포 제품,474557
타이어코드 및 타이어직물,338771
고무도포 사,X
기타 특수사,40394
비닐도포직물,103308
고무도포직물,49989
기타도포 및 적층직물,309001
워딩(솜) 제품,401737
편조제품(의복 및 의복액세서리 제외),X
레이스원단 및 망직물(편직된 것),94239
장식용 트리밍,X
직물제 필터,154257
기타 섬유제품,185575
"의복, 의복 액세서리 및 모피제품 제조업",14403307
남자 및 소년용 정장,881895
남자 및 소년용 코트,X
남자 및 소년용 자켓 및 점퍼,870584
남자 및 소년용 바지,65970
여자 및 소녀용 정장,2885662
여자 및 소녀용 코트,268682
여자 및 소녀용 자켓 및 점퍼,1251133
여자 및 소녀용 치마,176192
여자 및 소녀용 바지,76353
남자 및 소년용 속옷,61985
남자 및 소년용 내복 및 잠옷,22468
여자 및 소녀용 속옷,88205
여자용 보정의류,140127
여자 및 소녀용 내복 및 잠옷,10577
한복,14863
남성용 직물셔츠,674884
남성용 니트셔츠(니트원단 구입),58586
여성용 직물 블라우스 및 셔츠,700833
여성용 니트 블라우스 및 셔츠(니트원단 구입),424037
학생용 교복,210550
"사무, 작업 및 위생용 의복",632252
운동복,1649840
남자용 가죽의복,34615
여자용 가죽의복,70955
유아용 의복 및 부속품,767226
기타 봉제의복,75695
천연모피 의복,189369
기타 천연 모피제품,X
남자용 속옷 (편직결합),18449
여자용 속옷 (편직결합),61861
유아용 내의(편직결합),61331
남자용 셔츠(편직결합),203193
여자용 셔츠 및 브라우스(편직결합),275202
남자용 스웨터(편직결합),97500
여자용 스웨터(편직결합),232048
기타 남성용 편조 외의(편직결합),31518
기타 여성용 편조 외의(편직결합),100114
스타킹,67731
양말,214704
장갑(편직결합),243827
기타 편조제품,22005
모자,123300
섬유 장갑,55301
가죽 장갑,17160
넥타이,26010
목도리,X
스카프,75994
벨트(허리띠),14764
손수건,30815
기타 의복악세서리,24143
의류 부분품,82543
"가죽, 가방 및 신발 제조업",4823751
소가죽,905308
돼지가죽,X
면양 또는 산양(염소)의 가죽,X
기타 동물가죽,14318
재생가죽,X
기타 특수가공가죽,37033
천연모피(유연처리 또는 완성가공한 것),X
인조모피,X
핸드백,757413
지갑,207663
서류가방,40155
여행용 가방,27396
학생용 가방,16663
등산용 배낭,20392
기타 가방,41370
케이스(가죽 및 섬유제),206902
산업용 가죽제품,26711
가정용 가죽제품,100613
남자용 구두(단화 포함),383289
여자용 구두(단화 포함),591613
아동용 구두(단화 포함),8595
가죽 장화,17577
고무장화,26779
프라스틱 및 고무제 운동화,X
기타 플라스틱 및 고무제 신발,10916
직물슬리퍼,X
플라스틱 및 고무 슬리퍼,50949
가죽 슬리퍼,X
운동화,394087
가죽 등산화,374257
가죽 샌달,30052
기타 직물갑피제 또는 가죽갑피제 신발,115094
스포츠화,19553
기타 재료제의 신발,X
가죽제 신발부분품,79144
플라스틱 및 고무제 운동화부분품,126364
기타 플라스틱 및 고무제 신발부분품,80067
기타 재료제의 신발부분품,56528
목재 및 나무제품 제조업; 가구 제외,5803519
소각재,54617
각재,533006
판재,108316
제재부산물,43383
마루용 판재,292387
우드몰딩,67242
목모와 목분,28672
칩상 또는 삭편상의 목재,92147
기타 표면가공목재,39064
표면처리 및 방부처리목재,229674
단판,83883
일반 합판,270978
가공합판,485968
파티클보드(PB),181482
MDF(중밀도섬유판),697540
강화마루,125675
재생목재,36427
목제의 창문 및 창문틀,130414
목제의 문 및 문틀,521577
목제 패널,284998
목제의 건물 부착물,134565
목제 깔판류 및 기타 적재용 판,638476
목제통 및 관련 부품,24326
목제의 포장 및 운반용 상자,484250
목제의 케이블드럼,30685
목제도구 및 부품,13077
주방용 또는 식탁용 목제품,29345
목제 그림틀 및 사진틀,7085
기타 장식용 목제품,13618
장의용 목관,13633
기타 목제품,98370
콜크 및 콜크제품,X
대나무 돗자리,4020
기타 조물제품,X
"펄프, 종이 및 종이제품 제조업",23225149
화학펄프,X
기타 펄프,24983
신문용지,693372
백상지,1375205
중질지,198518
인쇄용 박엽지,146379
아트지,1672285
정보용지,491437
지폐용지,X
수제지,13917
기타 인쇄 및 필기용지,53012
크라프트지,198098
골판지원지,2545623
백판지,782016
기타 판지,11762
적층가공지(박지),664101
포장지,369549
접착지,188564
기타 가공지,150656
위생용지,287836
기타위생용지,X
기타 종이 및 판지,97319
골판지,1064827
골판지 상자,4309949
기타 골판지제 관련제품,47262
종이 포대,229794
종이 가방,178232
판지상자 및 용기,692249
식품위생용 종이상자,209652
식품용 종이용기,388901
기타 종이상자 및 용기(판지 및 골판지 이외),380611
지관(판지 및 골판지 이외),307141
전자복사기용지(소매용),61681
노트류,168158
컴퓨터용지,134667
앨범,45624
바인더,60938
사무용 봉투,71343
장부류,9269
기타 문구용 종이제품,81727
화장지,1263019
종이 타월,635535
종이 생리대,210374
종이 기저귀,776405
기타 위생용 종이제품,5805
종이벽지,390148
직물벽지,79776
장판지,X
여과지,256769
종이 라벨,601413
식품용 종이제품(용기 및 상자 제외),279371
기타 종이 및 판지제품,76675
인쇄 및 기록매체 복제업,533699
인쇄판,504370
오디오 복제물,X
기타 기록매체 복제물,X
"코크스, 연탄 및 석유정제품 제조업",119440834
석탄코크스,X
콜타르(조상의 것),182386
연탄,112596
휘발유,17916684
제트유,16999680
등유,3037616
경유,39851844
경질중유(벙커A유),X
중유(벙커B유),357144
벙커C유,7638788
나프타,16070141
솔벤트,1191996
윤활기유,5968830
프로판가스,1295183
부탄가스,2399995
윤활유(석유기저),2563868
그리스(석유기저),107596
재생 윤활유 및 그리스,147291
파라핀,100093
아스팔트,2515024
재생유,496571
기타 석유정제품,345754
화학 물질 및 화학제품 제조업; 의약품 제외,172435217
혼합부탄,205599
에틸렌,4469001
프로필렌,5450970
부타디엔,2067429
기타 비환식 탄화수소,263923
알킬벤젠,X
벤젠,5460181
톨루엔,995411
디니트로톨루엔(DNT),X
파라자일렌(P-X),15697622
올소자일렌,X
스티렌모노머(SM),4848127
자일렌(Xylene),1630290
기타 환식탄화수소,X
이염화에틸렌(EDC),X
염화비닐모노머(VCM),778912
기타 탄화수소 유도체,899377
숯,16006
기타 검 및 나무화합물,89410
콜타르피치,179671
석탄 화학물,169207
부탄올,164116
옥탄올(2-EH),263005
메탄올,X
에틸알콜(공업용),135809
에틸렌글리콜(EG),1508529
프로필렌글리콜(PG),X
폴리프로필렌글리콜(PPG),1167172
페놀,453425
기타 알코올 및 관련 유도체,162504
공업용 지방산,X
초산,300535
초산에틸,X
아크릴산,X
무수마레인산,64641
무수프탈산(PA),307464
테레프탈산(TPA),3851406
메틸메타크릴레이트(MMA),664865
아크릴레이트,569887
기타 카르복실산 및 그 유도체,142748
메틸터셔리부틸에테르(MTBE),267788
아민,104227
아크릴로니트릴(AN),X
톨루엔 디이소시아네이트(TDI),1270933
메틸렌 디페닐 디이소시아네이트((MDI),1564251
카프로락탐(CPLM),X
아세톤,366299
