행정구역별,품목별,항목,단위,2014 년
전  국,사료 첨가제,완제품 연말재고액[백만원],백만원,20773
전  국,배합사료(양어용),사업체수[개],개,10
전  국,배합사료(양어용),생산액[백만원],백만원,160563
전  국,배합사료(양어용),출하금액[백만원],백만원,159611
전  국,배합사료(양어용),완제품 연말재고액[백만원],백만원,3853
전  국,기타 사료,사업체수[개],개,36
전  국,기타 사료,생산액[백만원],백만원,286605
전  국,기타 사료,출하금액[백만원],백만원,284412
전  국,기타 사료,완제품 연말재고액[백만원],백만원,6171
전  국,동물용 조제식품,사업체수[개],개,8
전  국,동물용 조제식품,생산액[백만원],백만원,22240
전  국,동물용 조제식품,출하금액[백만원],백만원,22325
전  국,동물용 조제식품,완제품 연말재고액[백만원],백만원,673
전  국,음료 제조업,사업체수[개],개,442
전  국,음료 제조업,생산액[백만원],백만원,10942130
전  국,음료 제조업,출하금액[백만원],백만원,10946228
전  국,음료 제조업,완제품 연말재고액[백만원],백만원,296554
전  국,탁주,사업체수[개],개,48
전  국,탁주,생산액[백만원],백만원,351927
전  국,탁주,출하금액[백만원],백만원,351362
전  국,탁주,완제품 연말재고액[백만원],백만원,2589
전  국,약주,사업체수[개],개,7
전  국,약주,생산액[백만원],백만원,44154
전  국,약주,출하금액[백만원],백만원,44641
전  국,약주,완제품 연말재고액[백만원],백만원,2311
전  국,청주,사업체수[개],개,6
전  국,청주,생산액[백만원],백만원,60786
전  국,청주,출하금액[백만원],백만원,56113
전  국,청주,완제품 연말재고액[백만원],백만원,8330
전  국,맥주,사업체수[개],개,11
전  국,맥주,생산액[백만원],백만원,2547718
전  국,맥주,출하금액[백만원],백만원,2543932
전  국,맥주,완제품 연말재고액[백만원],백만원,22494
전  국,"포도주, 샴페인",사업체수[개],개,7
전  국,"포도주, 샴페인",생산액[백만원],백만원,11806
전  국,"포도주, 샴페인",출하금액[백만원],백만원,11190
전  국,"포도주, 샴페인",완제품 연말재고액[백만원],백만원,2905
전  국,복분자주,사업체수[개],개,11
전  국,복분자주,생산액[백만원],백만원,37782
전  국,복분자주,출하금액[백만원],백만원,38402
전  국,복분자주,완제품 연말재고액[백만원],백만원,3640
전  국,기타 발효주,사업체수[개],개,3
전  국,기타 발효주,생산액[백만원],백만원,...
전  국,기타 발효주,출하금액[백만원],백만원,...
전  국,기타 발효주,완제품 연말재고액[백만원],백만원,...
전  국,주정,사업체수[개],개,10
전  국,주정,생산액[백만원],백만원,457393
전  국,주정,출하금액[백만원],백만원,462891
전  국,주정,완제품 연말재고액[백만원],백만원,4190
전  국,소주,사업체수[개],개,21
전  국,소주,생산액[백만원],백만원,1705302
전  국,소주,출하금액[백만원],백만원,1698837
전  국,소주,완제품 연말재고액[백만원],백만원,25722
전  국,위스키,사업체수[개],개,4
전  국,위스키,생산액[백만원],백만원,144032
전  국,위스키,출하금액[백만원],백만원,136419
전  국,위스키,완제품 연말재고액[백만원],백만원,23473
전  국,매실주,사업체수[개],개,2
전  국,매실주,생산액[백만원],백만원,...
전  국,매실주,출하금액[백만원],백만원,...
전  국,매실주,완제품 연말재고액[백만원],백만원,...
전  국,기타 증류주 및 합성주,사업체수[개],개,9
전  국,기타 증류주 및 합성주,생산액[백만원],백만원,52402
전  국,기타 증류주 및 합성주,출하금액[백만원],백만원,51723
전  국,기타 증류주 및 합성주,완제품 연말재고액[백만원],백만원,2893
전  국,얼음,사업체수[개],개,29
전  국,얼음,생산액[백만원],백만원,44222
전  국,얼음,출하금액[백만원],백만원,43844
전  국,얼음,완제품 연말재고액[백만원],백만원,2084
전  국,생수,사업체수[개],개,47
전  국,생수,생산액[백만원],백만원,584499
전  국,생수,출하금액[백만원],백만원,583095
전  국,생수,완제품 연말재고액[백만원],백만원,10577
전  국,콜라,사업체수[개],개,5
전  국,콜라,생산액[백만원],백만원,444374
전  국,콜라,출하금액[백만원],백만원,443491
전  국,콜라,완제품 연말재고액[백만원],백만원,13764
전  국,사이다,사업체수[개],개,9
전  국,사이다,생산액[백만원],백만원,587481
전  국,사이다,출하금액[백만원],백만원,590093
전  국,사이다,완제품 연말재고액[백만원],백만원,14651
전  국,기타 탄산음료,사업체수[개],개,14
전  국,기타 탄산음료,생산액[백만원],백만원,380839
전  국,기타 탄산음료,출하금액[백만원],백만원,382268
전  국,기타 탄산음료,완제품 연말재고액[백만원],백만원,13869
전  국,알카리성 이온음료,사업체수[개],개,9
전  국,알카리성 이온음료,생산액[백만원],백만원,211978
전  국,알카리성 이온음료,출하금액[백만원],백만원,213631
전  국,알카리성 이온음료,완제품 연말재고액[백만원],백만원,7680
전  국,식물성 섬유음료,사업체수[개],개,14
전  국,식물성 섬유음료,생산액[백만원],백만원,104207
전  국,식물성 섬유음료,출하금액[백만원],백만원,102821
전  국,식물성 섬유음료,완제품 연말재고액[백만원],백만원,7161
전  국,인삼음료,사업체수[개],개,23
전  국,인삼음료,생산액[백만원],백만원,213519
전  국,인삼음료,출하금액[백만원],백만원,222783
전  국,인삼음료,완제품 연말재고액[백만원],백만원,15678
전  국,과실음료,사업체수[개],개,50
전  국,과실음료,생산액[백만원],백만원,862900
전  국,과실음료,출하금액[백만원],백만원,866804
전  국,과실음료,완제품 연말재고액[백만원],백만원,28742
전  국,채소음료,사업체수[개],개,10
전  국,채소음료,생산액[백만원],백만원,29663
전  국,채소음료,출하금액[백만원],백만원,29525
전  국,채소음료,완제품 연말재고액[백만원],백만원,735
전  국,커피 음료,사업체수[개],개,20
전  국,커피 음료,생산액[백만원],백만원,844078
전  국,커피 음료,출하금액[백만원],백만원,849048
전  국,커피 음료,완제품 연말재고액[백만원],백만원,16934
전  국,두유,사업체수[개],개,15
전  국,두유,생산액[백만원],백만원,364598
전  국,두유,출하금액[백만원],백만원,366810
전  국,두유,완제품 연말재고액[백만원],백만원,15648
전  국,기타 비알콜성 음료,사업체수[개],개,58
전  국,기타 비알콜성 음료,생산액[백만원],백만원,831287
전  국,기타 비알콜성 음료,출하금액[백만원],백만원,831229
전  국,기타 비알콜성 음료,완제품 연말재고액[백만원],백만원,47860
전  국,담배 제조업,사업체수[개],개,11
전  국,담배 제조업,생산액[백만원],백만원,3528956
전  국,담배 제조업,출하금액[백만원],백만원,3415071
전  국,담배 제조업,완제품 연말재고액[백만원],백만원,553406
전  국,담배잎(재건조),사업체수[개],개,2
전  국,담배잎(재건조),생산액[백만원],백만원,...
전  국,담배잎(재건조),출하금액[백만원],백만원,...
전  국,담배잎(재건조),완제품 연말재고액[백만원],백만원,...
전  국,담배,사업체수[개],개,6
전  국,담배,생산액[백만원],백만원,3206917
전  국,담배,출하금액[백만원],백만원,3220328
전  국,담배,완제품 연말재고액[백만원],백만원,78730
전  국,기타 궐련,사업체수[개],개,3
전  국,기타 궐련,생산액[백만원],백만원,...
전  국,기타 궐련,출하금액[백만원],백만원,...
전  국,기타 궐련,완제품 연말재고액[백만원],백만원,...
전  국,섬유제품 제조업; 의복제외,사업체수[개],개,2414
전  국,섬유제품 제조업; 의복제외,생산액[백만원],백만원,18090467
전  국,섬유제품 제조업; 의복제외,출하금액[백만원],백만원,18020436
전  국,섬유제품 제조업; 의복제외,완제품 연말재고액[백만원],백만원,1220510
전  국,방적용 면,사업체수[개],개,3
전  국,방적용 면,생산액[백만원],백만원,53335
전  국,방적용 면,출하금액[백만원],백만원,55531
전  국,방적용 면,완제품 연말재고액[백만원],백만원,2472
전  국,순면사,사업체수[개],개,28
전  국,순면사,생산액[백만원],백만원,662731
전  국,순면사,출하금액[백만원],백만원,652506
전  국,순면사,완제품 연말재고액[백만원],백만원,46746
전  국,면혼방사,사업체수[개],개,15
전  국,면혼방사,생산액[백만원],백만원,179548
전  국,면혼방사,출하금액[백만원],백만원,180677
전  국,면혼방사,완제품 연말재고액[백만원],백만원,25119
전  국,방적용 모,사업체수[개],개,5
전  국,방적용 모,생산액[백만원],백만원,100407
전  국,방적용 모,출하금액[백만원],백만원,99989
전  국,방적용 모,완제품 연말재고액[백만원],백만원,6018
전  국,순소모사,사업체수[개],개,10
전  국,순소모사,생산액[백만원],백만원,42443
전  국,순소모사,출하금액[백만원],백만원,42779
전  국,순소모사,완제품 연말재고액[백만원],백만원,9840
전  국,혼방소모사,사업체수[개],개,12
전  국,혼방소모사,생산액[백만원],백만원,53565
전  국,혼방소모사,출하금액[백만원],백만원,53222
전  국,혼방소모사,완제품 연말재고액[백만원],백만원,11573
전  국,순방모사,사업체수[개],개,10
전  국,순방모사,생산액[백만원],백만원,76900
전  국,순방모사,출하금액[백만원],백만원,76156
전  국,순방모사,완제품 연말재고액[백만원],백만원,15351
전  국,혼방방모사,사업체수[개],개,13
전  국,혼방방모사,생산액[백만원],백만원,74027
전  국,혼방방모사,출하금액[백만원],백만원,72845
전  국,혼방방모사,완제품 연말재고액[백만원],백만원,13530
전  국,재생섬유사,사업체수[개],개,12
전  국,재생섬유사,생산액[백만원],백만원,114191
전  국,재생섬유사,출하금액[백만원],백만원,111500
전  국,재생섬유사,완제품 연말재고액[백만원],백만원,14588
전  국,순합성섬유사,사업체수[개],개,18
전  국,순합성섬유사,생산액[백만원],백만원,195073
전  국,순합성섬유사,출하금액[백만원],백만원,196210
전  국,순합성섬유사,완제품 연말재고액[백만원],백만원,11707
전  국,혼방합성섬유사,사업체수[개],개,44
전  국,혼방합성섬유사,생산액[백만원],백만원,345513
전  국,혼방합성섬유사,출하금액[백만원],백만원,342998
전  국,혼방합성섬유사,완제품 연말재고액[백만원],백만원,23351
전  국,재봉사,사업체수[개],개,25
전  국,재봉사,생산액[백만원],백만원,121151
전  국,재봉사,출하금액[백만원],백만원,120021
전  국,재봉사,완제품 연말재고액[백만원],백만원,10189
전  국,편물사,사업체수[개],개,16
전  국,편물사,생산액[백만원],백만원,81142
전  국,편물사,출하금액[백만원],백만원,80048
전  국,편물사,완제품 연말재고액[백만원],백만원,4360
전  국,커버링사,사업체수[개],개,42
전  국,커버링사,생산액[백만원],백만원,272058
전  국,커버링사,출하금액[백만원],백만원,268693
전  국,커버링사,완제품 연말재고액[백만원],백만원,15543
전  국,기타가공사,사업체수[개],개,36
전  국,기타가공사,생산액[백만원],백만원,259089
전  국,기타가공사,출하금액[백만원],백만원,253795
전  국,기타가공사,완제품 연말재고액[백만원],백만원,23938
전  국,견사 및 견방사,사업체수[개],개,1
전  국,견사 및 견방사,생산액[백만원],백만원,...
전  국,견사 및 견방사,출하금액[백만원],백만원,...
전  국,견사 및 견방사,완제품 연말재고액[백만원],백만원,...
전  국,마사 및 기타 식물성 섬유사,사업체수[개],개,1
전  국,마사 및 기타 식물성 섬유사,생산액[백만원],백만원,...
전  국,마사 및 기타 식물성 섬유사,출하금액[백만원],백만원,...
전  국,마사 및 기타 식물성 섬유사,완제품 연말재고액[백만원],백만원,...
전  국,순면직물,사업체수[개],개,40
전  국,순면직물,생산액[백만원],백만원,249638
전  국,순면직물,출하금액[백만원],백만원,251283
전  국,순면직물,완제품 연말재고액[백만원],백만원,15956
전  국,혼방면직물,사업체수[개],개,30
전  국,혼방면직물,생산액[백만원],백만원,232461
전  국,혼방면직물,출하금액[백만원],백만원,229965
전  국,혼방면직물,완제품 연말재고액[백만원],백만원,21221
전  국,순소모직물,사업체수[개],개,8
전  국,순소모직물,생산액[백만원],백만원,42074
전  국,순소모직물,출하금액[백만원],백만원,42782
전  국,순소모직물,완제품 연말재고액[백만원],백만원,4703
전  국,혼방소모직물,사업체수[개],개,8
전  국,혼방소모직물,생산액[백만원],백만원,86565
전  국,혼방소모직물,출하금액[백만원],백만원,92709
전  국,혼방소모직물,완제품 연말재고액[백만원],백만원,7219
전  국,순방모직물,사업체수[개],개,7
전  국,순방모직물,생산액[백만원],백만원,21443
전  국,순방모직물,출하금액[백만원],백만원,21912
전  국,순방모직물,완제품 연말재고액[백만원],백만원,1609
전  국,혼방방모직물,사업체수[개],개,6
전  국,혼방방모직물,생산액[백만원],백만원,53842
전  국,혼방방모직물,출하금액[백만원],백만원,53714
전  국,혼방방모직물,완제품 연말재고액[백만원],백만원,3466
전  국,비스코스직물,사업체수[개],개,12
전  국,비스코스직물,생산액[백만원],백만원,85818
전  국,비스코스직물,출하금액[백만원],백만원,83555
전  국,비스코스직물,완제품 연말재고액[백만원],백만원,11746
전  국,아세테이트직물,사업체수[개],개,9
전  국,아세테이트직물,생산액[백만원],백만원,58448
전  국,아세테이트직물,출하금액[백만원],백만원,60515
전  국,아세테이트직물,완제품 연말재고액[백만원],백만원,7164
전  국,순합성섬유직물,사업체수[개],개,141
전  국,순합성섬유직물,생산액[백만원],백만원,1295606
전  국,순합성섬유직물,출하금액[백만원],백만원,1282322
전  국,순합성섬유직물,완제품 연말재고액[백만원],백만원,130127
전  국,혼방합성섬유직물,사업체수[개],개,182
전  국,혼방합성섬유직물,생산액[백만원],백만원,1316268
전  국,혼방합성섬유직물,출하금액[백만원],백만원,1315043
전  국,혼방합성섬유직물,완제품 연말재고액[백만원],백만원,119634
전  국,순견직물,사업체수[개],개,17
전  국,순견직물,생산액[백만원],백만원,33095
전  국,순견직물,출하금액[백만원],백만원,33452
전  국,순견직물,완제품 연말재고액[백만원],백만원,4144
전  국,혼방견직물,사업체수[개],개,5
전  국,혼방견직물,생산액[백만원],백만원,9536
전  국,혼방견직물,출하금액[백만원],백만원,9987
전  국,혼방견직물,완제품 연말재고액[백만원],백만원,1108
전  국,마 및 기타 식물성 직물,사업체수[개],개,5
전  국,마 및 기타 식물성 직물,생산액[백만원],백만원,4426
전  국,마 및 기타 식물성 직물,출하금액[백만원],백만원,4422
전  국,마 및 기타 식물성 직물,완제품 연말재고액[백만원],백만원,316
전  국,파일직물,사업체수[개],개,15
전  국,파일직물,생산액[백만원],백만원,192304
전  국,파일직물,출하금액[백만원],백만원,195827
전  국,파일직물,완제품 연말재고액[백만원],백만원,11879
전  국,유리섬유직물,사업체수[개],개,11
전  국,유리섬유직물,생산액[백만원],백만원,134839
전  국,유리섬유직물,출하금액[백만원],백만원,133401
전  국,유리섬유직물,완제품 연말재고액[백만원],백만원,8050
전  국,기타 특수직물,사업체수[개],개,18
전  국,기타 특수직물,생산액[백만원],백만원,121303
전  국,기타 특수직물,출하금액[백만원],백만원,119767
전  국,기타 특수직물,완제품 연말재고액[백만원],백만원,8502
전  국,이불,사업체수[개],개,96
전  국,이불,생산액[백만원],백만원,425012
전  국,이불,출하금액[백만원],백만원,414387
전  국,이불,완제품 연말재고액[백만원],백만원,49807
전  국,담요,사업체수[개],개,7
전  국,담요,생산액[백만원],백만원,67629
전  국,담요,출하금액[백만원],백만원,65416
전  국,담요,완제품 연말재고액[백만원],백만원,5579
전  국,타월(직물),사업체수[개],개,28
전  국,타월(직물),생산액[백만원],백만원,172999
전  국,타월(직물),출하금액[백만원],백만원,173598
전  국,타월(직물),완제품 연말재고액[백만원],백만원,15816
전  국,침구용 카바,사업체수[개],개,30
전  국,침구용 카바,생산액[백만원],백만원,124429
전  국,침구용 카바,출하금액[백만원],백만원,122339
전  국,침구용 카바,완제품 연말재고액[백만원],백만원,10331
전  국,베개 및 유사제품,사업체수[개],개,19
전  국,베개 및 유사제품,생산액[백만원],백만원,35328
전  국,베개 및 유사제품,출하금액[백만원],백만원,35135
전  국,베개 및 유사제품,완제품 연말재고액[백만원],백만원,2665
전  국,기타 침구관련제품,사업체수[개],개,16
전  국,기타 침구관련제품,생산액[백만원],백만원,37611
전  국,기타 침구관련제품,출하금액[백만원],백만원,36905
전  국,기타 침구관련제품,완제품 연말재고액[백만원],백만원,2787
전  국,자수제품 및 자수용재료,사업체수[개],개,37
전  국,자수제품 및 자수용재료,생산액[백만원],백만원,68709
전  국,자수제품 및 자수용재료,출하금액[백만원],백만원,68567
전  국,자수제품 및 자수용재료,완제품 연말재고액[백만원],백만원,3241
전  국,커튼 및 유사제품,사업체수[개],개,72
전  국,커튼 및 유사제품,생산액[백만원],백만원,283245
전  국,커튼 및 유사제품,출하금액[백만원],백만원,281096
전  국,커튼 및 유사제품,완제품 연말재고액[백만원],백만원,27674
전  국,텐트,사업체수[개],개,8
전  국,텐트,생산액[백만원],백만원,32558
전  국,텐트,출하금액[백만원],백만원,32808
전  국,텐트,완제품 연말재고액[백만원],백만원,734
전  국,천막 및 덮개(직물),사업체수[개],개,63
전  국,천막 및 덮개(직물),생산액[백만원],백만원,496399
전  국,천막 및 덮개(직물),출하금액[백만원],백만원,497333
전  국,천막 및 덮개(직물),완제품 연말재고액[백만원],백만원,23442
전  국,기타 캔버스제품,사업체수[개],개,11
전  국,기타 캔버스제품,생산액[백만원],백만원,34962
전  국,기타 캔버스제품,출하금액[백만원],백만원,34839
전  국,기타 캔버스제품,완제품 연말재고액[백만원],백만원,445
전  국,직물포대,사업체수[개],개,36
전  국,직물포대,생산액[백만원],백만원,258222
전  국,직물포대,출하금액[백만원],백만원,254921
전  국,직물포대,완제품 연말재고액[백만원],백만원,12937
전  국,낙하산,사업체수[개],개,1
전  국,낙하산,생산액[백만원],백만원,...
전  국,낙하산,출하금액[백만원],백만원,...
전  국,낙하산,완제품 연말재고액[백만원],백만원,...
전  국,차량의자 카바,사업체수[개],개,81
전  국,차량의자 카바,생산액[백만원],백만원,1147658
전  국,차량의자 카바,출하금액[백만원],백만원,1139093
전  국,차량의자 카바,완제품 연말재고액[백만원],백만원,33050
전  국,청소용 포(직물),사업체수[개],개,26
전  국,청소용 포(직물),생산액[백만원],백만원,120729
전  국,청소용 포(직물),출하금액[백만원],백만원,119761
전  국,청소용 포(직물),완제품 연말재고액[백만원],백만원,4633
전  국,가정용품 덮개,사업체수[개],개,2
전  국,가정용품 덮개,생산액[백만원],백만원,...
전  국,가정용품 덮개,출하금액[백만원],백만원,...
전  국,가정용품 덮개,완제품 연말재고액[백만원],백만원,...
전  국,기타 직물제품,사업체수[개],개,60
전  국,기타 직물제품,생산액[백만원],백만원,285715
전  국,기타 직물제품,출하금액[백만원],백만원,284204
전  국,기타 직물제품,완제품 연말재고액[백만원],백만원,10730
전  국,견편조물,사업체수[개],개,19
전  국,견편조물,생산액[백만원],백만원,152564
전  국,견편조물,출하금액[백만원],백만원,151319
전  국,견편조물,완제품 연말재고액[백만원],백만원,9546
전  국,면편조물,사업체수[개],개,25
전  국,면편조물,생산액[백만원],백만원,143129
전  국,면편조물,출하금액[백만원],백만원,140818
전  국,면편조물,완제품 연말재고액[백만원],백만원,11479
전  국,인조섬유편조물,사업체수[개],개,68
전  국,인조섬유편조물,생산액[백만원],백만원,511389
전  국,인조섬유편조물,출하금액[백만원],백만원,510621
전  국,인조섬유편조물,완제품 연말재고액[백만원],백만원,25398
전  국,기타 편조물,사업체수[개],개,9
전  국,기타 편조물,생산액[백만원],백만원,51309
전  국,기타 편조물,출하금액[백만원],백만원,50604
전  국,기타 편조물,완제품 연말재고액[백만원],백만원,3860
전  국,편조제품(의복 및 의복액세서리 제외),사업체수[개],개,4
전  국,편조제품(의복 및 의복액세서리 제외),생산액[백만원],백만원,11458
전  국,편조제품(의복 및 의복액세서리 제외),출하금액[백만원],백만원,11525
전  국,편조제품(의복 및 의복액세서리 제외),완제품 연말재고액[백만원],백만원,195
전  국,섬유사 염색,사업체수[개],개,43
전  국,섬유사 염색,생산액[백만원],백만원,242885
전  국,섬유사 염색,출하금액[백만원],백만원,243537
전  국,섬유사 염색,완제품 연말재고액[백만원],백만원,13346
전  국,직물 염색,사업체수[개],개,152
전  국,직물 염색,생산액[백만원],백만원,1322281
전  국,직물 염색,출하금액[백만원],백만원,1316691
전  국,직물 염색,완제품 연말재고액[백만원],백만원,60122
전  국,직물원단 날염,사업체수[개],개,57
전  국,직물원단 날염,생산액[백만원],백만원,360010
전  국,직물원단 날염,출하금액[백만원],백만원,361946
전  국,직물원단 날염,완제품 연말재고액[백만원],백만원,10995
전  국,의복 및 직물제품의 날염,사업체수[개],개,10
전  국,의복 및 직물제품의 날염,생산액[백만원],백만원,51534
전  국,의복 및 직물제품의 날염,출하금액[백만원],백만원,52051
전  국,의복 및 직물제품의 날염,완제품 연말재고액[백만원],백만원,142
전  국,섬유 호부처리,사업체수[개],개,14
전  국,섬유 호부처리,생산액[백만원],백만원,48461
전  국,섬유 호부처리,출하금액[백만원],백만원,48696
전  국,섬유 호부처리,완제품 연말재고액[백만원],백만원,1283
전  국,의복 및 직물제품의 염색가공,사업체수[개],개,8
전  국,의복 및 직물제품의 염색가공,생산액[백만원],백만원,35162
전  국,의복 및 직물제품의 염색가공,출하금액[백만원],백만원,34552
전  국,의복 및 직물제품의 염색가공,완제품 연말재고액[백만원],백만원,3719
전  국,섬유 기타 가공,사업체수[개],개,14
전  국,섬유 기타 가공,생산액[백만원],백만원,23215
전  국,섬유 기타 가공,출하금액[백만원],백만원,22816
전  국,섬유 기타 가공,완제품 연말재고액[백만원],백만원,673
전  국,카페트,사업체수[개],개,9
전  국,카페트,생산액[백만원],백만원,121304
전  국,카페트,출하금액[백만원],백만원,122580
전  국,카페트,완제품 연말재고액[백만원],백만원,5616
전  국,마루덮개 및 유사제품,사업체수[개],개,16
전  국,마루덮개 및 유사제품,생산액[백만원],백만원,102976
전  국,마루덮개 및 유사제품,출하금액[백만원],백만원,103718
전  국,마루덮개 및 유사제품,완제품 연말재고액[백만원],백만원,3385
전  국,끈 및 로프(식물성섬유),사업체수[개],개,7
전  국,끈 및 로프(식물성섬유),생산액[백만원],백만원,34894
전  국,끈 및 로프(식물성섬유),출하금액[백만원],백만원,36049
전  국,끈 및 로프(식물성섬유),완제품 연말재고액[백만원],백만원,1920
전  국,끈(합성섬유),사업체수[개],개,6
전  국,끈(합성섬유),생산액[백만원],백만원,26415
전  국,끈(합성섬유),출하금액[백만원],백만원,26428
전  국,끈(합성섬유),완제품 연말재고액[백만원],백만원,89
전  국,로프(합성섬유),사업체수[개],개,23
전  국,로프(합성섬유),생산액[백만원],백만원,221270
전  국,로프(합성섬유),출하금액[백만원],백만원,220301
전  국,로프(합성섬유),완제품 연말재고액[백만원],백만원,16296
전  국,어망,사업체수[개],개,31
전  국,어망,생산액[백만원],백만원,112642
전  국,어망,출하금액[백만원],백만원,112133
전  국,어망,완제품 연말재고액[백만원],백만원,8037
전  국,기타 망,사업체수[개],개,24
전  국,기타 망,생산액[백만원],백만원,120715
전  국,기타 망,출하금액[백만원],백만원,119213
전  국,기타 망,완제품 연말재고액[백만원],백만원,7106
전  국,끈가공품,사업체수[개],개,13
전  국,끈가공품,생산액[백만원],백만원,45724
전  국,끈가공품,출하금액[백만원],백만원,45832
전  국,끈가공품,완제품 연말재고액[백만원],백만원,852
전  국,세폭직물,사업체수[개],개,65
전  국,세폭직물,생산액[백만원],백만원,208086
전  국,세폭직물,출하금액[백만원],백만원,210377
전  국,세폭직물,완제품 연말재고액[백만원],백만원,5462
전  국,부직포,사업체수[개],개,71
전  국,부직포,생산액[백만원],백만원,1064373
전  국,부직포,출하금액[백만원],백만원,1058582
전  국,부직포,완제품 연말재고액[백만원],백만원,70773
전  국,펠트,사업체수[개],개,29
전  국,펠트,생산액[백만원],백만원,144622
전  국,펠트,출하금액[백만원],백만원,143484
전  국,펠트,완제품 연말재고액[백만원],백만원,5483
전  국,부직포 제품,사업체수[개],개,58
전  국,부직포 제품,생산액[백만원],백만원,482277
전  국,부직포 제품,출하금액[백만원],백만원,481768
전  국,부직포 제품,완제품 연말재고액[백만원],백만원,18282
전  국,타이어코드 및 타이어직물,사업체수[개],개,5
전  국,타이어코드 및 타이어직물,생산액[백만원],백만원,766986
전  국,타이어코드 및 타이어직물,출하금액[백만원],백만원,772530
전  국,타이어코드 및 타이어직물,완제품 연말재고액[백만원],백만원,53790
전  국,고무도포 사,사업체수[개],개,3
전  국,고무도포 사,생산액[백만원],백만원,3465
전  국,고무도포 사,출하금액[백만원],백만원,3538
전  국,고무도포 사,완제품 연말재고액[백만원],백만원,158
전  국,기타 특수사 및 특수직물,사업체수[개],개,8
전  국,기타 특수사 및 특수직물,생산액[백만원],백만원,48606
전  국,기타 특수사 및 특수직물,출하금액[백만원],백만원,48045
전  국,기타 특수사 및 특수직물,완제품 연말재고액[백만원],백만원,1889
전  국,비닐도포직물,사업체수[개],개,22
전  국,비닐도포직물,생산액[백만원],백만원,121475
전  국,비닐도포직물,출하금액[백만원],백만원,121363
전  국,비닐도포직물,완제품 연말재고액[백만원],백만원,7892
전  국,고무도포직물,사업체수[개],개,4
전  국,고무도포직물,생산액[백만원],백만원,86215
전  국,고무도포직물,출하금액[백만원],백만원,86598
전  국,고무도포직물,완제품 연말재고액[백만원],백만원,1057
전  국,기타도포 및 적층직물,사업체수[개],개,72
전  국,기타도포 및 적층직물,생산액[백만원],백만원,396587
전  국,기타도포 및 적층직물,출하금액[백만원],백만원,400862
전  국,기타도포 및 적층직물,완제품 연말재고액[백만원],백만원,17850
전  국,워딩(솜) 제품,사업체수[개],개,49
전  국,워딩(솜) 제품,생산액[백만원],백만원,538292
전  국,워딩(솜) 제품,출하금액[백만원],백만원,539118
전  국,워딩(솜) 제품,완제품 연말재고액[백만원],백만원,34297
전  국,레이스원단 및 망직물(편직된 것),사업체수[개],개,21
전  국,레이스원단 및 망직물(편직된 것),생산액[백만원],백만원,93459
전  국,레이스원단 및 망직물(편직된 것),출하금액[백만원],백만원,92131
전  국,레이스원단 및 망직물(편직된 것),완제품 연말재고액[백만원],백만원,11773
전  국,장식용 트리밍,사업체수[개],개,1
전  국,장식용 트리밍,생산액[백만원],백만원,...
전  국,장식용 트리밍,출하금액[백만원],백만원,...
전  국,장식용 트리밍,완제품 연말재고액[백만원],백만원,...
전  국,직물제 필터,사업체수[개],개,32
전  국,직물제 필터,생산액[백만원],백만원,176521
전  국,직물제 필터,출하금액[백만원],백만원,173223
전  국,직물제 필터,완제품 연말재고액[백만원],백만원,9532
전  국,기타 섬유제품,사업체수[개],개,24
전  국,기타 섬유제품,생산액[백만원],백만원,49947
전  국,기타 섬유제품,출하금액[백만원],백만원,49242
전  국,기타 섬유제품,완제품 연말재고액[백만원],백만원,2410
전  국,"의복, 의복액세서리 및 모피제품 제조업",사업체수[개],개,1730
전  국,"의복, 의복액세서리 및 모피제품 제조업",생산액[백만원],백만원,16324624
전  국,"의복, 의복액세서리 및 모피제품 제조업",출하금액[백만원],백만원,16012912
전  국,"의복, 의복액세서리 및 모피제품 제조업",완제품 연말재고액[백만원],백만원,3408718
전  국,남자 및 소년용 정장,사업체수[개],개,53
전  국,남자 및 소년용 정장,생산액[백만원],백만원,1636193
전  국,남자 및 소년용 정장,출하금액[백만원],백만원,1619901
전  국,남자 및 소년용 정장,완제품 연말재고액[백만원],백만원,408097
전  국,남자 및 소년용 코트,사업체수[개],개,5
전  국,남자 및 소년용 코트,생산액[백만원],백만원,29383
전  국,남자 및 소년용 코트,출하금액[백만원],백만원,29724
전  국,남자 및 소년용 코트,완제품 연말재고액[백만원],백만원,23703
전  국,남자 및 소년용 자켓 및 점퍼,사업체수[개],개,43
전  국,남자 및 소년용 자켓 및 점퍼,생산액[백만원],백만원,709852
전  국,남자 및 소년용 자켓 및 점퍼,출하금액[백만원],백만원,708243
전  국,남자 및 소년용 자켓 및 점퍼,완제품 연말재고액[백만원],백만원,160813
전  국,남자 및 소년용 바지,사업체수[개],개,17
전  국,남자 및 소년용 바지,생산액[백만원],백만원,76604
전  국,남자 및 소년용 바지,출하금액[백만원],백만원,75694
전  국,남자 및 소년용 바지,완제품 연말재고액[백만원],백만원,7753
전  국,여자 및 소녀용 정장,사업체수[개],개,192
전  국,여자 및 소녀용 정장,생산액[백만원],백만원,2872303
전  국,여자 및 소녀용 정장,출하금액[백만원],백만원,2830510
전  국,여자 및 소녀용 정장,완제품 연말재고액[백만원],백만원,657637
전  국,여자 및 소녀용 코트,사업체수[개],개,26
전  국,여자 및 소녀용 코트,생산액[백만원],백만원,72198
