행정구역별,품목별,항목,단위,2014 년
전  국,기타 화학 및 비료 원료용 광물(채굴),완제품 연말재고액[백만원],백만원,...
전  국,소금(채취한 것),사업체수[개],개,9
전  국,소금(채취한 것),생산액[백만원],백만원,21245
전  국,소금(채취한 것),출하금액[백만원],백만원,20261
전  국,소금(채취한 것),완제품 연말재고액[백만원],백만원,2640
전  국,규석(채굴),사업체수[개],개,5
전  국,규석(채굴),생산액[백만원],백만원,11464
전  국,규석(채굴),출하금액[백만원],백만원,11331
전  국,규석(채굴),완제품 연말재고액[백만원],백만원,436
전  국,장석(채굴),사업체수[개],개,3
전  국,장석(채굴),생산액[백만원],백만원,10988
전  국,장석(채굴),출하금액[백만원],백만원,10903
전  국,장석(채굴),완제품 연말재고액[백만원],백만원,183
전  국,기타 비금속광물,사업체수[개],개,3
전  국,기타 비금속광물,생산액[백만원],백만원,15236
전  국,기타 비금속광물,출하금액[백만원],백만원,14829
전  국,기타 비금속광물,완제품 연말재고액[백만원],백만원,1045
전  국,광업 지원 서비스업,사업체수[개],개,1
전  국,광업 지원 서비스업,생산액[백만원],백만원,...
전  국,광업 지원 서비스업,출하금액[백만원],백만원,...
전  국,광업 지원 서비스업,완제품 연말재고액[백만원],백만원,...
전  국,기타 광업 지원 서비스,사업체수[개],개,1
전  국,기타 광업 지원 서비스,생산액[백만원],백만원,...
전  국,기타 광업 지원 서비스,출하금액[백만원],백만원,...
전  국,기타 광업 지원 서비스,완제품 연말재고액[백만원],백만원,...
전  국,제조업,사업체수[개],개,68042
전  국,제조업,생산액[백만원],백만원,1442802829
전  국,제조업,출하금액[백만원],백만원,1441014853
전  국,제조업,완제품 연말재고액[백만원],백만원,48878149
전  국,식료품 제조업,사업체수[개],개,6711
전  국,식료품 제조업,생산액[백만원],백만원,67764563
전  국,식료품 제조업,출하금액[백만원],백만원,67591544
전  국,식료품 제조업,완제품 연말재고액[백만원],백만원,2132357
전  국,쇠고기(도축),사업체수[개],개,29
전  국,쇠고기(도축),생산액[백만원],백만원,353359
전  국,쇠고기(도축),출하금액[백만원],백만원,359277
전  국,쇠고기(도축),완제품 연말재고액[백만원],백만원,15373
전  국,돼지고기(도축),사업체수[개],개,54
전  국,돼지고기(도축),생산액[백만원],백만원,1340160
전  국,돼지고기(도축),출하금액[백만원],백만원,1336176
전  국,돼지고기(도축),완제품 연말재고액[백만원],백만원,31664
전  국,닭고기,사업체수[개],개,53
전  국,닭고기,생산액[백만원],백만원,2379726
전  국,닭고기,출하금액[백만원],백만원,2332345
전  국,닭고기,완제품 연말재고액[백만원],백만원,80348
전  국,오리고기,사업체수[개],개,13
전  국,오리고기,생산액[백만원],백만원,117719
전  국,오리고기,출하금액[백만원],백만원,132980
전  국,오리고기,완제품 연말재고액[백만원],백만원,1556
전  국,원피,사업체수[개],개,1
전  국,원피,생산액[백만원],백만원,...
전  국,원피,출하금액[백만원],백만원,...
전  국,원피,완제품 연말재고액[백만원],백만원,...
전  국,도축고기 부산물,사업체수[개],개,21
전  국,도축고기 부산물,생산액[백만원],백만원,92776
전  국,도축고기 부산물,출하금액[백만원],백만원,93174
전  국,도축고기 부산물,완제품 연말재고액[백만원],백만원,999
전  국,가금고기(소동물포함) 부산물,사업체수[개],개,7
전  국,가금고기(소동물포함) 부산물,생산액[백만원],백만원,70445
전  국,가금고기(소동물포함) 부산물,출하금액[백만원],백만원,71173
전  국,가금고기(소동물포함) 부산물,완제품 연말재고액[백만원],백만원,518
전  국,"가금류 소시지, 통조림 및 병조림",사업체수[개],개,3
전  국,"가금류 소시지, 통조림 및 병조림",생산액[백만원],백만원,9254
전  국,"가금류 소시지, 통조림 및 병조림",출하금액[백만원],백만원,8906
전  국,"가금류 소시지, 통조림 및 병조림",완제품 연말재고액[백만원],백만원,880
전  국,가금류 포장육,사업체수[개],개,135
전  국,가금류 포장육,생산액[백만원],백만원,934374
전  국,가금류 포장육,출하금액[백만원],백만원,934871
전  국,가금류 포장육,완제품 연말재고액[백만원],백만원,32282
전  국,기타 가금류 가공품,사업체수[개],개,86
전  국,기타 가금류 가공품,생산액[백만원],백만원,468810
전  국,기타 가금류 가공품,출하금액[백만원],백만원,471184
전  국,기타 가금류 가공품,완제품 연말재고액[백만원],백만원,9656
전  국,베이컨,사업체수[개],개,12
전  국,베이컨,생산액[백만원],백만원,135538
전  국,베이컨,출하금액[백만원],백만원,134793
전  국,베이컨,완제품 연말재고액[백만원],백만원,1433
전  국,햄(가축),사업체수[개],개,38
전  국,햄(가축),생산액[백만원],백만원,628808
전  국,햄(가축),출하금액[백만원],백만원,616347
전  국,햄(가축),완제품 연말재고액[백만원],백만원,58011
전  국,소시지(축육),사업체수[개],개,44
전  국,소시지(축육),생산액[백만원],백만원,467809
전  국,소시지(축육),출하금액[백만원],백만원,467310
전  국,소시지(축육),완제품 연말재고액[백만원],백만원,14380
전  국,기타 육지동물 소시지 유사제품,사업체수[개],개,46
전  국,기타 육지동물 소시지 유사제품,생산액[백만원],백만원,187208
전  국,기타 육지동물 소시지 유사제품,출하금액[백만원],백만원,186862
전  국,기타 육지동물 소시지 유사제품,완제품 연말재고액[백만원],백만원,2773
전  국,육지동물 통조림 및 병조림,사업체수[개],개,5
전  국,육지동물 통조림 및 병조림,생산액[백만원],백만원,17297
전  국,육지동물 통조림 및 병조림,출하금액[백만원],백만원,16987
전  국,육지동물 통조림 및 병조림,완제품 연말재고액[백만원],백만원,1168
전  국,육지동물 포장육,사업체수[개],개,214
전  국,육지동물 포장육,생산액[백만원],백만원,3560328
전  국,육지동물 포장육,출하금액[백만원],백만원,3557227
전  국,육지동물 포장육,완제품 연말재고액[백만원],백만원,79411
전  국,기타 고기가공품,사업체수[개],개,134
전  국,기타 고기가공품,생산액[백만원],백만원,645430
전  국,기타 고기가공품,출하금액[백만원],백만원,641459
전  국,기타 고기가공품,완제품 연말재고액[백만원],백만원,19390
전  국,어묵 및 유사가공품,사업체수[개],개,73
전  국,어묵 및 유사가공품,생산액[백만원],백만원,452628
전  국,어묵 및 유사가공품,출하금액[백만원],백만원,452830
전  국,어묵 및 유사가공품,완제품 연말재고액[백만원],백만원,7261
전  국,어육 소시지 및 어묵햄,사업체수[개],개,16
전  국,어육 소시지 및 어묵햄,생산액[백만원],백만원,186881
전  국,어육 소시지 및 어묵햄,출하금액[백만원],백만원,185102
전  국,어육 소시지 및 어묵햄,완제품 연말재고액[백만원],백만원,5339
전  국,조미오징어,사업체수[개],개,44
전  국,조미오징어,생산액[백만원],백만원,233588
전  국,조미오징어,출하금액[백만원],백만원,228238
전  국,조미오징어,완제품 연말재고액[백만원],백만원,18756
전  국,조미쥐치포,사업체수[개],개,12
전  국,조미쥐치포,생산액[백만원],백만원,19451
전  국,조미쥐치포,출하금액[백만원],백만원,19711
전  국,조미쥐치포,완제품 연말재고액[백만원],백만원,796
전  국,기타 조미조제식품 및 어류훈제품,사업체수[개],개,30
전  국,기타 조미조제식품 및 어류훈제품,생산액[백만원],백만원,112665
전  국,기타 조미조제식품 및 어류훈제품,출하금액[백만원],백만원,110845
전  국,기타 조미조제식품 및 어류훈제품,완제품 연말재고액[백만원],백만원,5137
전  국,기타 수산동물 조리가공품,사업체수[개],개,26
전  국,기타 수산동물 조리가공품,생산액[백만원],백만원,84937
전  국,기타 수산동물 조리가공품,출하금액[백만원],백만원,87192
전  국,기타 수산동물 조리가공품,완제품 연말재고액[백만원],백만원,3193
전  국,참치통조림,사업체수[개],개,10
전  국,참치통조림,생산액[백만원],백만원,350921
전  국,참치통조림,출하금액[백만원],백만원,354655
전  국,참치통조림,완제품 연말재고액[백만원],백만원,24944
전  국,골뱅이통조림,사업체수[개],개,6
전  국,골뱅이통조림,생산액[백만원],백만원,59958
전  국,골뱅이통조림,출하금액[백만원],백만원,59724
전  국,골뱅이통조림,완제품 연말재고액[백만원],백만원,1693
전  국,굴 통조림,사업체수[개],개,7
전  국,굴 통조림,생산액[백만원],백만원,20075
전  국,굴 통조림,출하금액[백만원],백만원,18110
전  국,굴 통조림,완제품 연말재고액[백만원],백만원,7851
전  국,꽁치통조림,사업체수[개],개,7
전  국,꽁치통조림,생산액[백만원],백만원,16894
전  국,꽁치통조림,출하금액[백만원],백만원,17875
전  국,꽁치통조림,완제품 연말재고액[백만원],백만원,785
전  국,기타 수산동물 통조림,사업체수[개],개,14
전  국,기타 수산동물 통조림,생산액[백만원],백만원,21730
전  국,기타 수산동물 통조림,출하금액[백만원],백만원,22284
전  국,기타 수산동물 통조림,완제품 연말재고액[백만원],백만원,4170
전  국,명태 건제품,사업체수[개],개,56
전  국,명태 건제품,생산액[백만원],백만원,127584
전  국,명태 건제품,출하금액[백만원],백만원,128329
전  국,명태 건제품,완제품 연말재고액[백만원],백만원,7885
전  국,멸치 건제품,사업체수[개],개,53
전  국,멸치 건제품,생산액[백만원],백만원,127549
전  국,멸치 건제품,출하금액[백만원],백만원,128062
전  국,멸치 건제품,완제품 연말재고액[백만원],백만원,195
전  국,오징어류 건제품,사업체수[개],개,19
전  국,오징어류 건제품,생산액[백만원],백만원,23641
전  국,오징어류 건제품,출하금액[백만원],백만원,23551
전  국,오징어류 건제품,완제품 연말재고액[백만원],백만원,1815
전  국,어류의 채(건조한 것),사업체수[개],개,27
전  국,어류의 채(건조한 것),생산액[백만원],백만원,54873
전  국,어류의 채(건조한 것),출하금액[백만원],백만원,53137
전  국,어류의 채(건조한 것),완제품 연말재고액[백만원],백만원,5330
전  국,기타 소건품,사업체수[개],개,10
전  국,기타 소건품,생산액[백만원],백만원,12328
전  국,기타 소건품,출하금액[백만원],백만원,11962
전  국,기타 소건품,완제품 연말재고액[백만원],백만원,696
전  국,기타 자건품,사업체수[개],개,11
전  국,기타 자건품,생산액[백만원],백만원,26835
전  국,기타 자건품,출하금액[백만원],백만원,21742
전  국,기타 자건품,완제품 연말재고액[백만원],백만원,7955
전  국,기타 수산동물 및 부산물 건제품,사업체수[개],개,5
전  국,기타 수산동물 및 부산물 건제품,생산액[백만원],백만원,7335
전  국,기타 수산동물 및 부산물 건제품,출하금액[백만원],백만원,7389
