"품목분류별 사업체수，생산액，출하 및 연말재고액(10명이상, 2011년)"

"C행정구역별","행정구역별","C품목별","품목별","시점","사업체수 (개)","생산액 (백만원)","출하금액 (백만원)","완제품 연말재고액 (백만원)"
'00,"전  국",'0,"광업 및 제조업",2011,63571.0000,1458217929.0000,1452743785.0000,47508790.0000
'00,"전  국",'B,"광업",2011,389.0000,2842493.0000,2817922.0000,104288.0000
'00,"전  국",'B05," 석탄, 원유 및 천연가스 광업",2011,7.0000,517383.0000,503854.0000,35863.0000
'00,"전  국",'B05100101,"  무연탄(채굴)",2011,5.0000,283561.0000,283575.0000,11242.0000
'00,"전  국",'B05200101,"  원유(채굴한 것)",2011,1.0000,...,...,...
'00,"전  국",'B05200102,"  천연가스(채굴한 것)",2011,1.0000,...,...,...
'00,"전  국",'B06," 금속 광업",2011,6.0000,89735.0000,88256.0000,5005.0000
'00,"전  국",'B06100100,"  철광(채굴 및 정광)",2011,2.0000,...,...,...
'00,"전  국",'B06291100,"  귀금속광물(채굴 및 정광)",2011,1.0000,...,...,...
'00,"전  국",'B06292100,"  연(납)광 및 아연광(채굴 및 정광)",2011,1.0000,...,...,...
'00,"전  국",'B06299100,"  기타 비철금속광(채굴 및 정광)",2011,2.0000,...,...,...
'00,"전  국",'B07," 비금속광물 광업;연료용 제외",2011,375.0000,2223795.0000,2214232.0000,63420.0000
'00,"전  국",'B07111101,"  석회쇄석(채굴)",2011,56.0000,501588.0000,499285.0000,10347.0000
'00,"전  국",'B07112101,"  고령토(채굴)",2011,1.0000,...,...,...
'00,"전  국",'B07112109,"  기타 점토(채굴)",2011,2.0000,...,...,...
'00,"전  국",'B07121101,"  화강암 원석(파쇄되지 않은 것)",2011,16.0000,51681.0000,50916.0000,2040.0000
'00,"전  국",'B07121102,"  석회석 원석(파쇄되지 않은 것)",2011,5.0000,24813.0000,24220.0000,1054.0000
'00,"전  국",'B07122100,"  건설용 쇄석(석회쇄석 제외)",2011,196.0000,1005156.0000,1002174.0000,25664.0000
'00,"전  국",'B07123101,"  건설용 천연모래",2011,50.0000,363854.0000,362878.0000,6494.0000
'00,"전  국",'B07123102,"  천연 자갈",2011,18.0000,86353.0000,86457.0000,2706.0000
'00,"전  국",'B07123200,"  공업용 천연모래",2011,8.0000,104603.0000,103861.0000,5679.0000
'00,"전  국",'B07210101,"  납석(채굴)",2011,4.0000,23971.0000,23500.0000,6298.0000
'00,"전  국",'B07220100,"  소금(채취한 것)",2011,9.0000,5078.0000,5058.0000,72.0000
'00,"전  국",'B07290101,"  규석(채굴)",2011,5.0000,18328.0000,17953.0000,722.0000
'00,"전  국",'B07290102,"  장석(채굴)",2011,1.0000,...,...,...
'00,"전  국",'B07290109,"  기타 비금속광물",2011,4.0000,17670.0000,17445.0000,1429.0000
'00,"전  국",'B08," 광업 지원 서비스업",2011,1.0000,...,...,...
'00,"전  국",'B08090100,"  기타 광업 지원 서비스",2011,1.0000,...,...,...
'00,"전  국",'C,"제조업",2011,63182.0000,1455375436.0000,1449925863.0000,47404502.0000
'00,"전  국",'C10," 식료품 제조업",2011,5942.0000,60366861.0000,60057499.0000,2016902.0000
'00,"전  국",'C10110101,"  쇠고기(도축)",2011,23.0000,354769.0000,354968.0000,7993.0000
'00,"전  국",'C10110102,"  돼지고기(도축)",2011,42.0000,1340750.0000,1348454.0000,28165.0000
'00,"전  국",'C10110109,"  기타 도축고기",2011,1.0000,...,...,...
