품목별,출하액 (백만원)
원자로의 부품,27103
군사용 무기 및 부품,5676624
비군사용 총기류,30238
가스총,X
기타 비군사용 무기 및 부품,9048
분말야금제품,418595
보통강 단조물,1342194
특수강 단조물,1071204
기타 철강 단조물,587837
스테인리스 단조물,154749
알루미늄단조물,146367
동단조물,27111
기타 비철금속 단조물,74800
자동차용 프레스 가공품,4303065
가정용 압형제품(알루미늄제),309534
가정용 압형제품(스테인리스제),786316
기타 프레스 가공품,922771
금속 열처리 제품,949473
절삭가공,5835613
기타 금속처리 제품,775437
금속제 식탁용품(식기제외),50503
칼 및 칼날(식탁용 나이프 제외),64314
면도기 및 면도날,X
가위,20220
손톱 및 발톱 깍기,52678
건물용 철물,665224
가구용 철물,301747
자동차용 철물,1193921
디지털 도어록,359918
"자물쇠, 열쇠 및 관련 부품(자동차용 제외)",49204
캐스터(소형바퀴),83797
가방 부착용 철물,21815
커튼 및 블라인드 부품,12604
기타 일반철물,268605
드라이버,X
스패너 및 렌치,11966
기타 작업용 수공구,98097
농업용 수공구,8122
드릴,41587
햄머,X
기타 수공구,31172
톱(수동식),57566
톱날,121442
공작기계용 절삭공구,2206006
기타 공작기계용 부속물,114399
볼트 및 너트류(금속제),3609878
쇠못,86688
나사못(금속제),389621
리베트(금속제),33414
와셔(금속제),115558
기타 금속파스너,60809
코일스프링,768189
잎(판상)스프링,102638
기타 금속스프링,218396
철망,661147
와이어로프,710720
체인(동력전달용 제외),49727
기타 철선조립제품,82939
스틸캔(음식료품용),461028
알루미늄캔(음식료품용),610275
에어로졸캔,361901
드럼통,565276
금속 튜브용기,100145
기타 금속포장용기,682388
병마개,209686
알루미늄제 주방 및 식탁용품,548996
스텐레스 주방 및 식탁용품,300224
법랑제 주방 및 식탁용품,10573
기타 금속제 주방 및 식탁용품,36823
싱크상판,157667
기타 금속 위생용품,86540
금속표시판,293593
용접봉,882202
금속제 액자틀,X
기타 금속제 장식용품,125435
이동식 금속 사다리 및 부품,36812
"선박용 프로펠러, 날 및 닻",238752
금속제 파킹 및 가스켓,202805
기타 조립금속제품,273459
금속제 영구자석 제조,121166
바늘,61568
금고,119641
금고 부품,9039
기타 분류안된 금속가공제품,153180
"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",250753678
D RAM,60266604
S RAM,X
Flash 메모리 (모듈포함),12158353
기타 반도체 메모리,24285206
스탠다드로직,X
ASIC 로직,1764699
마이크로 콤퍼넌트,92234
바이폴라 IＣ,364104
기타 모노리식 디지털 집적회로,31193
아날로그 집적회로,62775
하이브리드 집적회로,47724
기타 혼성 집적회로,101150
극소형 조립회로,3880760
CMOS이미지센서,2998098
D D I,3507816
전자집적회로 부분품,1056537
LED(OLED),6063468
트랜지스터,569225
다이오드,272478
감광성 반도체소자,176636
압전소자,X
수정진동자,13418
반도체웨이퍼,2660787
LED 에피칩,X
기타 반도체개별소자,294864
태양광웨이퍼,X
태양전지,498526
기타 반도체소자 부품,1811699
노트북용LCD,5658540
TV용 LCD,13562961
모니터용 LCD,5290599
기타 LCD,3607728
LCD용 컬러 필터,143647
LCD용 백라이트 유니트(BLU),816992
진공형광관,X
LCD편광필름,4354258
기타 액정표시장치 부품,604667
OLED 패널,17600954
PDP,6655
터치스크린 패널,341258
기타 평판디스플레이 판넬,48612
기타 평판 디스플레이 부품,620768
PDP필터,X
페놀동박적층판,566142
에폭시동박적층판,1198421
기타 인쇄회로원판,577789
페놀인쇄회로기판,1260673
에폭시인쇄회로기판,3619047
연성 및 기타인쇄회로기판,2275271
전자부품 실장기판,1776571
탄탈륨 축전기,X
알미늄 전해축전기,232595
세라믹 유전체의 고정축전기,1616826
종이 및 플라스틱 고정축전기,17114
기타 고정식축전기,X
전자회로용 가변식 축전기,46730
전기고압용 축전기(>=0.5KW),56876
축전기 부품,194423
탄소피막형 고정저항기,46560
칩형 고정저항기,14530
기타 고정저항기,7634
탄소 가변저항기,X
서미스터,107845
바리스터,164950
기타 가변저항기,X
저항기 부품,54975
마그네틱 스트라이프를 자장한 카드,62464
스마트 카드,338278
전자부품용 변성기,190617
전자유도 코일 및 쵸크,330347
기타 전자유도자,110468
전자코일 및 인덕터의 부품,55134
센서,1262699
자동차용 센서,1032701
컬러TV용 음극선관,X
기타 음극선관,X
자전관,16973
기타전자관,9048
PCM(색순도집속장치),X
기타 전자관 부품,43801
그래픽 카드,X
멀티미디어카드,X
컴퓨터용 모뎀카드(PC용),X
기타 전자접속 카드,X
리드프레임,725039
표시기,206556
편향코일,X
전자총,X
새도우마스크,X
포토마스크(Photomask),690417
기타 전자 부품,795454
중대형 컴퓨터,348626
데스크탑 PC,432069
노트북,33516
PDA(휴대용 정보단말기),129603
태블릿PC,710435
기타 휴대용 컴퓨터,X
기타 컴퓨터,107644
하드디스크 드라이브,42277
광디스크 드라이브,X
휴대용 저장장치,62496
SSD(solid state drive),X
기타 기억장치,8223
자기헤드(컴퓨터용),X
기억장치 부품,24744
액정 모니터(컴퓨터용),879261
임팩트 프린터(충격식),55053
레이저 프린터,259344
잉크젯 프린터,59186
기타 비충격식 프린터,X
컴퓨터 프린터 부품,84578
키보드,57814
마우스,1001
스캐너류,129251
기타 입력장치,195840
기타 출력장치(컴퓨터용),X
컴퓨터 단말기,37833
주기판,41310
PC 카메라,X
컴퓨터 케이스,32000
기타 컴퓨터용 보드,8547
기타 컴퓨터 주변기기,28914
컴퓨터주변기기 전용부품(기억장치부품제외),260308
일반 전화기,44882
코드없는 전화기세트,X
영상 전화기,21681
기타 유선전화기,86303
기간통신사업용 교환기,41689
사설 교환기,X
기타 유선 교환기,8431
반송장치(아날로그식),15078
반송장치(디지털),197697
디지털 다중화장치,61978
신호변환기,200492
"광전송 장비(다중계기, 분배기)",381884
중앙통제실 송신용 칩입 및 화재경보 시스템 제조,77223
팩시밀리,X
라우터 및 게이트웨이,53768
허브 및 네트웍관련 스위치,22387
음성자동응답기,X
비디오도어폰,179609
인터폰,51279
홈네트워크 장비,47530
기타 유선통신기기,35975
유선 전화기 부품,X
교환기 부품,31880
반송기기 부품,29451
광통신기기 부품,714957
기타 유선 통신기기 부품,43499
방송용 증폭기,195792
방송용 음향관련 기기,137912
방송용 영상관련 기기,101136
케이블TV 수신자용 컨버터,13416
케이블TV 수신자용 기기,35863
위성방송 수신용 안테나,200220
위성방송 수신기,1304007
지상파방송 송수신기,X
유선방송 송수신기,93674
기타 TV송수신기,X
라디오송신기,X
DMB 송수신 기기,35464
기타 송신관련 기기,8417
폐쇄회로 카메라,2234106
기타 방송국용 기기,27315
방송국용 기기의 부분품,49896
휴대용 전화기,16586774
휴대용전화기 KD세트,X
휴대폰용 카메라모듈,6754134
기타 휴대용 전화기 부품,1003162
주파수 공용통신 단말기,57996
무선 호출기,27015
무전기,184262
WiBro 단말기,X
기타 무선 통신전화기,X
무선통신용 교환기,76660
무선통신 기지국용 송수신기,868881
무선통신용 중계기(릴레이),629435
안테나시스템,482619
RFID(전자테그),162062
WiBro 중계기,20937
기타 무선통신 시스템,134714
기타 무선통신기기,154589
SAW Filter(표면탄성파 필터),295973
무선통신 단말기의 부품,365166
무선통신기기의 부품,195379
FPD TV,3760976
기타 TV,50276
텔레비전의 부품,323899
영상모니터,481002
비디오테이프 녹화재생기,X
레이저디스크 플레이어 및 DVD 플레이어,94494
캠코더,X
DVR,128414
외장형 DMB 튜너 (PC 장착용),X
외장형 DMB 튜너 (자동차 장착용),204964
안테나,322738
비디오용 헤드드럼,X
가정용 오디오,X
차량용 오디오,409340
MP3 Player,X
어학실습기,X
녹음기 및 녹음재생기,20235
노래반주기,103149
기타 음향 녹음 또는 재생기기,X
"라디오, 녹음 및 재생기기의 부품",38409
스피커,345635
기기용 앰프셋트,94360
오디오용 튜너,X
이퀄라이저,X
픽업,X
마이크로폰과 그 스탠드,58246
헤드폰,55981
자동차용음향증폭기,X
이어폰,115799
기타 음향관련 기기,12285
음향기기용 자기헤드,X
음향기기의 전용부품,119522
자기 및 광 디스크,7644
"의료, 정밀, 광학 기기 및 시계 제조업",25844056
의료용 방사선 장치,751183
산업용 방사선장치,84416
방사선 기타 장치,X
방사선장치의 부품,137497
심전계,44035
초음파진단기,958566
전자혈압계,5717
기타 전기 및 전자식 진단용기기,314957
광선치료기,453047
환자감시장치,20574
기타 전기식 치료 및 요법기기,120903
전기·전자식 진단 및 요법기기 부품,87685
치과용 기기,249149
치과기공소용 기기,33935
치과 및 치과기공소용 기기의 부품,26056
보청기,22075
치과용 임플란트,630813
치과기공소의 제품,379036
인공신체,59641
정형외과용 기기,202585
정형외과용 기기 및 보청기 부품,40965
선글라스,9710
기타 안경,29932
안경용 렌즈,194898
콘택트렌즈,310712
안경테,111328
기타 안경 부품,79411
치과용 의자,66930
병원침대,110394
이·미용실 의자,X
기타 의료용 가구,82928
주사기 및 수혈세트,467424
살균기(의료 및 실험실용),108352
산소호흡기,67410
기타 호흡관련 의료기기,82474
기타 의료용 기기,698751
기타 의료기기 부품,430739
측량기기,419125
GPS 시스템,188525
리모콘,169149
텔레매틱스 단말기,X
내비게이션,3195451
레이더기기,449615
조타기,16691
기타 항해용 기기,401348
측량기 및 항해용 무선기기의 부품,46255
오실로스코프 및 오실로그래프,X
전자계측기,450040
기타 전기량 측정 및 검사용기기,155162
전기량측정 및 검사용기기의 부품,142863
액면계,115631
압력계,126057
공해계측기,282817
온도계,21210
재료시험기,254332
열측정 및 풍력계기,104333
액체비중계,X
반도체 검사장비,2196781
기타 물질 측정 및 검사기기,808502
물질 검사·측정 및 분석기구의 부품,605357
가스공급계기,108278
수도미터,111421
기타 기체 및 액체공급계기,4084
전기공급계기,268270
속도계,485587
기타 적산계기,97266
속도계 및 적산계기 및 부품,101451
온도 자동조절장치(공업용 제외),260613
기타 자동조절기,177434
자동조절기(공업용 제외)의 부품,74469
온도자동제어장치,976916
산업용온도조절기,516217
기타 산업처리공정 제어장비,1447358
공업계기의 부품,151907
도안 및 제도기구,66432
"기타 측정, 시험, 항해 및 정밀기기 및 부품",172117
광섬유,1637
광학렌즈,945843
광학필터,75509
편광재료용 판,X
BLU용 광학필름,992583
기타 광학요소 관련품,29947
디지털 카메라,X
기타 사진기,34795
투영기,7897
사진섬광기구,X
기타 사진관련 기기,X
영화관련 기기,33685
"사진기, 영사기 및 관련장비의 부품",231795
쌍안경 및 천문관측기기,62638
광학현미경,81749
기타 광학기기,274756
레이저발생기기,55463
기타 광학기기의 부품,233309
휴대용 시계,30656
벽시계 및 탁상시계,14170
기타 시계,4184
시계케이스,X
시계줄(금속제),X
기타 시계부품,12772
전기장비 제조업,82516438
소형 전동기,2377079
중대형 직류 및 교류겸용 전동기,1340354
중대형 교류전동기,249205
발전기,628249
발전기세트,124987
회전위상변환기,95160
태양광모듈,2444795
태양광발전시스템,359435
발전플랜트,247543
"전동기, 발전기 및 발전기 세트의 부품",925676
송배전변압기,1091341
발전변압기,44005
특수목적용 변압기,171527
산업용 일반변압기,981470
전압조정기,16149
변압기 부품,297316
형광등용 안정기,122506
형광등용 안정기의 부품,12050
에너지 저장장치(ESS),219830
정류기,645100
인버터,726669
어댑터,101260
통신 및 컴퓨터용 전원장치,289525
무정전 전원장치,536310
배터리 충전기,422868
핸즈프리,X
배터리팩,230517
기타 정지형 변환기,89296
정지형 변환기의 부품,130531
고압 차단기(1000v 이상),1006593
배선용 차단기(1000v 미만),961289
기타 저압 차단기(1000v 미만),279632
퓨즈,60308
스위치(전기개폐용),1794757
계전기,214355
기타 개폐 및 보호관련 기기,186545
"전기회로 개폐, 보호 장치 부품",341282
플러그(전기접속용),93814
콘센트,212485
커넥터(일반전기접속용),2372215
전등용 소켓,35866
기타 전기 접속기기,235307
전자 커넥터(통신 및 전자기기회로용),1377174
전기회로 접속장치 부품,237406
저압배전반(전압1000v 미만),1338918
고압배전반(전압1000v 이상),1629464
수치제어장치,356945
자동전기제어반,2033890
프로그램 콘트롤러,629900
배전반 부품,342396
일차전지,370287
일차전지 부품,23889
차량용 납(연)축전지,6735206
기타 납(연)축전지,84106
알칼리 축전지,8885754
축전지 부품,3048418
광섬유 케이블,664065
전력선(송배전용),3665206
통신선,961422
신호 및 제어선,371000
절연전선(옥내외 저압 배선용),1711645
권선(마그네틱선),814876
기타 전선,657580
절연코드 및 코드세트,1204124
백열 전구,9019
할로겐 전구,58272
기타 필라멘트 전구,X
형광등(램프),70493
기타 방전램프,14192
LED 전등,1126566
기타 전구 및 램프,36398
전구 및 램프 부품,105994
자전거 및 차량용 조명기구,2656615
"선박, 철도차량, 항공기 및 오토바이용 조명기구",137588
차량용 조명 및 전기장치의 부품,1294037
가정용 고정식 조명장치,640601
가정용 이동식 조명기구,61167
산업용 조명장치,400728
옥외용 조명장치,389815
조명장치 부분품,182245
전기식 간판,529939
장식용 조명세트,18168
전시 및 광고용 조명장치 부품,169145
휴대용 전등기구,16233
기타 비전기식 조명장치,30506
기타 조명장치 부품,22022
가정용 전자레인지,22385
가정용 전기 밥솥,439112
전기 후라이팬,30928
전자 오븐,35782
전기레인지,157426
기타 전기식 조리기기,40189
소형냉장고(200ℓ 이하),X
중형냉장고(201ℓ ~ 400ℓ 이하),X
대형냉장고(401ℓ 이상),1968228
김치냉장고,875603
가정용 전기믹서기,192720
가정용 식기 세척기,518078
가정용 전기식 식기 건조기,46098
렌지후드,140885
기타 주방용 전기기기,48416
주방용 전기기기 부품,405160
전기담요 및 장판,142776
전기 난로,24123
전기보일러,16378
전기온수기,78962
가정용 온풍기,16641
기타 가정용 전기식 난방기기,47137
가정용 전기식 난방기기의 부품,96310
전기 면도기,X
전기 안마기,233052
전기식 헤어드라이어,47763
전기 이발기,5735
기타 전기식 이미용기구,262906
가정용 세탁기,1046471
의류 건조기,1026413
가정용 선풍기,102986
가정용 환풍기,77111
가정용 가습기,7371
가정용 전기청소기,451339
전기비데,277792
기타 가정용 전기기기,173279
기타 가정용 전기기기 부품,1103176
가정용 기름 보일러,89457
가정용 가스 보일러,864955
석유 난로,X
가스 난로,X
기타  가정용 난방기기,85532
가스레인지,217944
가스오븐레인지,572255
가정용 비전기식 휴대용 조리기기,51987
기타 비전기식 가정용 조리기기,9346
가정용 비전기식 조리 및 난방기기의 부품,153498
"도난, 화재 및 유사 경보기(차량용 제외)",397062
차량용 도난 및 화재 경보기,24679
기타 신호장치,56813
전기경보 및 신호장치 부품,86521
전기 애자 및 절연용 물품,111877
탄소전극 및 흑연전극,229579
카본부러쉬,75974
기타 전기용 탄소제품,28438
전기식 교통 통제장비,189726
전기식 교통통제장비의 부품,X
내연기관용 전기장치(자동차용 제외),85169
전자석 및 영구자석의 제품,80941
아크 용접기,91473
저항 용접기,100421
기타 전기용접기,18101
연료전지,236556
신호 발생기,3364
오존 발생기,22174
이온 정수기,30507
전기도금 및 전기분해용 기기,65746
초음파 세척기,55428
기타 전기장비,156471
기타 전기장비의 부품,67121
기타 기계 및 장비 제조업,116727647
선박용 내연기관,2834282
기계용 내연기관,1034194
내연기관 부품(차량 및 항공기용 제외),1463658
터빈,87807
터빈 부품,119527
유압실린더 및 유압시스템,1590344
공압실린더 및 공압액츄에이터,290348
유압 펌프,733738
기압식 기체펌프 및 압축기,111239
기타 유압기기,102440
유압기기 부품,623202
산업용 액체펌프,1230325
가정용 펌프,162417
급유 및 계기용 펌프,206904
액체펌프의 부품,108207
진공 펌프,744933
냉매 압축기(차량용 제외),918949
차량 에어컨용 압축기,1155763
산업용 공기압축기,616513
기타 기체펌프 및 압축기,76283
기체 펌프 및 압축기 부품,105416
감압 밸브,272846
유압 및 공기압전송용 밸브,1126631
체크 밸브,240935
안전 밸브,297915
수전,783066
볼 및 플러그밸브,373369
자동조절 및 원격조절밸브,665491
기타 밸브,310122
"탭, 밸브의 부품",596108
볼 베어링,1693571
원추형 롤러베어링,235674
지구베어링,163304
기타 베어링,283718
베어링 부품,299114
변속기,666393
기어 및 기어링,612552
체인(동력전달용),181589
플레인베어링,212450
기타 기계식 동력전달장치,87134
기계식 동력전달장치 부품,152348
공업용로,488011
소각로,412936
전기로,265125
로 부속품 및 부품,180892
포크리프트 트럭(지게차),1264958
기타 산업용 트럭 및 적재기,17789
산업용 트럭 및 적재기 부품,321396
엘리베이터,2476917
에스컬레이터,X
리프트기기,121891
주차기,291846
승강기류 부품,713781
컨베이어,2356334
자동창고시스템,184698
컨베이장치류 부품,169467
호이스트,211358
물품취급용 크레인,549609
윈치 및 캡스턴,63577
기타 물품취급장비,135612
물품취급장비 부품,94013
산업 및 상업용 냉장고,607202
산업용 냉동기,796327
냉각탑,134338
냉동，냉장 쇼케이스,377378
기타 냉동장비,29827
산업용 냉장 및 냉동장비의 부품,755743
룸에어컨,322972
패키지에어컨,953740
차량용 에어컨,2378995
시스템에어컨,2009103
에어핸드링유니트,314364
팬코일유니트,96953
항온항습기,410390
기타 공기조화장치,286446
공기조절장치 부품,2083342
송풍기(산업용),1008087
송풍기(산업용) 부품,136679
공기청정기,1156571
차량용 공기청정기,106211
집진기,398225
기타 기체 여과기 및 청정기,294682
기체 여과기 및 청정기 부품,666198
정수기,853549
상하수정화장비,508442
연수기,X
기타 액체여과기,176008
액체 여과기 부품,906124
열교환기,2167499
증류기 및 가스발생기,143712
증류기 및 열교환기의 부품,215325
복사기,14348
현금자동지급기(CD),94575
자동거래단말기(ATM),421268
금전등록기,144523
동전 및 화폐 처리기,148088
표권 발행기,47261
전자수첩,X
신용카드조회기,55912
기타 계산 관련기기,37448
우편물취급기기,8484
문서 펀칭기(사무용) 및 스테이플러,9707
문서 및 그림 코팅기(사무용),77943
기타 사무용 기계,44739
복사기 전용부품,70204
계산관련 기기의 전용부품,25154
사무기기의  전용부품,13546
산업용 저울,55358
가정 및 상업용 저울,58212
저울 부품,X
병，용기의 세척기,X
충전기(포장겸용),256795
포장기,594771
포장기 및 용기세척기 부품,38542
소화기,275825
스프링쿨러,82676
분사기,112123
소화장비 및 분사기 부품,194567
수지식 동력연삭기,120673
기타 수지식 동력 공구,66553
수지식 동력공구 부품,74606
자동판매기 및 화폐교환기,68509
가스 용접기 및 절단기,76692
기타 용접기,30239
원심분리기,160968
산업용 접시 세척기,65619
기타 일반목적용 기계,395063
자동판매기 및 화폐교환기 부품,11250
기타 일반목적용기계 부품,492811
경운기,75482
농업용 트랙터,1208056
쟁기,15645
기타 경지정리용 기계,118546
농업용 분무기,119770
이앙기,136764
기타 재배관련기기,90133
콤바인(농업용),156031
농업용 건조기,86403
기타 수확관련 기계,77988
사료가공 기계(농업용),77247
기타 축산기계,110391
기타 농업용기계,95474
농업용 기계 부품,611639
레이저 가공기,368261
방전가공기,76357
기타 전자응용 절삭기계,56185
전자응용 가공 절삭기계의 부품,78897
디지털 적층 성형기계,99219
디지털 적층 성형기계 부품,10439
머시닝 센터,1473320
전용기,670058
수치제어식 선반,1237708
범용 선반,31680
드릴링기,22033
보링기,118966
밀링기,35473
탭핑기,X
연삭기,88614
기어절삭기,9708
톱기계(금속용),20254
기타 금속절삭가공기계,109880
금속절삭가공기계의 부품,293853
액압 프레스,33283
기계 프레스,513146
금속 절곡기,127772
금속 전단기,36822
펀칭기,16206
금속 단조기,14716
금속 인발기,9603
나사 전조기,102748
금속선 가공기,45504
기타 금속성형기계,67484
금속성형기계의 부품,55565
목공기계,39451
기타 공작기계,243295
"다이, 지그 및 공작기계 부착물",974123
목공기계 부품,X
기타 공작기계 부품,47146
주물주조기계,196044
금속 압연기,61064
압연기 롤,117173
기타 금속주조 및 압연기 부품,67393
굴삭기,4663236
토공기계,118265
건설용 크레인,118182
콘크리트믹서,68684
콘크리트 펌프카,225362
도로포장 기계,44659
기초공사기계,38223
로더 및 불도저,401489
기타 건설용 트랙터,X
기타 건설용 기계,99427
무한궤도,55404
건설용 기계 부품,2940779
"광물용 파쇄, 마쇄 및 선별기",255998
기타 광산 기계,14422
콘크리트제품 제조기,39871
기타 광물제조장비,9717
광물처리장비 부품,23209
낙농품 가공기계,45421
정미기,68012
기타 곡물가공기계,10705
육류가공기계,124230
기타 공장용 음식료품 제조기계,204170
제빵용기계,77153
기타 상점용 음식료품 조리기계,70062
음식료품 및담배 가공기계 부품,19786
업소용 세탁관련기기,20981
염색기,26316
기타 섬유 마무리 가공기계,130948
공업용 재봉기,54173
연사기,X
방적기,79190
기타 화학섬유 및 방적기,23028
직기,10854
편직기,51061
자동 자수기,X
기타 특수 직기,9872
가죽 및 신발제조 기계,38282
스핀들,8845
재봉기 부품,15520
"기타 섬유, 의복, 가죽 가공기계 부품",17127
웨이퍼 가공 장비,2558494
반도체 조립 장비,3797985
칩마운터,477277
태양전지 제조장비,46123
기타 반도체 제조 장비,2702789
반도체제조 장비 부품,4022595
평판디스플레이 제조용 기계,5636262
평판디스플레이 제조용기계 부품,455039
용접용로봇,229536
도장용로봇,74592
조립용로봇,604885
기타 산업용 로봇,403850
산업용 로봇 부품,674453
펄프제조기계,23806
종이제조 기계(초지기),39776
절단기,79378
골판지제조기,25459
기타 종이가공 기계,39679
펄프 및 종이제조 기계 부품,37171
플라스틱 사출성형기,1003297
플라스틱 압출성형기,166815
진공 및 열성형기,65523
기타 플라스틱 제조 기계,63260
고무 가공기계,82764
고무 및 플라스틱 가공기계 부품,52860
인쇄기계,241377
기타 인쇄관련기계,46567
인쇄 및 제본관련 기계 부품,105939
프레스용 금형,3908001
플라스틱용 금형,3190828
기타 금형,881846
몰드베이스,650894
기타 주형관련 부속품,412801
판유리제조기,18629
기타 유리공업용 기계,40416
산업용 범용 건조기,461967
금속 표면처리기,420737
권선기,31200
화학제품 제조기계,259551
초음파 기기,44366
전자식 모의훈련기기,60705
기타 산업용기계,1697684
산업용기계 부품,1425399
자동차 및 트레일러 제조업,192799402
차량용 가솔린엔진,1401654
차량용 디젤엔진,1544270
경승용차,6898701
소형승용차,7001384
중형승용차,6067991
대형 승용차(배기량2000cc이상),8886779
RV자동차(다목적 승용차),38170105
경버스,X
소형버스,X
중형버스,330404
대형버스,1059012
친환경차,8342755
자동차 KD세트(개조 및 분해),2471251
기타 자동차,70775
경트럭,X
소형트럭,3491488
중형트럭,X
대형트럭,869968
특수목적용 자동차,648241
자동차 차체,1340736
기중기차특장,277808
소방차특장,154557
기타 특장,706523
자동차 구조 및 장치 변경,57018
트레일러,138382
컨테이너(화물운송용),57791
트레일러 부품,26997
자동차 엔진용 신품 부품,14888744
자동차 차체용 신품 부품,22635445
신품 동력전달장치(자동차부품),21096106
신품 스타터모터,1203859
신품 점화플러그,203797
신품 내연기관용 발전기,870811
신품 배전기와 점화코일,142873
신품 점화 및 기타 목적용 와이어링하네스,3772968
신품 와이퍼 및 서리제거용 열선,471225
신품 음향신호용 기구,X
신품 자동차 전자제어,2586743
기타 자동차용 신품 전기장치,112780
자동차용 신품 전기장치의 부품,1641502
신품 조향장치 및 부분품,5465161
신품 현가장지 및 부분품,2097292
신품 제동장치 및 부분품,5411634
자동차용  신품 의자,4659951
자동차용 신품 의자 부품,1868420
신품 차륜 및 부품(자동차부품),2774893
신품 라디에이터 및 부품(자동차부품),444299
신품 배기조직 및  부품(자동차부품),2608631
신품 안전벨트 및 부품(자동차부품),880663
신품 에어백 및 부품(자동차부품),1125673
신품 연료탱크(자동차부품),343250
신품 차량용 히터,489009
신품 촉매컨버터(배기관용; 자동차부품),236823
기타 신품 자동차부품,2492690
자동차 재제조 부품,464680
기타 운송장비 제조업,39817066
탱커(철강제),4516656
벌크선(철강제),1035345
컨테이너선(철강제),4832514
가스및화학운반선,10532120
자동차운반선,90426
기타 화물선(철강제),X
어선(철강제),13693
여객선(철강제),X
기타 항해용 강선,2746970
강선 수리,208511
"여객선(FRP제, 동력식)",8636
"어선(FRP제, 동력식)",113929
합성수지선 수리,7051
목선(동력식),X
비철금속선(동력식),X
특수선박(상업 및 군사용 제외),2876118
물에 뜨는 구조물,128884
기타 선박 수리,12717
선체블록,2784908
모터보트,11755
무동력 보트,X
화물용 기차,X
전동차,1046132
"철도, 궤도의 유지·보수용 차량",X
철도차량 개조 및 재생,15083
제동기,66334
철도선로장치물,301453
철도차량용 의자,9956
"차축, 차륜 및 부품",42750
기타 철도차량 전용부품,435208
동력 항공기,1936146
무동력 항공기,X
항공기 개조 및 재생,286094
대륙 간 탄도 미사일,X
무인 항공기,37513
무인 비행장치,15231
항공기용 엔진,X
항공기엔진 부품,990365
항공기용 의자,4254
기타 항공기 전용부품,2166428
전투용 차량,1273019
전투용 차량부품,501167
모터사이클,46846
모터사이클  전용부품,33846
자전거,26125
환자용 차량,34251
환자용 차량 부품,X
기타 수동식 운송장비,52833
기타 수동식 운송장비 부품,19215
가구 제조업,7612955
매트리스,440441
매트리스 지지물,31440
소파 및 가정용 내장의자,310245
목제 식탁 및 식탁의자,89606
목제 조리대(싱크대),664710
목제 싱크대상판,115063
목제 상(식탁용),5367
찬장,108897
기타 목제 주방가구,81258
목제 책상,103305
목제 의자,63768
거실 및 서재용 목제가구,649485
목제 침대,544094
화장대,34863
장식장,146123
장롱,625927
기타 침실용 목제가구,71686
유아 및 어린이용 목제가구,28224
TV 및 음향기기용 목제캐비닛,2982
신발장,89689
기타 가정용 목제가구,150841
사무용 목제책상,290542
사무용 목제의자,30531
사무용 목제탁자 및 테이블,66916
사무용 보관함,123247
목제 칸막이,53119
목제 상점진열대 및 라커,158474
기타 사무 및 상업용 목제가구,72585
학교 및 공공장소용 가구,145091
실험 및 과학용 가구,48886
주문형 목제가구,144522
목제가구 부품,122065
가정용 금속제 주방가구,86442
기타 가정용 금속가구,122921
사무용 금속제 책상,205348
사무용 금속제 의자,398663
금속제 캐비닛,191696
기타 사무용 보관함,19934
금속제 서가,81868
금속제 칸막이,117768
금속제 진열장 및 라커,270034
기타 금속가구,64385
금속가구 부품,84338
플라스틱제 가구,247017
기타 소재의 가구,16233
플라스틱 및 기타 소재의 가구 부품,92316
기타 제품 제조업,5591375
귀석 및 반귀석(원석을 1차가공한 것),29830
귀금속제의 신변장신구 및 부품,764251
귀금속제의 세공품 및 부품,116726
보석제 제품,27370
주화,203945
금속제 모조 장신용품,66924
비금속제 모조 장신용품,17551
건반 악기 부품,X
디지털 피아노,20824
전자기타,38226
그외 전기식 악기,X
전자악기 부품,13589
기타(guitar),9438
국악기,X
관악기,X
그외 악기,X
기타 악기 부품,43320
"체조,육상 및 체력단련용 장비",255096
놀이터용 장비,212599
낚시대,79834
낚시릴,98563
낚시바늘,25946
낚시 인조찌,X
기타 낚시용구,39207
수렵용구,X
골프용품,185500
운동용 공,5960
운동용 장갑류,X
"양궁, 국궁 및 유사장비",28086
기타 운동 및 경기용구,37718
사람인형,7391
동물 및 기타인형,76404
승용장난감,19991
조립식장난감,100324
기타 장난감,61656
인형 및 장난감 부품,11728
영상게임기,34725
게임기컨트롤러,X
기타 영상게임기 부품,X
기타 오락용품,40904
기타 오락용품의 부품,X
간판 및 광고진열물(비전기식),619709
사인펜,37535
볼펜,97824
샤프펜,3001
기타 펜,32373
연필,35684
크레용 및 파스텔,13639
기타 필기용품,25171
기타 회화용품,22093
스탬프(수동식),32851
잉크리본,X
문구용칠판 및 화이트보드,31884
필기구의 부품,9070
가발 및 유사제품,21486
가발제조용 원사,99023
조화 및 모조 장식품,17794
실물설명용 모형,262437
표구 제품,17193
표구 부속품,34389
일반 단추,62851
스냅 단추,X
지퍼,144124
기타 파스너,11177
단추 및 지퍼 부품,X
담배 라이터,X
담배 필터,356819
양초,22179
착화탄,11667
기타 연소가능물품,22563
라이타 및 흡연용품의 부품,9668
칫솔,168493
청소용 비 및 솔,149421
개인위생용 솔,142336
페인트용 롤러 및 붓,X
산업용 솔,37231
놀이공원용품,X
머리빗,13390
머리핀 및 미장원용 핀,7881
화장용품,153691
향수 및 화장품용 스프레이,X
우산류,13249
지팡이,X
보온용 및 기타 진공용기,16304
마네킹 인형,5928
