품목별,출하액 (백만원)
커버링사,129528
기타가공사,180747
견사 및 견방사,X
마사 및 기타 식물성 섬유사,X
순면직물,258638
혼방면직물,250803
순소모직물,54018
혼방소모직물,57326
순방모직물,32658
혼방방모직물,17942
비스코스직물,36725
아세테이트직물,43032
순합성섬유직물,988162
혼방합성섬유직물,995290
순견직물,27382
혼방견직물,24503
마 및 기타 식물성 직물,5697
파일직물,228808
유리섬유직물,91322
기타 특수직물,265445
이불,479036
담요,10674
타월(직물),179067
침구용 카바,135625
베개 및 유사제품,37855
기타 침구관련제품,39676
자수제품 및 자수용재료,43525
커튼 및 유사제품,416235
텐트,42167
천막 및 덮개(직물),442267
기타 캔버스제품,21395
직물포대,195823
낙하산,X
차량의자 카바,1134255
청소용 포(직물),118017
가정용품 덮개,X
기타 직물제품,535494
견편조물,161114
면편조물,89795
인조섬유편조물,479329
기타 편조물,53921
섬유사 염색,145204
직물 염색,1147431
의복 및 직물제품의 염색,57676
직물원단 날염,270498
의복 및 직물제품의 날염,30311
섬유 호부처리,53591
섬유 기타 가공,37146
카페트,103716
마루덮개 및 유사제품,82591
끈 및 로프(식물성섬유),66670
끈(합성섬유),34561
로프(합성섬유),148864
어망,93439
기타 망,146540
끈가공품,62555
세폭직물,223478
부직포,824107
펠트,208165
부직포 제품,494736
타이어코드 및 타이어직물,413177
고무도포 사,X
기타 특수사,38266
비닐도포직물,100465
고무도포직물,50003
기타도포 및 적층직물,310043
워딩(솜) 제품,408317
편조제품(의복 및 의복액세서리 제외),X
레이스원단 및 망직물(편직된 것),66854
장식용 트리밍,X
직물제 필터,175714
기타 섬유제품,141169
"의복, 의복 액세서리 및 모피제품 제조업",14191325
남자 및 소년용 정장,656133
남자 및 소년용 코트,X
남자 및 소년용 자켓 및 점퍼,839026
남자 및 소년용 바지,67596
여자 및 소녀용 정장,2032581
여자 및 소녀용 코트,237471
여자 및 소녀용 자켓 및 점퍼,1908095
여자 및 소녀용 치마,138455
여자 및 소녀용 바지,68968
남자 및 소년용 속옷,73140
남자 및 소년용 내복 및 잠옷,11749
여자 및 소녀용 속옷,96139
여자용 보정의류,106865
여자 및 소녀용 내복 및 잠옷,9755
한복,11139
남성용 직물셔츠,734577
남성용 니트셔츠(니트원단 구입),63266
여성용 직물 블라우스 및 셔츠,783535
여성용 니트 블라우스 및 셔츠(니트원단 구입),463360
학생용 교복,214702
"사무, 작업 및 위생용 의복",805553
운동복,1750838
남자용 가죽의복,29940
여자용 가죽의복,69340
유아용 의복 및 부속품,913978
기타 봉제의복,136064
천연모피 의복,164780
기타 천연 모피제품,X
인조모피 제품,X
남자용 속옷 (편직결합),16240
여자용 속옷 (편직결합),115741
유아용 내의(편직결합),56476
남자용 셔츠(편직결합),213108
여자용 셔츠 및 브라우스(편직결합),85086
남자용 스웨터(편직결합),61988
여자용 스웨터(편직결합),200217
기타 남성용 편조 외의(편직결합),26044
기타 여성용 편조 외의(편직결합),115525
스타킹,50495
양말,181581
장갑(편직결합),215242
기타 편조제품,16776
모자,111162
섬유 장갑,63257
가죽 장갑,17689
넥타이,20601
목도리,X
스카프,64320
벨트(허리띠),15827
손수건,30750
기타 의복악세서리,26181
의류 부분품,91919
"가죽, 가방 및 신발 제조업",4653278
소가죽,867039
돼지가죽,X
면양 또는 산양(염소)의 가죽,X
기타 동물가죽,X
재생가죽,X
기타 특수가공가죽,34827
천연모피(유연처리 또는 완성가공한 것),X
인조모피,X
핸드백,991367
지갑,110278
서류가방,24561
여행용 가방,16984
학생용 가방,9850
등산용 배낭,30505
기타 가방,53511
케이스(가죽 및 섬유제),146434
산업용 가죽제품,26766
가정용 가죽제품,97777
남자용 구두(단화 포함),347797
여자용 구두(단화 포함),502083
