품목별,출하금액(백만원)
광업및제조업,757066791
광업(10~12),2252346
"석탄,원유및우라늄광업",376437
무연탄,304924
연탄,69113
응집탄,...
금속광업,13835
철광,12814
기타비철금속광,1021
비금속광물광업;연료용제외,1862074
석회쇄석,325902
고령토(카올린),10601
기타점토,3785
화강암원석(파쇄되지않은것),80620
석회석원석(파쇄되지않은것),9619
건설용쇄석(석회쇄석제외),974753
건설용천연모래,333887
천연자갈,17357
공업용천연모래,23813
납석,17772
기타화학및비료원료용광물,10464
소금(채취한것),8149
규석,24190
장석,9864
기타비금속광물,11298
제조업(15~37),754814445
음·식료품제조업,47051300
쇠고기(도축한것),169258
돼지고기(도축한것),1072478
기타도축고기,2919
닭고기,1127525
오리및기타소동물고기,61783
도축고기및가금고기부산물,42619
베이컨,19841
햄,347136
육지동물소시지및유사제품,195912
육지동물통조림및병조림,85234
육지동물포장육,1386577
기타고기가공품,488180
어육(신선및냉동한것),128116
어류부산물(신선및냉동한것),21842
어묵및유사가공품,327125
어육소시지및어묵햄,60279
어류훈제및조미조제식품,210375
기타수산동물조리가공품,38736
참치통조림,152031
골뱅이통조림,69327
굴통조림,37906
기타수산동물통조림,54008
냉동참치,154322
냉동고등어,37256
동태,41432
기타어류및부산물의냉동품,117328
갑각류냉동품,42454
연체동물냉동품,165432
명태건제품,96119
멸치건제품,52961
오징어류건제품,63801
어류의채(건조한것),43221
기타수산동물및부산물건제품,56460
멸치젓류,30967
명란젓류,84604
기타젓갈류,122341
어류염장품,158417
김,362905
미역,109223
기타해조류가공품,94460
비식용어분,26178
농축과실즙및채소즙,72124
과실및채소주스,84143
과실통조림,68440
잼및젤리통조림,143831
냉동과실,31619
기타과실가공품,16975
김치,686425
단무지,67423
기타과실및채소절임식품,94325
채소통조림,11448
건조채소,84533
기타채소가공품,113172
식용지방(육지동물의것),56609
비식용지방(육지동물의것),41117
수산동물조유(원유),9554
동물성지방부산물,60117
참기름,116934
들기름,7908
옥수수원유(압착한것),6329
기타식물성원유(압착한것),17729
대두박,203145
기타식물성유박,20246
콩기름,412567
옥수수기름,114983
마가린,66895
쇼트닝,87987
기타식물성정제유및가공유,74569
시유,2011985
분유,448982
요구르트,1244191
버터,18576
치즈,212368
기타낙농제품,37229
아이스크림,627458
빙과,513000
쌀(도정한것),3626945
보리쌀(도정한것),43003
기타도정곡물,79969
도정부산물,22847
밀가루,822302
콩가루,3427
기타곡물가루,92180
제분부산물,30661
혼합조제분말,212718
씨리얼식품,...
앙금류,48626
선식류,69231
기타곡물조제식품,67831
전분,250347
기타전분제품,27121
포도당,36269
물엿,276036
과당,197132
기타당류,62308
배합사료,4602533
애완동물사료,15466
사료첨가제,59763
기타사료,498584
빵류(제조도매),654039
케이크(제조도매),249215
빵(제조소매),172787
떡(제조도매),100663
떡(제조소매),23860
미과,79907
스낵및기타건과자류,1222475
정제당,659071
코코아분말,37016
초콜릿류,583252
캔디류,390838
껌,351642
국수,159796
당면,49988
냉면,54877
기타유사국수,25192
라면,1247577
기타인스턴트면류,37629
고추가루,153475
후추가루,28437
혼합조미료,283729
기타천연조미료,45103
마요네즈,109559
케찹,58673
카레,50125
기타소스류,455788
간장,152268
된장,88362
고추장,277582
춘장,24273
메주,7533
기타장류,96163
화학조미료,276611
식초,43237
맛소금,3262
커피크리머,127180
효모,31494
기타식품첨가물,286499
원두커피,33878
인스턴트커피,203228
커피믹스,220093
녹차,219191
홍차,14121
"치커리차,보리차및옥수수차",25978
율무차,10569
유자차,26042
꿀차,10363
기타가공차,63214
조제수프,79543
이유식,92281
음료베이스,62603
두부,235824
유부,27001
기타묵및유사제품,19549
백삼,14026
홍삼,103151
인삼분말,13979
인삼농축액,42306
인삼차,34379
인삼과자,31924
기타인삼기저식품,90062
냉동조리식품,484271
김밥(제조도매),100543
도시락(제조도매),358148
레토르트식품,48182
기타식사용조리식품(제조도매),196048
건강원제품,15526
조제건강식품,387544
계란및새알가공품,77371
견과가공품,41793
기타식품,2125
주정,300120
소주,1268598
위스키,234842
매실주,52618
기타증류주,23829
탁주및약주,273562
청주,120739
포도주및샴페인,13800
기타발효주,68769
맥아,29724
맥주,1909825
얼음,38990
생수,190137
탄산음료,1111471
알카리성이온음료,167038
식물성섬유음료,114599
인삼음료,36860
과실및채소음료,1181037
두유,289934
커피음료,193095
기타비알콜성음료,311010
담배제조업,4370947
잎담배,522394
담배,3840474
기타권련,...
섬유제품제조업;봉제의복제외,18289619
견사및견방사,...
방적용면,45207
순면사,630869
면혼방사,263298
방적용모,12561
소모사,99307
방모사,115510
재생섬유사,26141
합성섬유사,597981
재봉사,413123
가공사,395514
마사및기타식물성섬유사,...
재생섬유직물,168117
합성섬유직물,2908150
순면직물,361979
혼방면직물,183177
소모직물,359428
방모직물,89562
견직물,92397
마및기타식물성직물,11528
파일직물,231312
유리섬유직물,76348
기타특수직물,96071
편직물,1081596
남자용속옷(편직결합),141291
여자용속옷(편직결합),153278
유아용내의(편직결합),21679
남자용셔츠(편직결합),209272
여자용셔츠및브라우스(편직결합),290386
남자용스웨터(편직결합),133837
여자용스웨터(편직결합),518298
기타남성용편조외의(편직결합),16324
기타여성용편조외의(편직결합),29408
스타킹,80535
양말,406230
장갑(편직결합),135767
기타편조의복부속품(편직결합),30826
섬유사염색,251572
직물염색,1250749
직물원단날염,193091
의복및직물제품의날염,33615
섬유호부처리,26780
의복및직물제품의염색가공,88856
섬유기타가공,120458
이불,236158
담요,187510
타월(직물),145824
침구용카바,93747
기타침구관련제품,51212
자수제품,223763
직물제커튼및블라인드,93023
텐트,36638
천막및덮개(직물),548835
기타캔버스제품,35596
직물포대,253339
낙하산,9968
차량의자카바,667730
청소용포(직물),81273
가정용품덮개,29866
기타가정용직물제품,62327
카펫및유사제품,213877
끈및로프(식물성섬유),9832
끈및로프(합성섬유),190219
어망,84721
기타망,42709
끈가공품,74243
세폭직물,231083
워딩(솜)제품,139915
부직포및펠트,477323
부직포제품,312661
타이어코드및타이어직물,594899
고무도포사,12737
기타특수사및특수직물,72748
비닐도포직물,89844
고무도포직물,60920
기타도포및적층직물,151352
레이스원단및망직물(편직된것),164350
장식용트리밍,6173
직물제필터,143440
기타섬유제품,62934
봉제의복및모피제품제조업,10269904
남자및소년용정장,682182
남자및소년용코트,46221
남자및소년용자켓및점퍼,1068957
남자및소년용바지,425314
여자및소녀용정장,1867620
여자및소녀용코트,112861
여자및소녀용자켓및점퍼,1230478
여자및소녀용치마,185704
여자및소녀용바지,268603
남자및소년용속옷,106835
남자및소년용내복및잠옷,23211
여자및소녀용속옷,185970
여자용보정의류,185161
여자및소녀용내복및잠옷,43409
한복,15799
남성용직물셔츠,589810
남성용니트셔츠(니트원단구입),117839
여성용직물블라우스및셔츠,445138
