품목별,출하금액(백만원)
광업 및 제조업,1468456498
광 업(05~08),3369343
"석탄, 원유 및 천연가스 광업",360292
무연탄(채굴),216141
원유(채굴한 것),X
천연가스(채굴한 것),X
금속 광업,X
철광(채굴 및 정광),X
금·은 및 백금 광업,X
연(납)광 및 아연광(채굴 및 정광),X
비금속광물 광업; 연료용 제외,2855088
석회쇄석(채굴),594636
고령토(채굴),24990
기타 점토(채굴),X
화강암 원석(파쇄되지 않은 것),95599
석회석 원석(파쇄되지 않은 것),42742
건설용 쇄석(석회쇄석 제외),1377595
건설용 천연모래,452276
천연 자갈,60321
공업용 천연모래,97249
납석(채굴),21895
기타 화학 및 비료 원료용 광물(채굴),X
천일염(채취한 것),21473
규석(채굴),24278
장석(채굴),X
기타 비금속광물,20385
광업 지원 서비스업,X
기타 광업 지원 서비스,X
제 조 업(10~34),1465087155
식료품 제조업,76251120
쇠고기(도축),463205
돼지고기(도축),1480520
기타 도축고기,X
원피,X
육류 도축고기 부산물,224814
닭고기,2589867
오리고기,245367
기타 가금류고기,X
기타 가금고기 부산물,27319
"가금류 소시지, 통조림 및 병조림",6776
가금류 포장육,1274275
기타 가금류 가공품,434695
육지동물 포장육,4510834
육지동물 통조림 및 병조림,19216
베이컨,175427
햄(가축),720772
소시지(축육),546548
기타 육지동물 소시지 유사제품,282416
기타 고기가공품,1072246
어묵 및 유사가공품,674986
어육 소시지 및 어묵햄,233514
조미오징어,318456
조미쥐치포,34334
기타 조미조제식품 및 어류훈제품,85130
기타 수산동물 조리가공품,102682
참치통조림,455366
골뱅이통조림,60794
굴 통조림,18029
꽁치통조림,15657
기타 수산동물 통조림,37748
명태 건제품,170954
멸치 건제품,119282
오징어류 건제품,15913
어류의 채(건조한 것),70021
기타 소건품,16626
기타 자건품,18451
기타 수산동물 및 부산물 건제품,8424
멸치젓류,6745
명란젓 및 창란젓,104784
기타 젓갈류,108372
어류 염장품,140224
냉동 참치,282806
냉동 고등어,120558
동태,47620
기타 어류 및 부산물의 냉동품,195527
갑각류 냉동품,119023
연체동물 냉동품,280678
"어육(신선 및 냉동한 것, 등뼈 제거)",515386
비식용 어분,20957
기타 수산동물 가공품,41609
어류 부산물(신선 및 냉동한 것),26377
김,1465616
미역,169858
톳,37818
기타 해조류 가공품,95630
김치,1282919
단무지,268203
기타 과실 및 채소 절임식품,263041
오렌지원액,X
농축 과실즙,170285
농축 채소즙,201482
과실주스,143470
채소주스,68370
과실 통조림,48622
잼 및 젤리 통조림,168488
냉동 과실,36477
기타 과실가공품,94824
채소 통조림,15219
건조 채소,122233
기타 채소가공품,382426
견과 가공품,277093
식용 지방(육지동물의 것),62747
비식용 지방(육지동물의 것),45892
수산동물 조유(원유),20460
동물성 지방 부산물,176035
참기름,201816
들기름,25643
옥수수 원유(압착한 것),11806
채종유(유채유),24654
기타 식물성 원유(압착한 것),24104
대두박,500657
기타 식물성 유박,X
콩기름(대두유),589637
옥수수기름,106466
올리브유,213854
마아가린,98638
쇼트닝,91666
기타 식물성 정제유 및 가공유,220697
시유,2720467
연유,20530
조제분유(우유기저),312865
분유,157026
발효유,1592820
버터,29563
치즈,703853
기타 낙농제품,300763
아이스크림,1025218
빙과,622520
쌀(도정한 것),1534725
보리쌀(도정한 것),34385
기타 도정 곡물,69316
도정 부산물,52136
밀가루,1102146
콩가루,3007
옥수수가루,80837
기타 곡물가루,146743
소맥피,21950
제분 부산물,12191
곡물 혼합 분말 및 반죽,813984
선식류,90777
앙금류,99650
씨리얼식품,217282
기타 곡물조제식품,142384
고구마전분,17871
옥수수전분,305660
소맥전분,X
기타 전분제품,90895
포도당,50584
물엿,395805
과당,365077
기타 당류,68874
떡(제조도매),340974
떡(제조소매),49201
식빵(제조도매),439792
도넛(제조도매),86713
피자(제조도매),16902
기타 빵류(제조도매),1273805
케이크(제조도매),675479
코코아 분말,53505
초콜릿류,1006584
캔디류,355458
껌,224824
미과,78107
스낵류,1171104
건과자류,636292
기타 곡분과자,115548
원당,X
정제당,920706
국수,292204
당면,52725
냉면,140971
기타 유사국수,65130
라면,2253618
기타 인스턴트면류,53043
글루타민소다,X
기타 화학조미료,120758
식초,109715
맛소금,X
고추가루,242212
후추가루,44180
혼합 조미료,1254503
기타 천연조미료,190578
마요네즈,249519
케찹,111117
카레,95119
기타 혼합조제조미료,1046744
간장,317528
된장,189192
고추장,448194
춘장,37039
메주,11623
혼합장,36541
기타 장류,120396
커피 크리머,160876
효모,43135
가라기난,X
식품용 색소,73143
기타 식품첨가물,378473
김밥(제조도매),327126
도시락(제조도매),854995
냉동만두,719595
기타 냉동조리식품,1496714
레토르트 식품,832084
기타 식사용 조리식품(제조도매),737202
원두커피,285850
인스턴트 커피,516835
커피믹스,870196
녹차,114378
홍차,19448
"치커리차, 보리차 및 옥수수차",172200
율무차,34398
유자차,108675
꿀차,6672
기타 가공차,184296
조제수프,99681
이유식(우유기저 제외),182819
음료 베이스,252937
두부,523045
유부,65372
기타 묵 및 유사제품,58514
백삼,2625
홍삼,365155
인삼분말,33782
인삼즙,298146
인삼차,180303
인삼과자,141496
기타 인삼기저 식품,16882
건강원제품,105289
기타 건강보조용 액화식품,59005
스쿠알렌식품,6424
효소식품,255960
정제어유가공식품,67040
알로에식품,78374
기타 건강기능식품,975798
계란 및 새알 가공품,426988
기타 식품,58924
배합사료(양우용),3155167
배합사료(양돈용),2301926
배합사료(양계용),1709211
배합사료(기타 동물),1365688
배합사료(양어용),219040
애완동물사료,256825
단미사료,95327
사료 첨가제,351150
기타 사료,106023
동물용 조제식품,28526
음료 제조업,11784516
탁주,315582
약주,53407
맥아,X
맥주,2466683
청주,X
"포도주, 샴페인",11608
복분자주,30386
기타 발효주,14555
주정,437860
소주,1835334
위스키,177733
매실주,X
기타 증류주 및 합성주,38760
얼음,80854
생수,761658
콜라,521935
사이다,320415
기타 탄산음료,620579
알카리성 이온음료,111949
식물성 섬유음료,103731
인삼음료,455666
과실음료,946694
채소음료,34945
커피 음료,1008830
두유,407078
기타 비알콜성 음료,969034
담배 제조업,3802582
담배잎(재건조),X
담배,3517804
기타 궐련,X
섬유제품 제조업; 의복 제외,16869326
방적용 면,X
순면사,503102
면혼방사,235714
방적용 모,28906
순소모사,48052
혼방소모사,33349
순방모사,69972
혼방방모사,59969
재생섬유사,155851
순합성섬유사,135379
혼방합성섬유사,446269
재봉사,66506
편물사,105685
커버링사,181672
기타가공사,212865
견사 및 견방사,X
마사 및 기타 식물성 섬유사,X
순면직물,353503
혼방면직물,211048
순소모직물,63586
혼방소모직물,57321
순방모직물,21252
혼방방모직물,29254
비스코스직물,45883
아세테이트직물,X
순합성섬유직물,1094604
혼방합성섬유직물,1242278
순견직물,29971
혼방견직물,10733
마 및 기타 식물성 직물,6781
파일직물,247201
유리섬유직물,93690
기타 특수직물,117484
이불,434209
담요,27687
타월(직물),182282
린넨,X
침구용 카바,155478
베개 및 유사제품,66590
기타 침구관련제품,20835
자수제품 및 자수용재료,41895
커튼 및 유사제품,393154
텐트,35506
천막 및 덮개(직물),431305
기타 캔버스제품,18227
직물포대,226246
낙하산,X
차량의자 카바,1444345
청소용 포(직물),128760
가정용품 덮개,X
기타 직물제품,376118
견편조물,187389
면편조물,123785
인조섬유편조물,415530
기타 편조물,58097
섬유사 염색,215765
직물 염색,1105653
의복 및 직물제품의 염색,49275
직물원단 날염,331083
의복 및 직물제품의 날염,50503
섬유 호부처리,48244
섬유 기타 가공,19845
카페트,102012
마루덮개 및 유사제품,112501
끈 및 로프(식물성섬유),47648
끈(합성섬유),30629
로프(합성섬유),184860
어망,88190
기타 망,136636
끈가공품,57220
세폭직물,204691
부직포,874926
펠트,160769
부직포 제품,453494
타이어코드 및 타이어직물,645293
고무도포 사,X
기타 특수사,42308
비닐도포직물,100623
고무도포직물,58580
기타도포 및 적층직물,254892
워딩(솜) 제품,412728
편조제품(의복 및 의복액세서리 제외),X
레이스원단 및 망직물(편직된 것),87121
장식용 트리밍,X
직물제 필터,140621
기타 섬유제품,87593
"의복, 의복 액세서리 및 모피제품 제조업",15036594
남자 및 소년용 정장,976027
남자 및 소년용 코트,23252
남자 및 소년용 자켓 및 점퍼,822316
남자 및 소년용 바지,73162
여자 및 소녀용 정장,3006692
여자 및 소녀용 코트,250388
여자 및 소녀용 자켓 및 점퍼,1668977
여자 및 소녀용 치마,165448
여자 및 소녀용 바지,58141
남자 및 소년용 속옷,64212
남자 및 소년용 내복 및 잠옷,31502
여자 및 소녀용 속옷,96011
여자용 보정의류,142499
여자 및 소녀용 내복 및 잠옷,15620
한복,17276
남성용 직물셔츠,758908
남성용 니트셔츠(니트원단 구입),86275
