품목별,출하금액(백만원)
광업및제조업,1469946973
광업,2797678
"석탄,원유및천연가스광업",548996
무연탄(채굴),303420
원유(채굴한것),...
천연가스(채굴한것),...
금속광업,...
철광(채굴및정광),50819
귀금속광물(채굴및정광),...
연(납)광및아연광(채굴및정광),...
기타비철금속광(채굴및정광),...
비금속광물광업;연료용제외,2158908
석회쇄석(채굴),510335
고령토(채굴),...
기타점토(채굴),...
화강암원석(파쇄되지않은것),64016
석회석원석(파쇄되지않은것),24604
건설용쇄석(석회쇄석제외),972495
건설용천연모래,335513
천연자갈,74815
공업용천연모래,92444
납석(채굴),23436
소금(채취한것),8111
규석(채굴),17546
장석(채굴),...
기타비금속광물,12521
광업지원서비스업,...
기타광업지원서비스,...
제조업,1467149295
식료품제조업,63876583
쇠고기(도축),266988
돼지고기(도축),1199885
기타도축고기,...
닭고기,2152759
오리고기,289147
원피,...
도축고기부산물,123702
가금고기(소동물포함)부산물,198407
"가금류소지시,통조림및병조림",...
가금류포장육,774494
기타가금류가공품,653172
베이컨,89851
햄(가축),608334
소시지(축육),552825
기타육지동물소시지유사제품,128666
육지동물통조림및병조림,13724
육지동물포장육,2211332
기타고기가공품,618593
어묵및유사가공품,525767
어육소시지및어묵햄,175863
조미오징어,227216
조미쥐치포,25874
기타조미조제식품및어류훈제품,119126
기타수산동물조리가공품,50317
참치통조림,519134
골뱅이통조림,42881
굴통조림,11213
꽁치통조림,10774
기타수산동물통조림,17443
명태건제품,105983
멸치건제품,108505
오징어류건제품,35199
어류의채(건조한것),46732
기타소건품,75066
기타자건품,9775
기타수산동물및부산물건제품,3483
멸치젓류,17198
명란젓및창란젓,73219
기타젓갈류,109491
어류염장품,150870
냉동참치,293398
냉동고등어,84778
동태,7154
기타어류및부산물의냉동품,148471
갑각류냉동품,41507
연체동물냉동품,188290
"어육(신선및냉동한것,등뼈제거)",339592
비식용어분,26319
기타수산동물가공품,6469
어류부산물(신선및냉동한것),22216
김,688037
미역,139665
톳,26178
기타해조류가공품,84413
김치,1015319
단무지,221950
기타과실및채소절임식품,187928
오렌지원액,27794
농축과실즙,91761
농축채소즙,128025
과실주스,118944
채소주스,62884
과실통조림,68733
잼및젤리통조림,186218
냉동과실,46609
기타과실가공품,59071
채소통조림,12964
건조채소,77209
기타채소가공품,191278
견과가공품,134898
식용지방(육지동물의것),97091
비식용지방(육지동물의것),53317
수산동물조유(원유),11437
동물성지방부산물,209276
참기름,131961
들기름,8469
옥수수원유(압착한것),11638
채종유(유채유),...
기타식물성원유(압착한것),32161
대두박,586276
기타식물성유박,5084
콩기름(대두유),683941
옥수수기름,64212
올리브유,47408
마아가린,76280
쇼트닝,167224
기타식물성정제유및가공유,178105
시유,2586478
연유,12865
조제분유(우유기저),268336
분유,173444
발효유,1480564
버터,32056
치즈,456365
기타낙농제품,201921
아이스크림,999513
빙과,481666
쌀(도정한것),1602180
보리쌀(도정한것),40005
기타도정곡물,124446
도정부산물,32659
밀가루,1320209
콩가루,4163
옥수수가루,62543
기타곡물가루,123272
소맥피,...
제분부산물,...
제과용혼합분말및반죽,714273
선식류,119867
앙금류,135330
씨리얼식품,163882
기타곡물조제식품,62957
고구마전분,9964
옥수수전분,254352
소맥전분,...
기타전분제품,215967
포도당,81810
물엿,364452
과당,257679
기타당류,83192
떡(제조도매),246508
떡(제조소매),32730
식빵(제조도매),680659
도넛(제조도매),41790
피자(제조도매),19808
기타빵류(제조도매),1207865
케이크(제조도매),345383
빵(제조소매),89211
코코아분말,26881
초콜릿류,938971
캔디류,379943
껌,302489
미과,56359
스낵류,844046
건과자류,336380
기타곡분과자,298162
정제당,1121541
국수,205760
당면,49066
냉면,81955
기타유사국수,59407
라면,1689874
기타인스턴트면류,104898
기타화학조미료,132738
식초,172033
맛소금,14975
고추가루,219087
후추가루,27230
혼합조미료,775860
기타천연조미료,119923
마요네즈,273318
케찹,62492
카레,68131
기타혼합조제조미료,830051
간장,348970
된장,145980
고추장,276390
춘장,24986
메주,5604
혼합장,45642
기타장류,71409
커피크리머,189481
효모,58363
가라기난,...
식품용색소,43539
기타식품첨가물,306493
원두커피,144890
인스턴트커피,318605
커피믹스,609954
녹차,170679
홍차,37546
"치커리차,보리차및옥수수차",51758
율무차,57411
유자차,61782
꿀차,44060
기타가공차,86033
조제수프,36310
이유식,130352
음료베이스,309561
두부,355450
유부,62771
기타묵및유사제품,48197
백삼,20831
홍삼,294226
인삼분말,35033
인삼즙,189974
인삼차,147255
인삼과자,130478
기타인삼기저식품,27253
건강원제품,85777
기타건강보조용액화식품,43028
스쿠알렌식품,100043
효소식품,126456
정제어유가공식품,65711
알로에식품,50629
기타건강기능식품,506479
냉동만두,388720
기타냉동조리식품,950059
김밥(제조도매),204158
도시락(제조도매),432769
레토르트식품,596515
기타식사용조리식품(제조도매),329377
계란및새알가공품,211824
기타식품,34806
배합사료(양우용),4234664
배합사료(양돈용),2557179
배합사료(양계용),1612482
배합사료(기타동물),1401542
애완동물사료,165186
사료첨가제,206215
배합사료(양어용),102318
기타사료,581917
동물용조제식품,5057
음료제조업,10282958
탁주,376171
약주,60075
청주,35418
맥주,2109628
"포도주,샴페인",10035
복분자주,34968
기타발효주,7171
주정,433541
소주,1504920
위스키,110454
매실주,...
기타증류주및합성주,31958
얼음,...
생수,482134
콜라,246772
사이다,510097
기타탄산음료,358253
알카리성이온음료,164631
식물성섬유음료,117692
인삼음료,178610
과실음료,1012077
채소음료,31448
두유,439281
커피음료,614230
기타비알콜성음료,1352778
담배제조업,3385666
담배잎(재건조),...
담배,...
섬유제품제조업;의복제외,17799106
방적용면,65318
순면사,720815
면혼방사,207693
방적용모,10227
순소모사,40609
혼방소모사,50215
순방모사,48128
혼방방모사,90486
재생섬유사,110108
순합성섬유사,184955
혼방합성섬유사,308486
재봉사,126334
편물사,61583
커버링사,245146
기타가공사,352866
견사및견방사,...
마사및기타식물성섬유사,...
순면직물,265172
혼방면직물,228589
순소모직물,52215
혼방소모직물,66758
순방모직물,29780
혼방방모직물,50838
비스코스직물,95058
아세테이트직물,38376
순합성섬유직물,1408607
혼방합성섬유직물,1392209
순견직물,47901
혼방견직물,4703
마및기타식물성직물,10944
파일직물,275024
유리섬유직물,132537
기타특수직물,215483
이불,347529
담요,115637
타월(직물),153846
침구용카바,106546
베개및유사제품,22988
기타침구관련제품,14480
자수제품및자수재료셋트,80864
커튼및유사제품,179911
텐트,17150
천막및덮개(직물),497749
기타캔버스제품,25790
직물포대,205598
낙하산,...
차량의자카바,934741
청소용포(직물),78356
기타직물제품,204360
견편조물,150395
면편조물,209160
인조섬유편조물,495460
기타편조물,72084
편조제품(의복및의복액세서리제외),...
섬유사염색,199655
직물염색,1376501
직물원단날염,392752
의복및직물제품의날염,79437
섬유호부처리,45783
의복및직물제품의염색가공,36544
섬유기타가공,57493
카페트,124040
마루덮개및유사제품,110028
끈및로프(식물성섬유),42383
끈(합성섬유),26820
로프(합성섬유),210675
어망,76350
기타망,112689
끈가공품,41316
세폭직물,231639
부직포,803016
펠트,110601
부직포제품,580480
타이어코드및타이어직물,859490
고무도포사,...
기타특수사및특수직물,118857
비닐도포직물,126608
고무도포직물,67551
기타도포및적층직물,245492
워딩(솜)제품,540152
레이스원단및망직물(편직된것),124686
장식용트리밍,...
직물제필터,116637
기타섬유제품,69288
"의복,의복액세서리및모피제품제조업",15912093
남자및소년용정장,708010
남자및소년용코트,...
남자및소년용자켓및점퍼,655274
남자및소년용바지,218482
여자및소녀용정장,3096586
여자및소녀용코트,86131
여자및소녀용자켓및점퍼,1700276
여자및소녀용치마,95576
여자및소녀용바지,164164
남자및소년용속옷,120115
남자및소년용내복및잠옷,14021
여자및소녀용속옷,41498
여자용보정의류,322826
여자및소녀용내복및잠옷,15362
한복,6313
남성용직물셔츠,513775
남성용니트셔츠(니트원단구입),208251
여성용직물블라우스및셔츠,903044
여성용니트블라우스및셔츠(니트원단구입),663531
운동복,2229377
학생용교복,155531
"사무,작업및위생용의복",499351
남자용가죽의복,28552
여자용가죽의복,38867
유아용의복및부속품,359532
기타봉제의복,108280
천연모피(유연처리또는완성가공한것),10885
천연모피의복,230839
기타천연모피제품,...
인조모피,...
인조모피제품,36123
남자용속옷(편직결합),64528
여자용속옷(편직결합),121197
유아용내의(편직결합),...
남자용셔츠(편직결합),163507
여자용셔츠및브라우스(편직결합),366062
남자용스웨터(편직결합),124029
여자용스웨터(편직결합),414771
기타남성용편조외의(편직결합),112317
기타여성용편조외의(편직결합),243206
스타킹,76282
양말,232175
장갑(편직결합),232870
기타편조제품,13204
모자,136696
섬유장갑,76830
가죽장갑,10069
넥타이,48295
남자용목도리,...
스카프,27555
여자용목도리,13308
벨트(허리띠),8776
손수건,46893
의류부분품,72467
기타의복악세서리,26248
"가죽,가방및신발제조업",5216048
소가죽,1412469
돼지가죽,24701
면양또는산양(염소)의가죽,43223
기타동물가죽,20210
재생가죽,...
기타특수가공가죽,30540
핸드백,627770
지갑,163353
서류가방,82104
여행용가방,21921
학생용가방,18269
등산용베낭,52357
기타가방,30538
케이스(가죽및섬유제),349017
산업용가죽제품,...
가정용가죽제품,91334
남자용구두(단화포함),289385
여자용구두(단화포함),593396
아동용구두(단화포함),...
가죽장화,37552
고무장화,14410
프라스틱및고무제운동화,17787
기타플라스틱및고무제신발,20512
직물슬리퍼,...
플라스틱및고무슬리퍼,39825
가죽슬리퍼,13440
운동화,378303
가죽등산화,254124
가죽샌달,26338
기타직물갑피제또는가죽갑피제신발,76028
스포츠화,32269
가죽제신발부분품,145444
플라스틱및고무제운동화부분품,127311
기타플라스틱및고무제신발부분품,93089
기타재료제의신발부분품,32746
목재및나무제품제조업;가구제외,4431217
소각재,67926
각재,685974
판재,59278
제재부산물,21980
마루용판재,90236
우드몰딩,116183
궤도용침목,...
목모와목분,38541
칩상또는삭편상의목재,49313
기타표면가공목재,38227
표면처리및방부처리목재,104366
단판,9880
일반합판,270400
가공합판,306250
파티클보드(PB),178088
MDF(중밀도섬유판),549636
강화마루,...
재생목재,44832
목재의창문및창문틀,58677
목재의문및문틀,218271
목재패널,280441
목재의건물부착물,101015
목재깔판류및기타적재용판,532231
목재통및관련부품,19702
목재의포장및운반용상자,421553
목재의케이블드럼,37759
목재도구및부품,11345
주방용또는식탁용목제품,17060
목재그림틀및사진틀,22315
기타장식용목제품,9294
장의용목관,15795
기타목제품,43309
콜크및콜크제품,...
대나무돗자리,...
기타조물제품,...
"펄프,종이및종이제품제조업",20846829
기계펄프,...
화학펄프,...
기타펄프,...
신문용지,1133720
백상지,1085034
중질지,236411
박엽지,172306
아트지,1985278
정보용지,385140
지폐용지,...
기타인쇄및필기용지,65691
크라프트지,237283
골판지원지,2031433
백판지,753268
기타판지,38614
적층가공지(박지),397208
포장지,294913
접착지,120907
기타가공지,268121
수제지,22113
위생용지,290697
기타종이및판지,169635
골판지,597438
골판지상자,3954062
기타골판지제관련제품,62392
종이포대,228113
종이가방,145060
판지상자및용기,516892
식품위생용종이상자,84733
식품용종이용기,261705
기타종이상자및용기(판지및골판지이외),356348
지관(판지및골판지이외),257976
전자복사기용지(소매용),76128
노트류,180162
컴퓨터용지,157045
앨범,46813
바인더,61798
사무용봉투,74428
장부류,4345
기타문구용종이제품,62378
화장지,1166586
종이타월,316941
종이생리대,493310
종이기저귀,643343
기타위생용종이제품,...
종이벽지,287207
직물벽지,64933
장판지,...
여과지,169896
종이라벨,427977
식품용종이제품(용기및상자제외),218650
기타종이및판지제품,32912
인쇄및기록매체복제업,427916
인쇄판,345654
오디오복제물(테이프),...
오디오복제물(CD),52552
비디오복제물(테이프),...
비디오복제물(CD),10257
기타기록매체복제물,...
"코크스,연탄및석유정제품제조업",146591534
석탄코크스,49000
콜타르(조상의것),...
연탄,182288
휘발유,20403547
제트유,21640663
등유,6284997
경유,47605423
경질중유(벙커A유),...
중유(벙커B유),231357
벙커C유,13288932
나프타,22502765
솔벤트나프타,1222361
정제혼합용원료유,2129679
프로판가스,1624332
부탄가스,2669718
석유가스,...
윤활유(석유기저),2582788
그리스(석유기저),101318
재생윤활유및그리스,204616
파라핀,254708
아스팔트,2892148
재생유,366485
기타석유정제품,...
화학물질및화학제품제조업;의약품제외,167995218
부탄및부틸렌(나프타분해물),908198
에틸렌,5864078
프로필렌,6081676
부타디엔,3509130
기타비환식탄화수소,...
알킬벤젠,3845613
기타벤젠,1896745
톨루엔,3496491
드니트로톨루엔(DNT),...
파라크실렌,10206301
올소크실렌,...
스티렌모노모(SM),3448267
크실렌,2113001
기타환식탄화수소,54761
이염화에틸렌(EDC),252872
염화비닐모노모(VCM),1015447
CFM(클로로포름),...
기타탄화수소유도체,984334
숯,19886
기타검및나무화합물,49764
콜탈핏치,106889
석탄화학물,99146
부탄올,...
옥탄올,335992
메탄올,...
에틸알콜(공업용),...
에틸렌글리콜(EG),1540835
프로필렌글리콜(PG),...
폴리프로필렌글리콜(PPG),1346100
페놀,439137
기타알코올및관련유도체,62252
공업용지방산,...
초산,...
초산에틸,...
아크릴산,...
무수마레인산,57406
무수프탈산(PA),554951
테레프탈산(TPA),7243223
테레프탈산디메틸(DMT),...
아크릴레이트,261299
메틸메타크릴레이트(MMA),...
기타카르복실산및그유도체,271498
MTBE,540425
아민,78539
아크릴로니트릴(AN),...
이소시아네이트(TDI),802276
이소시아네이트(MDI),...
카프로락탐,...
아세톤,...
포르말린,35847
가소제,1200699
ECH(에피클로로히드린),...
산화프로필렌,...
초산에틸(초산비닐),...
DMF(디메틸포름아미드),...
아디핀산,...
BPA(biphendA),1037112
고순도이소프탈산,...
PTMEG,...
기타기초유기화합물,446840
수소,1173034
질소,628697
산소,449800
아세틸렌가스,29797
이산화탄소,124502
아르곤가스,177634
기타산업용가스,338234
구입한압축및액화가스의정제,...
염소,260521
염산,62929
수산화나트륨,603817
염소산나트륨,...
기타가성소다,219911
소다회,...
기타소다공업제품,52604
카본블랙,947858
화이트카본,...
이산화규소,...
과산화수소,340641
황,242957
합성귀석,...
오산화인,137697
황산,253579
인산,15332
황산알루미늄,47476
황산마그네슘,30849
탄산칼슘,208152
규산소다,47512
시안화나트륨,...
수산화알루미늄,...
탄산칼륨,...
기타칼륨염,132899
기타금속무기화합물,190988
핵연료,...
폴리실리콘,1325952
잉곳및웨이퍼(태양전지용),530542
아연화,199959
산화티타늄,...
산화철,157979
기타무기안료,152991
천연색소,18495
유연제,147543
분산염료,153637
산성및매염염료,34259
염기성염료,...
직접염료,39450
반응성염료,119210
형광염료,36505
플라스틱착색제(마스터배치),692744
색소중간착색제,5363
기타합성염료,98030
레이크계안료,102728
색소안료,202167
질산,...
암모니아,227541
요소,113710
황산암모늄,223724
기타질소비료,...
인산비료,...
황산칼륨(황산칼리),...
복합비료,1308992
유기질비료,521127
기타비료,165446
SBR,1933246
BR,1825009
SB라텍스,787472
기타합성고무,734518
고밀도폴리에틸렌,4427947
저밀도폴리에틸렌,3995949
폴리스티렌,2281065
ABS수지,5311497
PVC수지,2460502
폴리프로필렌,8550285
에폭시수지,1129853
불포화폴리에스터수지,353979
선형폴리에스터수지,1241539
아크릴수지,462049
요소수지,25317
멜라민수지,103376
페놀수지,346292
폴리우레탄,584219
엔지니어링플라스틱수지,4351788
실리콘수지,975076
석유수지,...
PETG수지,...
셀룰로스에테르,...
K-RESIN,...
폴리에틸렌테레프탈렐이트(PET),695694
기타합성수지,294990
구입한수지의배합물,1475375
재생수지,788920
가정용살균및살충제,121858
살충제(농업용),443949
살균제(농업용),321473
제초제(농업용),237602
생장조절제,19596
기타농약및그기조제,60559
유성페인트,1625484
수성페인트,429051
에나멜페인트,121697
락카,99001
우레탄도료,349707
아크릴도료,141321
에폭시도료,482807
기타합성수지도료,832415
신너,473376
도료충전제,115760
EMC(에폭시몰딩컴파운드),...
기타도료및관련제품,556135
요업용유약,140788
옵셋잉크,331749
그라비아잉크,228849
디지털잉크,190373
기타잉크,70248
그림물감,24649
유기계면활성제,1207103
조제계면활성제,279262
화장비누,199003
세탁비누,38178
세탁용합성세제,723799
주방용합성세제,169934
기타세제,109133
치약,289536
글리세린,9963
화운데이션,361484
크림,1009954
로션및오일,1805872
루즈,94950
볼터지,26139
아이세도우,38623
샴푸,594434
린스,5296
헤어스프레이및무스,19083
염색약,134240
기타두발용조제품,154446
파우다,139829
향수,38946
화장수,242663
콜롱,...
매니큐어및제거제,45997
기타화장품,958675
실내용가향제,101160
왁스,49639
구두약,21177
기타광택제,45055
PS인쇄판,155351
"사진용감광성필름,판및종이",210686
토너및토너카트리지,181438
사진용화학물질,387732
가공및정제염,556690
천연접착제,92071
합성수지접착제,1681358
젤라틴,132357
화약및폭약,407434
도화선및뇌관(화약용),114366
폭죽및조명탄,42057
방향유,55494
반도체용식각제,1202220
PR(포토레지스터),1300080
액정(liquidcrystal),818434
기타전자공업용화학화합물,227666
자동차용화합물,477135
바이오디젤,200657
콘크리트경화제,286314
필기용잉크,27629
조제윤활제,129683
미생물배양제,54620
가황촉진제,183188
산화방지제(고무·플라스틱용),526851
안정제(고무·플라스틱용),178035
금속표면처리용화합물,1546789
소포제및발포제,141829
방수액,150829
활성탄,75680
제올라이트,62322
수처리제,252552
휴대용연료,...
리튬코발트산화물,...
부동액,...
자동차촉매,1268710
기타화학제품,1034963
폴리아미드섬유,1201000
폴리에스터섬유,3287966
스판덱스섬유,312527
아크릴릭섬유,...
기타합성스테이플섬유,...
비스코스섬유,...
아세테이트섬유,...
재생장섬유토우,40258
기타재생섬유,53747
의료용물질및의약품제조업,13356513
의약품원료,1257488
백신,397693
기타생물학적제제,402336
의약품제제,10063224
한의약품,255700
동물용약제품,423993
"탈지면,거즈,붕대및유사제품",209354
진단용시약(의료용),278417
기타의약관련제품,68308
고무제품및플라스틱제품제조업,58796323
승용차타이어,6451119
버스및화물차타이어,725775
모터사이클타이어,112316
기타자동차타이어,30694
자동차튜브,395758
자전거타이어,...
기타비동력식차량의타이어및튜브,3852
타이어및튜브부속품,89971
재생타이어,187736
재생고무,45503
배합고무,548815
방진고무,930353
공업용고무롤,157551
공업용고무판,60789
고무관및파이프,137147
고무호스,870858
고무벨트,294339
고무직물,...
고무패킹,1403050
고무스폰지및발포성제품,196310
기타산업용고무제품,763904
고무장갑,57373
피임용기구(고무제),26241
고무젖꼭지,4504
기타위생용고무제품,31109
고무매트,306417
고무보트,29331
고무줄및밴드,60003
고무자석,4032
기타고무제품,179695
플라스틱프로파일,442575
플라스틱샤시바,348182
플라스틱파이프,747008
플라스틱호스,404021
플라스틱연결구류,435304
폴리에틸렌(PE)필름,1673819
폴리프로필렌(PP)필름,975971
폴리에스터(PET)필름,2221327
플라스틱필름및시트(포장용),2300836
폴리염화비닐(PVC)필름,761694
폴리스티렌(PS)필름,81126
플라스틱필름및시트(포장용제외),2318383
합성피혁,849550
플라스틱장판,385254
플라스틱벽지,64525
플라스틱타일,593986
위생용플라스틱제품,424026
플라스틱창문및문,899862
기타건축용플라스틱조립제품,524764
플라스틱봉투,1222058
플라스틱병,1091282
플라스틱뚜껑,500025
기타플라스틱포장용기,2740007
운송장비용플라스틱제품,7804916
KeyPad,543239
핸드폰케이스,2439642
전기및전자기기용플라스틱제품,2460163
기타기계용플라스틱제품,1333749
폴리스티렌발포제품,1870925
우레탄발포제품,871570
기타플라스틱발포제품,138012
플라스틱적층품,1524008
접착테이프,2084491
플라스틱주방용품,680355
가구용플라스틱제품,90453
오토바이용헬멧,60494
플라스틱헬멧,61978
플라스틱사무및문구용품,139702
플라스틱자석,8554
기타플라스틱제품,555753
비금속광물제품제조업,30957407
판유리,601981
유리장섬유,213932
유리단섬유,130394
유리섬유제품(직물제외),190907
차량용안전유리,624698
건물용안전유리,592265
차량용거울,463586
유리거울(차량용제외),82168
복층절연유리,38875
기타판유리가공품,180581
브라운관용유리,24211
전등용유리,26067
