품목별,출하금액(백만원)
광업및제조업,876453195
광업(10~12),2489453
"석탄,원유및우라늄광업",608446
무연탄,282385
연탄,144523
응집탄,...
원유(채굴한것),...
천연가스(채굴한것),...
금속광업,19534
철광,17354
귀금속광물,...
기타비철금속광,1139
비금속광물광업;연료용제외,1861473
석회쇄석,308816
고령토(카올린),9460
기타점토,4739
화강암원석(파쇄되지않은것),92014
석회석원석(파쇄되지않은것),12153
건설용쇄석(석회쇄석제외),931074
건설용천연모래,349145
천연자갈,31019
공업용천연모래,31286
납석,15259
기타화학및비료원료용광물,13080
소금(채취한것),12485
규석,34571
장석,7328
기타비금속광물,9044
제조업(15~37),873963742
음·식료품제조업,48218708
쇠고기(도축한것),322344
돼지고기(도축한것),1316409
기타도축고기,...
닭고기,1273840
오리및기타소동물고기,120058
도축고기및가금고기부산물,69481
베이컨,33024
햄,370106
육지동물소시지및유사제품,262180
육지동물통조림및병조림,69206
육지동물포장육,1493158
기타고기가공품,561431
어육(신선및냉동한것),147122
어류부산물(신선및냉동한것),59542
어묵및유사가공품,301304
어육소시지및어묵햄,78047
어류훈제및조미조제식품,201334
기타수산동물조리가공품,32578
참치통조림,211362
골뱅이통조림,56432
굴통조림,18014
기타수산동물통조림,34674
냉동참치,146065
냉동고등어,27226
동태,6417
기타어류및부산물의냉동품,140058
갑각류냉동품,39001
연체동물냉동품,135523
명태건제품,95779
멸치건제품,113280
오징어류건제품,69894
어류의채(건조한것),39101
기타수산동물및부산물건제품,47781
멸치젓류,31212
명란젓류,93803
기타젓갈류,123092
어류염장품,193494
김,480152
미역,97395
기타해조류가공품,96311
비식용어분,27528
기타수생동물가공품,...
농축과실즙및채소즙,114599
과실및채소주스,127572
과실통조림,50115
잼및젤리통조림,90888
냉동과실,18729
기타과실가공품,31740
김치,769915
단무지,87480
기타과실및채소절임식품,124334
채소통조림,6896
건조채소,88911
기타채소가공품,156145
식용지방(육지동물의것),58699
비식용지방(육지동물의것),45923
수산동물조유(원유),9866
동물성지방부산물,62638
참기름,138210
들기름,8486
옥수수원유(압착한것),...
기타식물성원유(압착한것),43623
대두박,176965
기타식물성유박,59198
콩기름,329930
옥수수기름,99623
마가린,63980
쇼트닝,36062
기타식물성정제유및가공유,106901
시유,1833679
분유,512215
요구르트,1327496
버터,39819
치즈,311825
기타낙농제품,47934
아이스크림,819306
빙과,362227
쌀(도정한것),3344090
보리쌀(도정한것),38972
기타도정곡물,67323
도정부산물,34395
밀가루,707793
콩가루,1948
기타곡물가루,98428
제분부산물,87945
혼합조제분말,251474
씨리얼식품,...
앙금류,48028
선식류,116331
기타곡물조제식품,82095
전분,260920
기타전분제품,5800
포도당,38070
물엿,243453
과당,202656
기타당류,61393
배합사료,4615081
애완동물사료,21363
사료첨가제,100794
기타사료,357317
빵류(제조도매),848022
케이크(제조도매),213838
빵(제조소매),179284
떡(제조도매),125427
떡(제조소매),51119
미과,74401
스낵및기타건과자류,1155112
정제당,767588
코코아분말,47424
초콜릿류,632424
캔디류,225685
껌,211876
국수,163817
당면,77492
냉면,68300
기타유사국수,14554
라면,1123850
기타인스턴트면류,25330
고추가루,143982
후추가루,14436
혼합조미료,217922
기타천연조미료,89378
마요네즈,129992
케찹,64224
카레,...
기타소스류,664857
간장,212877
된장,130009
고추장,348054
춘장,29375
메주,5783
기타장류,74254
화학조미료,215602
식초,62238
맛소금,1179
커피크리머,132750
효모,47895
기타식품첨가물,321708
원두커피,28878
인스턴트커피,163454
커피믹스,374184
녹차,187356
홍차,13670
"치커리차,보리차및옥수수차",32035
율무차,18213
유자차,53741
꿀차,8714
기타가공차,66864
조제수프,166402
이유식,60720
음료베이스,112753
두부,252014
유부,35147
기타묵및유사제품,30022
백삼,27466
홍삼,126096
인삼분말,21120
인삼농축액,47264
인삼차,44439
인삼과자,89577
기타인삼기저식품,119883
냉동조리식품,659832
김밥(제조도매),95391
도시락(제조도매),390749
레토르트식품,86088
기타식사용조리식품(제조도매),224686
건강원제품,16609
조제건강식품,352535
계란및새알가공품,95002
견과가공품,48495
기타식품,17769
주정,394444
소주,1299809
위스키,239257
매실주,36562
기타증류주,18901
탁주,122615
약주,103613
