품목별,출하금액(백만원)
광업및제조업,1451965381
광업,3028319
"석탄,원유및천연가스광업",515382
무연탄(채굴),272872
원유(채굴한것),...
천연가스(채굴한것),...
금속광업,102954
철광(채굴및정광),73880
귀금속광물(채굴및정광),...
연(납)광및아연광(채굴및정광),...
비금속광물광업;연료용제외,2400429
석회쇄석(채굴),476038
고령토(채굴),...
기타점토(채굴),...
화강암원석(파쇄되지않은것),92929
석회석원석(파쇄되지않은것),22864
건설용쇄석(석회쇄석제외),1178214
건설용천연모래,337030
천연자갈,73901
공업용천연모래,110996
납석(채굴),22046
기타화학및비료원료용광물(채굴),...
소금(채취한것),16550
규석(채굴),16094
장석(채굴),...
기타비금속광물,16098
광업지원서비스업,...
기타광업지원서비스,...
제조업,1448937062
식료품제조업,65802784
쇠고기(도축),268975
돼지고기(도축),1201911
닭고기,2282184
오리고기,252486
원피,...
도축고기부산물,126306
가금고기(소동물포함)부산물,93267
"가금류소지시,통조림및병조림",...
가금류포장육,845408
기타가금류가공품,600094
베이컨,108899
햄(가축),547574
소시지(축육),436440
기타육지동물소시지유사제품,156321
육지동물통조림및병조림,14907
육지동물포장육,2712592
기타고기가공품,498907
어묵및유사가공품,464194
어육소시지및어묵햄,222109
조미오징어,195446
조미쥐치포,30944
기타조미조제식품및어류훈제품,81109
기타수산동물조리가공품,84254
참치통조림,490464
골뱅이통조림,55710
굴통조림,12641
꽁치통조림,14247
기타수산동물통조림,14285
명태건제품,109474
멸치건제품,122679
오징어류건제품,24412
어류의채(건조한것),42348
기타소건품,10857
기타자건품,25490
기타수산동물및부산물건제품,5727
멸치젓류,8068
명란젓및창란젓,76234
기타젓갈류,85806
어류염장품,145575
냉동참치,299462
냉동고등어,75454
동태,17309
기타어류및부산물의냉동품,139524
갑각류냉동품,47223
연체동물냉동품,139619
"어육(신선및냉동한것,등뼈제거)",313461
비식용어분,24031
기타수산동물가공품,27506
어류부산물(신선및냉동한것),20757
김,816029
미역,125122
톳,24800
기타해조류가공품,53143
김치,1096299
단무지,259562
기타과실및채소절임식품,206785
오렌지원액,11706
농축과실즙,93728
농축채소즙,137415
과실주스,210707
채소주스,42277
과실통조림,64048
잼및젤리통조림,156756
냉동과실,43178
기타과실가공품,68200
채소통조림,8392
건조채소,80092
기타채소가공품,239516
견과가공품,150207
식용지방(육지동물의것),94842
수산동물조유(원유),17158
동물성지방부산물,223584
참기름,115110
들기름,8627
옥수수원유(압착한것),11489
채종유(유채유),...
기타식물성원유(압착한것),28322
대두박,580505
기타식물성유박,10229
콩기름(대두유),515102
옥수수기름,60923
올리브유,224677
마아가린,47009
쇼트닝,77809
기타식물성정제유및가공유,294424
시유,2512817
연유,52330
조제분유(우유기저),197763
분유,167269
발효유,1587412
버터,24284
치즈,487580
기타낙농제품,203063
아이스크림,1048448
빙과,477083
쌀(도정한것),1498974
보리쌀(도정한것),50247
기타도정곡물,82987
도정부산물,57028
밀가루,1429860
콩가루,5685
옥수수가루,117426
기타곡물가루,127919
소맥피,...
제분부산물,3187
제과용혼합분말및반죽,740227
선식류,106974
앙금류,114387
씨리얼식품,148647
기타곡물조제식품,72592
고구마전분,7225
옥수수전분,269371
소맥전분,62067
기타전분제품,152943
포도당,53559
물엿,409053
과당,252073
기타당류,93346
떡(제조도매),263192
떡(제조소매),32280
식빵(제조도매),824416
도넛(제조도매),69677
피자(제조도매),25275
기타빵류(제조도매),995145
케이크(제조도매),363479
빵(제조소매),302380
코코아분말,21731
초콜릿류,926706
캔디류,352859
껌,237354
미과,61565
스낵류,868598
건과자류,425022
기타곡분과자,217667
정제당,1189789
국수,234768
당면,48762
냉면,126240
기타유사국수,71084
라면,1732769
기타인스턴트면류,139778
글루타민소다,...
기타화학조미료,154819
식초,119479
맛소금,14797
고추가루,150423
후추가루,41169
혼합조미료,929478
기타천연조미료,109466
마요네즈,285628
케찹,66365
카레,97533
기타혼합조제조미료,851639
간장,329726
된장,221646
고추장,258040
춘장,49342
메주,7272
혼합장,62221
기타장류,227941
커피크리머,186610
효모,31452
가라기난,...
식품용색소,40675
기타식품첨가물,328550
원두커피,93149
인스턴트커피,368398
커피믹스,802360
녹차,144981
홍차,22244
"치커리차,보리차및옥수수차",87310
율무차,60903
유자차,51668
꿀차,47039
기타가공차,174533
조제수프,64977
이유식,159702
음료베이스,248421
두부,437381
유부,50813
기타묵및유사제품,51684
백삼,7581
홍삼,255297
인삼분말,39117
인삼즙,131513
인삼차,172293
인삼과자,197016
기타인삼기저식품,23578
건강원제품,76420
기타건강보조용액화식품,34112
스쿠알렌식품,100873
효소식품,130179
정제어유가공식품,55247
알로에식품,42587
기타건강기능식품,451383
냉동만두,537607
기타냉동조리식품,979548
김밥(제조도매),235204
도시락(제조도매),450472
레토르트식품,510102
기타식사용조리식품(제조도매),367215
계란및새알가공품,230173
기타식품,12590
배합사료(양우용),4330698
배합사료(양돈용),2851174
배합사료(양계용),1799377
배합사료(기타동물),1156800
애완동물사료,181018
사료첨가제,393419
배합사료(양어용),101400
기타사료,503217
동물용조제식품,17548
음료제조업,10265132
탁주,351173
약주,50884
청주,48535
맥주,2274675
"포도주,샴페인",11454
복분자주,45003
기타발효주,...
주정,433348
소주,1585564
위스키,128727
