품목별,출하금액(백만원)
광업및제조업,1370284958
광업(05~08),3204564
"석탄,원유및천연가스광업",255999
무연탄(채굴),197085
원유(채굴한것),X
천연가스(채굴한것),X
금속광업,X
철광(채굴및정광),X
금·은및백금광업,X
연(납)광및아연광(채굴및정광),X
비금속광물광업;연료용제외,2885144
석회쇄석(채굴),591417
고령토(채굴),8298
기타점토(채굴),X
화강암원석(파쇄되지않은것),105902
석회석원석(파쇄되지않은것),69038
건설용쇄석(석회쇄석제외),1371551
건설용천연모래,467033
천연자갈,69259
공업용천연모래,105447
납석(채굴),16889
기타화학및비료원료용광물(채굴),X
천일염(채취한것),20501
규석(채굴),12594
장석(채굴),X
기타비금속광물,X
광업지원서비스업,X
기타광업지원서비스,X
제조업(10~34),1367080394
식료품제조업,73680845
쇠고기(도축),475805
돼지고기(도축),1377920
기타도축고기,X
원피,X
육류도축고기부산물,114649
닭고기,2526507
오리고기,232508
기타가금고기부산물,43928
"가금류소시지,통조림및병조림",6864
가금류포장육,1252351
기타가금류가공품,425810
육지동물포장육,4161391
육지동물통조림및병조림,10208
베이컨,130390
햄(가축),648162
소시지(축육),569501
기타육지동물소시지유사제품,289492
기타고기가공품,898269
어묵및유사가공품,659696
어육소시지및어묵햄,159316
조미오징어,294338
조미쥐치포,32969
기타조미조제식품및어류훈제품,86170
기타수산동물조리가공품,94958
참치통조림,501122
골뱅이통조림,53846
굴통조림,20013
꽁치통조림,14595
기타수산동물통조림,38525
명태건제품,168126
멸치건제품,97304
오징어류건제품,17609
어류의채(건조한것),67824
기타소건품,24347
기타자건품,24329
기타수산동물및부산물건제품,7701
멸치젓류,3324
명란젓및창란젓,67562
기타젓갈류,89191
어류염장품,174358
냉동참치,295108
냉동고등어,123515
동태,24737
기타어류및부산물의냉동품,166185
갑각류냉동품,75312
연체동물냉동품,234557
"어육(신선및냉동한것,등뼈제거)",500482
비식용어분,28531
기타수산동물가공품,41269
어류부산물(신선및냉동한것),27047
김,1260065
미역,160497
톳,40057
기타해조류가공품,72285
김치,1175109
단무지,262843
기타과실및채소절임식품,212078
오렌지원액,8462
농축과실즙,155431
농축채소즙,149911
과실주스,137459
채소주스,58456
과실통조림,64090
잼및젤리통조림,146016
냉동과실,43013
기타과실가공품,112146
채소통조림,12015
건조채소,89966
기타채소가공품,347565
견과가공품,234740
식용지방(육지동물의것),68323
비식용지방(육지동물의것),X
수산동물조유(원유),X
동물성지방부산물,190313
참기름,160324
들기름,20656
옥수수원유(압착한것),13014
채종유(유채유),X
기타식물성원유(압착한것),14471
대두박,573175
기타식물성유박,9736
콩기름(대두유),549643
옥수수기름,82880
올리브유,245063
마아가린,102922
쇼트닝,113138
기타식물성정제유및가공유,177010
시유,2770802
연유,16231
조제분유(우유기저),383090
분유,232677
발효유,1666949
버터,51162
치즈,691368
기타낙농제품,204364
아이스크림,1033094
빙과,548979
쌀(도정한것),1554723
보리쌀(도정한것),54789
기타도정곡물,58826
도정부산물,39658
밀가루,1244534
콩가루,4099
옥수수가루,81637
기타곡물가루,136899
소맥피,20295
제분부산물,12593
곡물혼합분말및반죽,642748
선식류,56505
앙금류,106261
씨리얼식품,227553
기타곡물조제식품,149854
고구마전분,15953
옥수수전분,288038
소맥전분,X
기타전분제품,143914
포도당,52438
물엿,406232
과당,378491
기타당류,74961
떡(제조도매),319483
떡(제조소매),35312
식빵(제조도매),437325
도넛(제조도매),51858
피자(제조도매),18023
기타빵류(제조도매),1230031
케이크(제조도매),587322
빵(제조소매),168562
코코아분말,62138
초콜릿류,1027566
캔디류,275690
껌,251006
미과,81829
스낵류,1199318
건과자류,705894
기타곡분과자,108515
원당,X
정제당,1094901
국수,291974
당면,60022
냉면,131066
기타유사국수,99194
라면,2201187
기타인스턴트면류,102029
글루타민소다,X
기타화학조미료,106494
식초,133711
맛소금,X
고추가루,216252
후추가루,39377
혼합조미료,1108490
기타천연조미료,147900
마요네즈,205644
케찹,110870
카레,110098
기타혼합조제조미료,1101921
간장,314258
된장,217387
고추장,354769
춘장,34360
메주,8112
혼합장,32638
기타장류,144652
커피크리머,107055
효모,30206
가라기난,X
식품용색소,54662
기타식품첨가물,308094
김밥(제조도매),252742
도시락(제조도매),706734
냉동만두,701303
기타냉동조리식품,1384910
레토르트식품,762539
기타식사용조리식품(제조도매),600324
원두커피,205207
인스턴트커피,505366
커피믹스,789438
녹차,117637
홍차,26848
"치커리차,보리차및옥수수차",175786
율무차,57717
유자차,102555
꿀차,13410
기타가공차,115025
조제수프,104481
이유식(우유기저제외),176052
음료베이스,216811
두부,496164
유부,56151
기타묵및유사제품,60009
백삼,3567
홍삼,406716
인삼분말,30257
인삼즙,282953
인삼차,154666
인삼과자,144875
기타인삼기저식품,26940
건강원제품,61587
기타건강보조용액화식품,49577
스쿠알렌식품,69117
효소식품,204053
정제어유가공식품,58650
알로에식품,50956
기타건강기능식품,834924
계란및새알가공품,365239
기타식품,41438
배합사료(양우용),3130583
배합사료(양돈용),2189491
배합사료(양계용),1974912
배합사료(기타동물),1528415
배합사료(양어용),204723
애완동물사료,218024
단미사료,142380
사료첨가제,400327
기타사료,89135
동물용조제식품,19677
음료제조업,11505984
탁주,332494
약주,46846
맥아,7148
맥주,2341215
청주,58840
"포도주,샴페인",10888
복분자주,29680
기타발효주,X
주정,468676
소주,1824071
위스키,158874
매실주,X
기타증류주및합성주,82790
얼음,59539
생수,727238
콜라,498093
사이다,225883
기타탄산음료,636068
알카리성이온음료,132429
식물성섬유음료,93298
인삼음료,398414
과실음료,927452
채소음료,15902
커피음료,969789
두유,385308
기타비알콜성음료,1058521
담배제조업,3762860
담배잎(재건조),X
담배,3471144
기타궐련,X
섬유제품제조업;의복제외,17465319
방적용면,64698
순면사,636576
면혼방사,180979
방적용모,25784
순소모사,53318
혼방소모사,42824
순방모사,89531
혼방방모사,65559
재생섬유사,132778
순합성섬유사,111319
혼방합성섬유사,425219
재봉사,62678
편물사,101407
커버링사,217810
기타가공사,201298
견사및견방사,X
마사및기타식물성섬유사,X
순면직물,313033
혼방면직물,264723
순소모직물,56531
혼방소모직물,57994
순방모직물,37496
혼방방모직물,36729
비스코스직물,37483
아세테이트직물,27533
순합성섬유직물,1101480
혼방합성섬유직물,1209083
순견직물,31585
혼방견직물,11561
마및기타식물성직물,8010
파일직물,252520
유리섬유직물,126181
기타특수직물,125746
이불,409909
담요,45790
타월(직물),182875
린넨,X
침구용카바,151187
베개및유사제품,58294
기타침구관련제품,49271
자수제품및자수용재료,37911
커튼및유사제품,388185
텐트,25511
천막및덮개(직물),475268
기타캔버스제품,23472
직물포대,223250
낙하산,X
차량의자카바,1423413
청소용포(직물),163167
가정용품덮개,X
기타직물제품,324862
견편조물,191786
면편조물,163348
인조섬유편조물,460325
기타편조물,50796
섬유사염색,225263
직물염색,1237707
의복및직물제품의염색,56102
직물원단날염,371260
의복및직물제품의날염,52382
섬유호부처리,38788
섬유기타가공,33787
카페트,108941
마루덮개및유사제품,108281
끈및로프(식물성섬유),36557
끈(합성섬유),29590
로프(합성섬유),201052
어망,103019
기타망,111614
끈가공품,56238
세폭직물,231577
부직포,973854
펠트,157620
부직포제품,445606
타이어코드및타이어직물,655600
고무도포사,5243
기타특수사,37730
비닐도포직물,101315
고무도포직물,68722
기타도포및적층직물,334333
워딩(솜)제품,409683
편조제품(의복및의복액세서리제외),X
레이스원단및망직물(편직된것),105886
장식용트리밍,X
직물제필터,111405
기타섬유제품,79747
"의복,의복액세서리및모피제품제조업",15556311
남자및소년용정장,1133578
남자및소년용코트,X
남자및소년용자켓및점퍼,1059197
남자및소년용바지,93148
여자및소녀용정장,3164081
여자및소녀용코트,231155
여자및소녀용자켓및점퍼,1621364
여자및소녀용치마,122079
여자및소녀용바지,77311
남자및소년용속옷,56469
남자및소년용내복및잠옷,25807
여자및소녀용속옷,98690
여자용보정의류,169753
여자및소녀용내복및잠옷,7279
한복,28513
남성용직물셔츠,399062
남성용니트셔츠(니트원단구입),103576
여성용직물블라우스및셔츠,647797
여성용니트블라우스및셔츠(니트원단구입),504424
학생용교복,213689
"사무,작업및위생용의복",581675
운동복,1838288
남자용가죽의복,38233
여자용가죽의복,57593
유아용의복및부속품,784100
기타봉제의복,98658
천연모피의복,191796
기타천연모피제품,X
인조모피제품,X
남자용속옷(편직결합),39145
여자용속옷(편직결합),76732
유아용내의(편직결합),40793
남자용셔츠(편직결합),233619
여자용셔츠및브라우스(편직결합),286497
남자용스웨터(편직결합),113626
여자용스웨터(편직결합),177238
기타남성용편조외의(편직결합),19284
기타여성용편조외의(편직결합),153636
스타킹,78723
양말,186051
장갑(편직결합),284621
기타편조제품,16758
모자,107283
섬유장갑,54580
가죽장갑,28148
넥타이,31408
목도리,X
스카프,85447
벨트(허리띠),9767
손수건,19365
기타의복악세서리,24788
의류부분품,88654
"가죽,가방및신발제조업",5256457
소가죽,1082734
돼지가죽,X
면양또는산양(염소)의가죽,X
기타동물가죽,64605
재생가죽,X
기타특수가공가죽,51027
천연모피(유연처리또는완성가공한것),2889
인조모피,X
핸드백,858649
지갑,178201
서류가방,28975
여행용가방,19012
학생용가방,9375
등산용배낭,33912
기타가방,52474
케이스(가죽및섬유제),288281
산업용가죽제품,20471
가정용가죽제품,110378
남자용구두(단화포함),445797
여자용구두(단화포함),607689
아동용구두(단화포함),X
가죽장화,30338
고무장화,26181
프라스틱및고무제운동화,11899
기타플라스틱및고무제신발,23069
플라스틱및고무슬리퍼,30642
가죽슬리퍼,6491
운동화,439710
가죽등산화,108354
가죽샌달,24906
기타직물갑피제또는가죽갑피제신발,165385
스포츠화,15055
가죽제신발부분품,152393
플라스틱및고무제운동화부분품,118029
기타플라스틱및고무제신발부분품,108659
기타재료제의신발부분품,61105
목재및나무제품제조업;가구제외,5702710
소각재,84977
각재,605721
판재,118460
제재부산물,33531
마루용판재,189693
우드몰딩,160289
궤도용침목,X
목모와목분,36475
칩상또는삭편상의목재,59429
기타표면가공목재,42780
표면처리및방부처리목재,225951
단판,67089
일반합판,260912
가공합판,454293
파티클보드(PB),167197
MDF(중밀도섬유판),599027
강화마루,67235
재생목재,38702
목제의창문및창문틀,151423
목제의문및문틀,577817
목제패널,303001
목제의건물부착물,164602
목제깔판류및기타적재용판,625267
목제통및관련부품,25839
목제의포장및운반용상자,454905
목제의케이블드럼,24805
목제도구및부품,10619
주방용또는식탁용목제품,28485
목제그림틀및사진틀,5816
기타장식용목제품,19377
장의용목관,10162
기타목제품,64927
콜크및콜크제품,X
대나무돗자리,X
기타조물제품,X
"펄프,종이및종이제품제조업",22035566
화학펄프,X
기타펄프,13876
신문용지,1172822
백상지,995641
중질지,142176
인쇄용박엽지,173139
아트지,1756976
정보용지,489395
지폐용지,X
수제지,27653
기타인쇄및필기용지,72635
크라프트지,239032
골판지원지,1997158
백판지,708184
기타판지,14961
적층가공지(박지),715859
포장지,366676
접착지,174261
기타가공지,178882
위생용지,246859
기타위생용지,21103
기타종이및판지,83667
골판지,721739
골판지상자,3959546
기타골판지제관련제품,51415
종이포대,227411
종이가방,179579
판지상자및용기,625949
식품위생용종이상자,149349
식품용종이용기,342967
기타종이상자및용기(판지및골판지이외),378531
지관(판지및골판지이외),294200
전자복사기용지(소매용),98307
노트류,198222
컴퓨터용지,120626
앨범,40759
바인더,43876
사무용봉투,64030
장부류,7900
기타문구용종이제품,87299
화장지,1015431
종이타월,773361
종이생리대,430067
종이기저귀,938753
기타위생용종이제품,8335
종이벽지,327034
직물벽지,121170
장판지,X
여과지,197770
종이라벨,529375
식품용종이제품(용기및상자제외),283693
기타종이및판지제품,50296
인쇄및기록매체복제업,429604
인쇄판,384234
오디오복제물,38574
비디오복제물,X
기타기록매체복제물,X
"코크스,연탄및석유정제품제조업",76396206
석탄코크스,38852
콜타르(조상의것),200089
연탄,138510
휘발유,10326120
제트유,10873769
등유,1681830
경유,23026914
경질중유(벙커A유),X
중유(벙커B유),241282
벙커C유,6661064
나프타,10568494
솔벤트,645124
윤활기유,4191293
프로판가스,718307
부탄가스,1719706
석유가스,X
윤활유(석유기저),2340474
그리스(석유기저),89310
재생윤활유및그리스,128678
파라핀,90756
아스팔트,1752151
재생유,398386
기타석유정제품,504485
화학물질및화학제품제조업;의약품제외,143156345
혼합부탄,230954
에틸렌,3142017
프로필렌,4823855
부타디엔,1370111
기타비환식탄화수소,481227
알킬벤젠,X
벤젠,3658129
톨루엔,988030
디니트로톨루엔(DNT),X
파라자일렌(P-X),9923462
올소자일렌,X
스티렌모노머(SM),2918069
자일렌(Xylene),900579
기타환식탄화수소,X
이염화에틸렌(EDC),488759
염화비닐모노머(VCM),593209
기타탄화수소유도체,527258
숯,16916
기타검및나무화합물,63401
콜타르피치,89222
석탄화학물,140386
부탄올,174741
옥탄올(2-EH),339623
메탄올,X
에틸알콜(공업용),120232
에틸렌글리콜(EG),1087207
프로필렌글리콜(PG),X
폴리프로필렌글리콜(PPG),1083771
페놀,239631
기타알코올및관련유도체,98015
공업용지방산,X
초산,105473
초산에틸,X
아크릴산,X
무수마레인산,81477
무수프탈산(PA),257469
테레프탈산(TPA),2779600
테레프탈산디메틸(DMT),X
메틸메타크릴레이트(MMA),545883
아크릴레이트,619513
기타카르복실산및그유도체,118126
메틸터셔리부틸에테르(MTBE),213686
아민,152994
아크릴로니트릴(AN),X
톨루엔디이소시아네이트(TDI),832405
메틸렌디페닐디이소시아네이트((MDI),986927
카프로락탐(CPLM),X
아세톤,231171
가소제,986381
ECH(에피클로로히드린),X
산화프로필렌(PO),X
초산비닐,X
아디핀산,X
BPA(비스페놀A),814375
고순도이소프탈산,526054
폴리테트라메틸렌에테르글리콜(PTMEG),X
포르말린,X
기타기초유기화합물,1035157
수소(Hydrogen),975114
질소(Nitrogen),888168
산소(Oxygen),444079
아세틸렌가스,24052
이산화탄소,130291
아르곤가스,270692
희소가스,X
기타산업용가스,710087
구입한압축및액화가스의정제,124399
염소,208617
염산,86117
수산화나트륨(가성소다),723952
염소산나트륨,4884
기타가성소다,276795
소다회,X
기타소다공업제품,83338
카본블랙,571242
화이트카본,X
이산화규소,X
과산화수소,371655
황,114486
오산화인,61843
기타비금속화합물,19877
황산,175321
인산,46748
기타무기산,27766
황산알루미늄,38895
황산마그네슘,8603
탄산칼슘,329768
규산소다,93582
시안화나트륨,131409
수산화알루미늄,X
탄산칼륨,X
기타칼륨염,39853
기타금속무기화합물,215125
핵연료,X
폴리실리콘,1406954
잉곳및웨이퍼(태양전지용),330063
아연화,258144
산화티타늄,93412
산화철,66834
기타무기안료,109856
천연색소,X
유연제,81471
분산염료,78707
산성및매염염료,103046
염기성염료,X
직접염료,24669
반응성염료,153681
형광염료,32194
플라스틱착색제(마스터배치),754629
색소중간착색제,109733
기타합성염료,107464
레이크계안료,122589
색소안료,211322
SBR,793396
BR,1003542
SB라텍스,696964
기타합성고무,725707
고밀도폴리에틸렌(HDPE),4108307
저밀도폴리에틸렌(LDPE),3715721
폴리스티렌(PS),1976016
ABS수지,3346724
PVC수지,1866758
폴리프로필렌(PP),7195658
에폭시수지,1184993
실리콘수지,923848
불포화폴리에스터수지,432765
선형폴리에스터수지,1200938
아크릴수지(PMMA),301863
요소수지,10950
멜라민수지,75329
페놀수지,181068
폴리우레탄,766289
엔지니어링플라스틱수지,4880468
석유수지,X
PETG수지,X
셀룰로스에테르,X
K-RESIN,X
폴리에틸렌테레프탈레이트(PET),484066
기타합성수지,1315162
구입한수지의배합물,1204388
재생수지,732690
질산,141579
암모니아,303784
요소,54195
황산암모늄,X
기타질소비료,6765
인산비료,X
기타칼륨비료,X
복합비료,953962
기타화학비료,14207
유기질비료,527800
기타비료,107544
가정용화학살균및살충제,264172
화학살충제(농업용),634331
화학살균제(농업용),242556
화학제초제(농업용),239373
화학생장조절제,14180
"기타화학살균,살충제및농업용약제",84768
가정용생물살균및살충제,17211
생물살충체(농업용),29793
생물살균제(농업용),16441
생물제초제(농업용),12065
식물보호제,19527
"기타생물살균,살충제및식물보호제",6399
유성페인트,2485732
수성페인트,302909
에나멜페인트,156314
락카,135393
우레탄도료,334932
아크릴도료,318986
에폭시도료,247676
기타합성수지도료,251472
도료충전제,207681
EMC(에폭시몰딩컴파운드),342889
시너(Thinner),354328
기타도료및관련제품,377865
요업용도포제,94253
옵셋잉크,320889
그라비아잉크,262558
디지털잉크,106383
기타잉크,68774
그림물감,28345
유기계면활성제,1306024
조제계면활성제,290557
화장비누,309662
세탁비누,23013
공업용비누,X
세탁용합성세제,431374
주방용합성세제,294718
기타세제,89225
치약,417091
글리세린,64266
화운데이션,925127
크림,2054399
로션및오일,3444509
루즈,350650
볼터치,43384
아이세도우,144613
샴푸,1020213
린스,15354
염색약,240080
기타두발용조제품,275116
파우다,113449
향수,40673
화장수,469284
콜롱,X
매니큐어및제거제,39285
헤어스프레이및무스,8591
기타화장품,2104716
실내용가향제,94870
왁스,105072
구두약,X
기타광택제,47842
PS인쇄판,73027
"사진용감광성필름,판및종이",128854
토너및토너카트리지,55156
사진용화학물질,396718
가공및정제염,92257
천연접착제,204832
합성수지접착제,1715954
젤라틴,148472
화약및폭약,561239
도화선및뇌관(화약용),96315
폭죽및조명탄,15194
바이오디젤,298420
기타바이오연료및혼합물,X
방향유,159855
반도체용식각제,1711782
PR(포토레지스터),1448406
액정(liquidcrystal),607005
기타전자공업용화학화합물,676433
자동차용화합물,605886
콘크리트경화제,454756
필기용잉크,35106
조제윤활제,234357
미생물배양제,66164
가황촉진제,47233
산화방지제(고무·플라스틱용),620196
금속표면처리용화합물,822882
