품목별,출하금액(백만원)
광업및제조업,1452743785
광업,2817922
"석탄,원유및천연가스광업",503854
무연탄(채굴),283575
원유(채굴한것),...
천연가스(채굴한것),...
금속광업,88256
철광(채굴및정광),...
귀금속광물(채굴및정광),...
연(납)광및아연광(채굴및정광),...
기타비철금속광(채굴및정광),...
비금속광물광업;연료용제외,2214232
석회쇄석(채굴),499285
고령토(채굴),...
기타점토(채굴),...
화강암원석(파쇄되지않은것),50916
석회석원석(파쇄되지않은것),24220
건설용쇄석(석회쇄석제외),1002174
건설용천연모래,362878
천연자갈,86457
공업용천연모래,103861
납석(채굴),23500
소금(채취한것),5058
규석(채굴),17953
장석(채굴),...
기타비금속광물,17445
광업지원서비스업,...
기타광업지원서비스,...
제조업,1449925863
식료품제조업,60057499
쇠고기(도축),354968
돼지고기(도축),1348454
기타도축고기,...
닭고기,2050621
오리고기,271947
원피,...
도축고기및가금고기부산물,185417
"가금류소시지,통조림및병조림",...
가금류포장육,729178
기타가금류가공품,661321
베이컨,64513
햄(가축),674766
소시지(축육),452788
기타육지동물소시지유사제품,114669
육지동물통조림및병조림,12724
육지동물포장육,2548508
기타고기가공품,604963
어묵및유사가공품,430646
어육소시지및어묵햄,154143
조미오징어,208847
조미쥐치포,21894
기타조미조제식품및어류훈제품,64569
기타수산동물조리가공품,70605
참치통조림,362755
골뱅이통조림,44925
굴통조림,26561
꽁치통조림,15498
기타수산동물통조림,14471
명태건제품,118030
멸치건제품,127950
오징어류건제품,29376
어류의채(건조한것),53570
기타소건품,78059
기타자건품,19870
기타수산동물및부산물건제품,7585
멸치젓류,13273
명란젓및창란젓,76037
기타젓갈류,74833
어류염장품,173590
냉동참치,288586
냉동고등어,85489
동태,4390
기타어류및부산물의냉동품,130357
갑각류냉동품,46618
연체동물냉동품,206666
"어육(신선및냉동한것,등뼈제거)",319462
비식용어분,25927
기타수산동물가공품,21561
어류부산물(신선및냉동한것),16046
김,617879
미역,144206
톳,33851
기타해조류가공품,69179
김치,1000320
단무지,187322
기타과실및채소절임식품,171542
오렌지원액,21651
농축과실즙,88751
농축채소즙,77373
과실주스,79373
채소주스,62867
과실통조림,50052
잼및젤리통조림,132277
냉동과실,39841
기타과실가공품,54531
채소통조림,11187
건조채소,78591
기타채소가공품,223262
견과가공품,116285
식용지방(육지동물의것),64964
비식용지방(육지동물의것),54691
수산동물조유(원유),8638
동물성지방부산물,175966
참기름,195356
들기름,6368
옥수수원유(압착한것),11728
채종유(유채유),...
기타식물성원유(압착한것),35290
대두박,452042
기타식물성유박,14708
콩기름(대두유),738733
옥수수기름,66418
올리브유,38103
마아가린,...
쇼트닝,48846
기타식물성정제유및가공유,288923
시유,2445781
연유,14854
조제분유(우유기저),207507
분유,211115
발효유,1485105
버터,15751
치즈,436584
기타낙농제품,173137
아이스크림,1011482
빙과,476733
쌀(도정한것),1640510
보리쌀(도정한것),39037
기타도정곡물,109991
도정부산물,12634
밀가루,1200325
콩가루,2698
옥수수가루,45599
기타곡물가루,118529
소맥피,...
제분부산물,...
제과용혼합분말및반죽,694070
선식류,99702
앙금류,99792
씨리얼식품,159667
기타곡물조제식품,57477
고구마전분,8699
옥수수전분,219483
소맥전분,...
기타전분제품,149728
포도당,83031
물엿,296417
과당,239675
기타당류,91424
떡(제조도매),235716
떡(제조소매),38623
식빵(제조도매),576919
도넛(제조도매),120408
피자(제조도매),16994
기타빵류(제조도매),1257316
케이크(제조도매),408139
빵(제조소매),55570
코코아분말,39652
초콜릿류,909761
캔디류,440309
껌,304475
미과,59351
스낵류,843773
건과자류,318257
기타곡분과자,272651
정제당,923262
국수,168108
당면,109088
냉면,81045
기타유사국수,86920
라면,1575487
기타인스턴트면류,69736
기타화학조미료,169470
식초,100933
맛소금,14327
고추가루,195282
후추가루,23075
혼합조미료,579103
기타천연조미료,107576
마요네즈,205752
케찹,113741
카레,60330
기타혼합조제조미료,935061
간장,318965
된장,202184
고추장,318699
춘장,64384
메주,4623
혼합장,10452
기타장류,58017
커피크리머,174327
효모,45399
가라기난,...
식품용색소,23758
기타식품첨가물,308480
원두커피,146104
인스턴트커피,327540
커피믹스,496360
녹차,112291
홍차,29004
"치커리차,보리차및옥수수차",49602
율무차,28614
유자차,63813
꿀차,45062
기타가공차,179584
조제수프,85126
이유식,61417
음료베이스,165844
두부,383882
유부,57071
기타묵및유사제품,40136
백삼,32292
홍삼,194221
인삼분말,23853
인삼즙,141815
인삼차,117135
인삼과자,152538
기타인삼기저식품,19118
건강원제품,84875
