"전국","콩가루",12,1958,1948,57
"전국","기타 곡물가루",92,97529,98428,4446
"전국","제분 부산물",13,86133,87945,2537
"전국","혼합 조제분말",78,250393,251474,6940
"전국","씨리얼식품",1,...,...,...
"전국","앙금류",18,47679,48028,1919
"전국","선식류",45,117859,116331,6467
"전국","기타 곡물조제식품",46,82597,82095,2653
"전국","전분",48,262681,260920,13859
"전국","기타 전분제품",10,5955,5800,395
"전국","포도당",4,36303,38070,1444
"전국","물엿",32,244305,243453,4553
"전국","과당",15,202443,202656,2132
"전국","기타 당류",47,61138,61393,3716
"전국","배합사료",192,4614204,4615081,36876
"전국","애완동물사료",15,24062,21363,3510
"전국","사료 첨가제",53,101445,100794,3787
"전국","기타 사료",106,356690,357317,5982
"전국","빵류(제조도매)",214,848869,848022,6110
"전국","케이크(제조도매)",59,214058,213838,706
"전국","빵(제조소매)",453,179235,179284,492
"전국","떡(제조도매)",162,125967,125427,2263
"전국","떡(제조소매)",113,51394,51119,1015
"전국","미과",171,73493,74401,2223
"전국","스낵 및 기타 건과자류",200,1158091,1155112,30328
"전국","정제당",5,775993,767588,20039
"전국","코코아 분말",7,47494,47424,942
"전국","초콜릿류",47,628209,632424,26456
"전국","캔디류",107,224961,225685,8906
"전국","껌",7,210829,211876,9013
"전국","국수",113,164094,163817,10210
"전국","당면",19,77777,77492,5524
"전국","냉면",100,68397,68300,3171
"전국","기타 유사국수",30,14617,14554,471
"전국","라면",10,1120961,1123850,9169
"전국","기타 인스턴트면류",13,25263,25330,543
"전국","고추가루",92,146580,143982,10956
"전국","후추가루",13,14622,14436,1504
"전국","혼합 조미료",40,217539,217922,7208
"전국","기타 천연조미료",60,89133,89378,4798
"전국","마요네즈",6,129441,129992,1646
"전국","케찹",7,63978,64224,1195
"전국","카레",2,...,...,...
"전국","기타 소스류",196,665513,664857,14964
"전국","간장",83,213973,212877,8740
"전국","된장",125,131315,130009,7750
"전국","고추장",110,349159,348054,12620
"전국","춘장",15,29409,29375,949
"전국","메주",30,5723,5783,1264
"전국","기타 장류",132,73639,74254,3657
"전국","화학조미료",17,216540,215602,18740
"전국","식초",26,61846,62238,1088
"전국","맛소금",4,1175,1179,4
"전국","커피 크리머",9,133003,132750,5554
"전국","효모",26,48473,47895,3880
"전국","기타 식품첨가물",104,321689,321708,27549
"전국","원두커피",19,28734,28878,1284
"전국","인스턴트 커피",11,161868,163454,7048
"전국","커피믹스",27,374912,374184,10903
"전국","녹차",69,188255,187356,9764
"전국","홍차",9,13936,13670,1981
"전국","치커리차, 보리차 및 옥수수차",27,32791,32035,2523
"전국","율무차",18,18284,18213,866
"전국","유자차",47,54031,53741,1652
"전국","꿀차",10,9020,8714,1311
"전국","기타 가공차",89,67937,66864,6407
"전국","조제수프",52,166990,166402,4630
"전국","이유식",11,59898,60720,3375
"전국","음료 베이스",15,112644,112753,1461
"전국","두부",188,251641,252014,682
"전국","유부",7,35529,35147,545
"전국","기타 묵 및 유사제품",53,29814,30022,406
"전국","백삼",18,27907,27466,6297
"전국","홍삼",32,122859,126096,26563
"전국","인삼분말",16,20495,21120,2049
"전국","인삼농축액",41,48033,47264,8828
"전국","인삼차",28,44691,44439,6032
"전국","인삼과자",20,87657,89577,5175
"전국","기타 인삼기저 식품",37,119660,119883,9091
"전국","냉동조리식품",238,664978,659832,36160
"전국","김밥(제조도매)",35,95434,95391,594
"전국","도시락(제조도매)",261,390492,390749,48
"전국","레토르트 식품",28,86077,86088,2625
"전국","기타 식사용 조리식품(제조도매)",170,224081,224686,4189
"전국","건강원제품",28,16665,16609,925
"전국","조제건강식품",182,355311,352535,27771
"전국","계란 및 새알 가공품",36,94192,95002,3937
"전국","견과 가공품",33,48355,48495,2269
"전국","기타 식품",15,17756,17769,912
"전국","주정",10,389765,394444,5964
