품목별,출하금액(백만원)
광업및제조업,1081268167
광업(05~08),2518617
"석탄,원유및천연가스광업",400457
무연탄(채굴),301886
원유(채굴한것),...
천연가스(채굴한것),...
금속광업,46096
철광(채굴및정광),...
귀금속광물(채굴및정광),...
연(납)광및아연광(채굴및정광),...
비금속광물광업;연료용제외,2059508
석회쇄석(채굴),385986
석고(채굴한것),...
고령토(채굴),4084
기타점토(채굴),...
화강암원석(파쇄되지않은것),64907
석회석원석(파쇄되지않은것),14623
건설용쇄석(석회쇄석제외),992564
건설용천연모래,419461
천연자갈,26008
공업용천연모래,87263
납석(채굴),13398
기타화학및비료원료용광물(채굴),...
소금(채취한것),6846
규석(채굴),18576
장석(채굴),...
기타비금속광물,5138
광업지원서비스업,...
기타광업지원서비스,...
제조업(10~33),1078749550
식료품제조업,46072445
쇠고기(도축),277808
돼지고기(도축),961952
기타도축고기,...
닭고기,1866153
오리고기,134765
도축고기및가금고기부산물,182497
"가금류소지시,통조림및병조림",8786
가금류포장육,296667
기타가금류가공품,138011
베이컨,19022
햄(가축),480188
소시지(축육),224889
기타육지동물소시지유사제품,124453
육지동물통조림및병조림,8656
육지동물포장육,1713667
기타고기가공품,401801
어묵및유사가공품,374137
어육소시지및어묵햄,81205
조미오징어,99523
조미쥐치포,16365
기타조미조제식품및어류훈제품,44567
기타수산동물조리가공품,56836
참치통조림,260170
골뱅이통조림,43220
굴통조림,17805
꽁치통조림,18616
기타수산동물통조림,5494
명태건제품,86940
멸치건제품,80455
오징어류건제품,38200
어류의채(건조한것),45629
기타소건품,9618
기타자건품,4796
기타수산동물및부산물건제품,31424
멸치젓류,19893
명란젓및창란젓,52638
기타젓갈류,97986
어류염장품,182621
냉동참치,217387
냉동고등어,26775
동태,5064
기타어류및부산물의냉동품,143085
갑각류냉동품,24813
연체동물냉동품,94742
"어육(신선및냉동한것,등뼈제거)",193328
비식용어분,24724
기타수산동물가공품,6488
어류부산물(신선및냉동한것),53215
김,450728
미역,94851
톳,16577
기타해조류가공품,54466
김치,796746
단무지,132016
기타과실및채소절임식품,78106
오렌지원액,...
농축과실즙,78339
농축채소즙,40647
과실주스,44438
채소주스,34668
과실통조림,65415
잼및젤리통조림,104911
냉동과실,12220
기타과실가공품,19970
채소통조림,9778
건조채소,117060
기타채소가공품,204080
견과가공품,45137
식용지방(육지동물의것),98236
비식용지방(육지동물의것),72743
수산동물조유(원유),...
동물성지방부산물,114896
참기름,131597
들기름,5597
옥수수원유(압착한것),...
채종유(유채유),...
기타식물성원유(압착한것),34533
대두박,306233
기타식물성유박,57486
콩기름(대두유),553012
옥수수기름,149990
올리브유,37807
마아가린,103902
쇼트닝,92274
기타식물성정제유및가공유,152282
시유,2213909
연유,83849
조제분유(우유기저),93957
분유,276688
발효유,1335722
버터,26977
치즈,327533
기타낙농제품,159498
아이스크림,806587
빙과,549058
쌀(도정한것),1545465
보리쌀(도정한것),36911
기타도정곡물,60590
도정부산물,17778
밀가루,1004574
콩가루,1483
옥수수가루,11455
기타곡물가루,65122
소맥피,19053
제분부산물,...
제과용혼합분말및반죽,307753
선식류,114374
앙금류,60982
씨리얼식품,107252
기타곡물조제식품,21613
고구마전분,7061
옥수수전분,152906
소맥전분,56785
기타전분제품,24454
포도당,46551
물엿,269344
과당,176363
기타당류,34177
떡(제조도매),166405
떡(제조소매),30021
식빵(제조도매),235294
도넛(제조도매),61020
피자(제조도매),1470
기타빵류(제조도매),682365
케이크(제조도매),302659
빵(제조소매),39536
코코아분말,75437
초콜릿류,649139
캔디류,422703
껌,302883
미과,74716
스낵류,1049314
건과자류,205503
기타곡분과자,21457
원당,...
정제당,774773
국수,202087
당면,42957
냉면,63009
기타유사국수,16720
라면,1423966
기타인스턴트면류,67488
글루타민소다,...
기타화학조미료,76266
식초,63323
맛소금,26774
고추가루,218890
후추가루,20442
혼합조미료,188982
기타천연조미료,123072
마요네즈,195878
케찹,77051
카레,68105
기타혼합조제조미료,599853
간장,237577
된장,135938
고추장,187312
춘장,38536
메주,4951
기타장류,100902
커피크리머,166437
효모,56564
가라기난,...
식품용색소,11601
기타식품첨가물,306147
원두커피,32833
인스턴트커피,190194
커피믹스,455456
녹차,152830
홍차,8455
"치커리차,보리차및옥수수차",15946
