품목별,출하금액(백만원)
광업및제조업,913844227
광업(05~08),2117845
"석탄,원유및천연가스광업",422686
무연탄(채굴),295373
원유(채굴한것),...
천연가스(채굴한것),...
금속광업,31942
철광(채굴및정광),...
귀금속광물(채굴및정광),...
연(납)광및아연광(채굴및정광),...
비금속광물광업;연료용제외,1651487
석회쇄석(채굴),317209
석고(채굴한것),...
고령토(채굴),3715
기타점토(채굴),...
화강암원석(파쇄되지않은것),64100
석회석원석(파쇄되지않은것),12981
건설용쇄석(석회쇄석제외),827320
건설용천연모래,247528
천연자갈,45401
공업용천연모래,64035
납석(채굴),16566
기타화학및비료원료용광물(채굴),...
소금(채취한것),5137
규석(채굴),20837
장석(채굴),7464
기타비금속광물,7392
광업지원서비스업,...
기타광업지원서비스,...
제조업(10~33),911726382
식료품제조업,39733242
쇠고기(도축),306906
돼지고기(도축),1033190
기타도축고기,...
닭고기,1350268
오리고기,153535
원피,...
도축고기및가금고기부산물,40583
"가금류소지시,통조림및병조림",99870
가금류포장육,228218
기타가금류가공품,122442
베이컨,43500
햄(가축),406726
소시지(축육),196471
기타육지동물소시지유사제품,114106
육지동물통조림및병조림,65351
육지동물포장육,1502121
기타고기가공품,346751
어묵및유사가공품,314743
어육소시지및어묵햄,83838
조미오징어,122413
조미쥐치포,16540
기타조미조제식품및어류훈제품,33463
기타수산동물조리가공품,53117
참치통조림,279493
골뱅이통조림,80520
굴통조림,15960
꽁치통조림,17118
조개통조림,...
기타수산동물통조림,5794
명태건제품,76303
멸치건제품,62605
오징어류건제품,39005
어류의채(건조한것),30326
기타소건품,9110
기타자건품,6315
기타수산동물및부산물건제품,9599
멸치젓류,14840
명란젓및창란젓,52250
기타젓갈류,101854
어류염장품,154094
냉동참치,199532
냉동고등어,30720
동태,21489
기타어류및부산물의냉동품,125182
갑각류냉동품,37571
연체동물냉동품,95094
"어육(신선및냉동한것,등뼈제거)",165610
비식용어분,14775
기타수산동물가공품,1312
어류부산물(신선및냉동한것),42071
김,353136
미역,97958
톳,9183
기타해조류가공품,40442
김치,751665
단무지,88593
기타과실및채소절임식품,98098
오렌지원액,...
농축과실즙,121977
농축채소즙,17654
과실주스,48562
채소주스,20767
과실통조림,53616
잼및젤리통조림,108532
냉동과실,15423
기타과실가공품,48779
채소통조림,10432
건조채소,101717
기타채소가공품,168939
견과가공품,55156
식용지방(육지동물의것),67677
비식용지방(육지동물의것),45607
수산동물조유(원유),...
동물성지방부산물,88424
참기름,175750
들기름,6957
옥수수원유(압착한것),5054
채종유(유채유),...
기타식물성원유(압착한것),14741
대두박,201117
기타식물성유박,85740
콩기름(대두유),379838
옥수수기름,64780
올리브유,12787
마아가린,56820
쇼트닝,35642
기타식물성정제유및가공유,108736
시유,2164450
연유,27566
조제분유(우유기저),325161
분유,99008
발효유,1372525
버터,44906
치즈,240011
기타낙농제품,66018
아이스크림,883622
빙과,341347
쌀(도정한것),1383862
보리쌀(도정한것),24066
기타도정곡물,53098
도정부산물,22579
밀가루,671131
콩가루,1756
옥수수가루,8015
기타곡물가루,65771
소맥피,48111
제분부산물,...
제과용혼합분말및반죽,217385
선식류,106328
앙금류,49878
씨리얼식품,...
기타곡물조제식품,68086
고구마전분,6599
옥수수전분,228893
소맥전분,49044
기타전분제품,21260
포도당,43165
물엿,173589
과당,221325
기타당류,35982
떡(제조도매),114077
떡(제조소매),42896
식빵(제조도매),275381
도넛(제조도매),88264
기타빵류(제조도매),590529
케이크(제조도매),240318
빵(제조소매),72440
코코아분말,11246
초콜릿류,691203
캔디류,277863
껌,312917
미과,73081
스낵류,935683
건과자류,99585
기타곡분과자,70520
정제당,709915
국수,145688
당면,33488
냉면,75586
기타유사국수,14617
라면,1093976
기타인스턴트면류,39960
글루타민소다,38198
기타화학조미료,138986
식초,69041
맛소금,3158
고추가루,202341
후추가루,20268
혼합조미료,163483
기타천연조미료,102930
마요네즈,137696
케찹,64635
카레,58272
기타혼합조제조미료,607701
간장,192783
된장,94514
고추장,211206
춘장,44641
메주,4516
기타장류,152627
커피크리머,140445
효모,59069
가라기난,...
식품용색소,11999
기타식품첨가물,171622
원두커피,35195
인스턴트커피,185145
커피믹스,342566
녹차,151716
홍차,27606
"치커리차,보리차및옥수수차",19612
율무차,20366
유자차,53049
꿀차,15532
기타가공차,53811
조제수프,190182
이유식,34364
음료베이스,113093
두부,297451
유부,37138
기타묵및유사제품,23666
백삼,16566
홍삼,153948
인삼분말,23691
인삼즙,56568
인삼차,31747
인삼과자,84765
기타인삼기저식품,28553
건강원제품,16707
기타건강보조용액화식품,294617
스쿠알렌식품,...
효소식품,2262
정제어유가공식품,1575
알로에식품,...
기타건강기능식품,10984
냉동만두,278008
기타냉동조리식품,291054
김밥(제조도매),97395
도시락(제조도매),453817
레토르트식품,170294
기타식사용조리식품(제조도매),255287
계란및새알가공품,128021
기타식품,9928
배합사료(양우용),1974472
배합사료(양돈용),1224569
배합사료(양계용),911050
배합사료(기타동물),1011360
애완동물사료,270505
사료첨가제,111510
기타사료,364238
동물용조제식품,7717
음료제조업,7738398
탁주,115019
약주,91157
청주,78242
맥아,29337
맥주,1729563
"포도주,샴페인",9139
복분자주,61601
기타발효주,22418
주정,408204
소주,1477892
위스키,236607
매실주,48261
기타증류주및합성주,7199
얼음,30463
생수,238942
콜라,293311
사이다,362344
기타탄산음료,300607
알카리성이온음료,88241
식물성섬유음료,132818
인삼음료,155114
과실음료,848388
채소음료,25245
두유,194921
커피음료,247981
기타비알콜성음료,505384
담배제조업,2909219
담배잎(재건조),...
담배,2660428
기타권련,...
섬유제품제조업;의복제외,12915913
방적용면,9104
순면사,565988
면혼방사,166326
방적용모,...
순소모사,60000
혼방소모사,79707
순방모사,70106
혼방방모사,54875
재생섬유사,54783
순합성섬유사,234704
혼방합성섬유사,222163
재봉사,120854
편물사,13293
커버링사,114597
기타가공사,186528
견사및견방사,...
순면직물,168084
혼방면직물,209790
순소모직물,118520
혼방소모직물,108703
순방모직물,17823
혼방방모직물,59906
비스코스직물,50556
아세테이트직물,118440
순합성섬유직물,851425
혼방합성섬유직물,868720
순견직물,89377
혼방견직물,33884
마및기타식물성직물,18828
파일직물,185700
유리섬유직물,69938
기타특수직물,96131
이불,228400
담요,135426
타월(직물),125899
린넨,...
침구용카바,71309
베개및유사제품,21614
기타침구관련제품,26042
자수제품및자수용재료,59162
커튼및유사제품,112986
텐트,27241
천막및덮개(직물),476194
기타캔버스제품,26944
직물포대,185247
낙하산,...
차량의자카바,708280
청소용포(직물),70465
가정용품덮개,7945
기타직물제품,74138
견편조물,92034
면편조물,153456
인조섬유편조물,319049
기타편조물,142628
편조제품(의복및의복액세서리제외),17897
섬유사염색,179886
직물염색,950753
직물원단날염,273225
의복및직물제품의날염,40659
섬유호부처리,29146
의복및직물제품의염색가공,29623
섬유기타가공,44330
"카펫,마루덮개및유사제품",280120
끈및로프(식물성섬유),49368
끈(합성섬유),27527
로프(합성섬유),132002
어망,57754
기타망,62507
끈가공품,58959
세폭직물,172227
부직포,577019
펠트,59967
부직포제품,333914
타이어코드및타이어직물,549054
고무도포사,11261
기타특수사및특수직물,85525
비닐도포직물,153737
고무도포직물,60520
기타도포및적층직물,136228
워딩(솜)제품,131484
레이스원단및망직물(편직된것),95549
장식용트리밍,...
직물제필터,179371
기타섬유제품,32126
"의복,의복액세서리및모피제품제조업",12097392
남자및소년용정장,603603
남자및소년용코트,11841
남자및소년용자켓및점퍼,1287150
남자및소년용바지,287548
여자및소녀용정장,2281411
여자및소녀용코트,64673
여자및소녀용자켓및점퍼,1309307
여자및소녀용치마,130083
여자및소녀용바지,276621
남자및소년용속옷,90202
남자및소년용내복및잠옷,5809
여자및소녀용속옷,126436
여자용보정의류,225773
여자및소녀용내복및잠옷,25368
한복,8784
남성용직물셔츠,563504
